Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
664(995)
Melhor resultado nxn: PC12_Cell_Differentiation, 777,  8,  8,  201, 1, 4, 508032, 19354.05, 51, 0.00, 1: 53; 2: 29; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 762,  7, 10,  203, 1, 4, 554365, 19354.05, 0, 0.00, 1: 49; 2: 34; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 756,  7, 10,  203, 1, 4, 554371, 19354.05, 0, 0.00, 1: 53; 2: 28; 3: 18; 4: 10; 
PC12_Cell_Differentiation, 719,  8,  9,  203, 1, 4, 566225, 19354.05, 0, 0.00, 1: 49; 2: 34; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 728,  8,  9,  203, 1, 4, 566254, 19354.05, 56, 0.00, 1: 47; 2: 36; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 729,  6, 12,  203, 1, 4, 565960, 19354.05, 9, 0.00, 1: 50; 2: 33; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 731,  6, 12,  203, 1, 4, 566286, 19354.05, 161, 0.00, 1: 50; 2: 30; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 453,  6, 12,  203, 1, 4, 566350, 19354.05, 86, 0.00, 1: 56; 2: 23; 3: 19; 4: 11; 
PC12_Cell_Differentiation, 396,  6, 12,  203, 1, 4, 566262, 19354.05, 0, 0.00, 1: 50; 2: 34; 3: 15; 4: 10; 
PC12_Cell_Differentiation, 415, 10,  7,  203, 1, 4, 554277, 19354.05, 0, 0.00, 1: 52; 2: 27; 3: 23; 4: 7; 
PC12_Cell_Differentiation, 420,  7, 10,  203, 1, 4, 554329, 19354.05, 0, 0.00, 1: 51; 2: 31; 3: 18; 4: 9; 
PC12_Cell_Differentiation, 423,  7, 10,  203, 1, 4, 554429, 19354.05, 0, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 424,  6, 11,  203, 1, 4, 525275, 19354.05, 32, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 427,  8,  8,  203, 1, 4, 508032, 19354.05, 84, 0.00, 1: 49; 2: 33; 3: 20; 4: 7; 
PC12_Cell_Differentiation, 742,  7, 10,  203, 1, 4, 554354, 19354.05, 0, 0.00, 1: 52; 2: 27; 3: 23; 4: 7; 
PC12_Cell_Differentiation, 433,  8,  9,  203, 1, 4, 566185, 19354.05, 0, 0.00, 1: 50; 2: 31; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 440,  8,  9,  203, 1, 4, 566264, 19354.05, 0, 0.00, 1: 48; 2: 36; 3: 17; 4: 8; 
PC12_Cell_Differentiation, 375,  7, 10,  203, 1, 4, 554389, 19354.05, 0, 0.00, 1: 50; 2: 32; 3: 19; 4: 8; 
PC12_Cell_Differentiation, 460, 10,  7,  203, 1, 4, 554514, 19354.05, 50, 0.00, 1: 50; 2: 31; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 479,  8,  9,  203, 1, 4, 566228, 19354.05, 0, 0.00, 1: 49; 2: 31; 3: 24; 4: 5; 
PC12_Cell_Differentiation, 493,  8,  9,  203, 1, 4, 566127, 19354.05, 32, 0.00, 1: 50; 2: 33; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 854, 10,  7,  203, 1, 4, 554309, 19354.05, 0, 0.00, 1: 51; 2: 30; 3: 20; 4: 8; 
PC12_Cell_Differentiation, 852,  8,  9,  203, 1, 4, 566286, 19354.05, 50, 0.00, 1: 52; 2: 29; 3: 19; 4: 9; 
PC12_Cell_Differentiation, 533,  7, 10,  203, 1, 4, 554389, 19354.05, 86, 0.00, 1: 46; 2: 38; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 850, 11,  6,  203, 1, 4, 525291, 19354.05, 123, 0.00, 1: 52; 2: 27; 3: 23; 4: 7; 
PC12_Cell_Differentiation, 539, 10,  7,  203, 1, 4, 554368, 19354.05, 161, 0.00, 1: 49; 2: 30; 3: 26; 4: 4; 
PC12_Cell_Differentiation, 843,  8,  8,  203, 1, 4, 508032, 19354.05, 161, 0.00, 1: 50; 2: 33; 3: 17; 4: 9; 
PC12_Cell_Differentiation, 127, 11,  6,  203, 1, 4, 525279, 19354.05, 0, 0.00, 1: 53; 2: 27; 3: 20; 4: 9; 
PC12_Cell_Differentiation, 153, 10,  7,  203, 1, 4, 554367, 19354.05, 6, 0.00, 1: 51; 2: 32; 3: 16; 4: 10; 
