Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
1053(744)
PC12_Cell_Differentiation, 135,  8,  9,  152, 1, 3, 566482, 19560.74, 0, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation,  79,  8,  8,  152, 1, 3, 508032, 19560.74, 0, 0.00, 1: 73; 2: 29; 3: 7; 
PC12_Cell_Differentiation, 531,  6, 12,  152, 1, 3, 566153, 19560.74, 33, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 607,  8,  9,  152, 1, 3, 566450, 19560.74, 0, 0.00, 1: 68; 2: 39; 3: 2; 
PC12_Cell_Differentiation, 158,  6, 11,  152, 1, 3, 525235, 19560.74, 0, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation,  82,  6, 11,  152, 1, 3, 525206, 19560.74, 154, 0.00, 1: 71; 2: 33; 3: 5; 
PC12_Cell_Differentiation, 957,  7, 10,  152, 1, 3, 554340, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 926,  8,  9,  152, 1, 3, 566208, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 609,  8,  9,  152, 1, 3, 566059, 19560.74, 0, 0.00, 1: 70; 2: 35; 3: 4; 
PC12_Cell_Differentiation, 724, 10,  7,  152, 1, 3, 554364, 19560.74, 128, 0.00, 1: 69; 2: 37; 3: 3; 
