Seed 1656949570
ARCH 0|F_ID 2|LIMIT 6
before: 
8
6(174)
Melhor resultado nxn: signal_transduction_in_fibroblasts, 416, 12, 12, 1701, 0, 6, 1152011, 70317.39, 14, 0.00, 0: 50; 1: 81; 2: 105; 3: 79; 4: 68; 5: 77; 6: 86; 
signal_transduction_in_fibroblasts, 545, 11, 13, 1776, 0, 6, 1146593, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 83; 3: 84; 4: 96; 5: 74; 6: 89; 
signal_transduction_in_fibroblasts,  43, 13, 11, 1777, 0, 6, 1146606, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 82; 3: 90; 4: 84; 5: 83; 6: 87; 
signal_transduction_in_fibroblasts, 512, 11, 13, 1778, 0, 6, 1146607, 70317.39, 16, 0.00, 0: 50; 1: 68; 2: 89; 3: 84; 4: 81; 5: 88; 6: 86; 
signal_transduction_in_fibroblasts, 144, 13, 11, 1778, 0, 6, 1146558, 70317.39, 8, 0.00, 0: 50; 1: 70; 2: 88; 3: 74; 4: 100; 5: 74; 6: 90; 
signal_transduction_in_fibroblasts, 977, 10, 14, 1782, 0, 6, 1128680, 70317.39, 0, 0.00, 0: 50; 1: 65; 2: 101; 3: 73; 4: 82; 5: 82; 6: 93; 
signal_transduction_in_fibroblasts, 746, 11, 13, 1782, 0, 6, 1146582, 70317.39, 0, 0.00, 0: 50; 1: 68; 2: 92; 3: 86; 4: 80; 5: 68; 6: 102; 
signal_transduction_in_fibroblasts, 549, 11, 13, 1783, 0, 6, 1146603, 70317.39, 0, 0.00, 0: 50; 1: 67; 2: 72; 3: 106; 4: 88; 5: 76; 6: 87; 
signal_transduction_in_fibroblasts, 764, 12, 12, 1784, 0, 6, 1151950, 70317.39, 51, 0.00, 0: 50; 1: 68; 2: 86; 3: 88; 4: 78; 5: 88; 6: 88; 
signal_transduction_in_fibroblasts, 776, 11, 13, 1785, 0, 6, 1146607, 70317.39, 25, 0.00, 0: 50; 1: 70; 2: 89; 3: 85; 4: 68; 5: 94; 6: 90; 
signal_transduction_in_fibroblasts, 179, 12, 12, 1785, 0, 6, 1152023, 70317.39, 0, 0.00, 0: 50; 1: 70; 2: 93; 3: 73; 4: 89; 5: 72; 6: 99; 
