Seed 1656949570
ARCH 0|F_ID 3|LIMIT 5
before: 
06(655)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 906,  8,  8,  464, 0, 6, 506506, 66463.42, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 47; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 634,  8,  8,  478, 0, 6, 506519, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 59; 3: 47; 4: 24; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 514,  8,  8,  479, 0, 6, 506513, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 63; 3: 47; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 526,  9,  7,  479, 0, 6, 499197, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 56; 3: 46; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 813,  8,  8,  479, 0, 6, 506509, 66463.42, 0, 0.00, 0: 5; 1: 42; 2: 63; 3: 47; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 714,  8,  8,  479, 0, 6, 506567, 66463.42, 0, 0.00, 0: 5; 1: 48; 2: 55; 3: 45; 4: 27; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 587,  8,  8,  479, 0, 6, 506461, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 62; 3: 43; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 179,  9,  7,  479, 0, 6, 499183, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 62; 3: 41; 4: 26; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 139,  8,  8,  479, 0, 6, 506550, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 60; 3: 45; 4: 24; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011,  93,  9,  7,  479, 0, 6, 499205, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 64; 3: 37; 4: 29; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 372,  9,  7,  479, 0, 6, 499181, 66463.42, 47, 0.00, 0: 5; 1: 41; 2: 65; 3: 46; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 482,  7,  9,  479, 0, 6, 499115, 66463.42, 0, 0.00, 0: 5; 1: 45; 2: 57; 3: 50; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011,  37,  9,  7,  479, 0, 6, 499183, 66463.42, 0, 0.00, 0: 5; 1: 50; 2: 49; 3: 52; 4: 23; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 825,  8,  8,  479, 0, 6, 506538, 66463.42, 0, 0.00, 0: 5; 1: 44; 2: 56; 3: 55; 4: 20; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 916,  9,  7,  479, 0, 6, 499183, 66463.42, 26, 0.00, 0: 5; 1: 41; 2: 68; 3: 40; 4: 26; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 849,  7,  9,  479, 0, 6, 499209, 66463.42, 0, 0.00, 0: 5; 1: 40; 2: 65; 3: 49; 4: 21; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 442,  9,  7,  479, 0, 6, 499206, 66463.42, 0, 0.00, 0: 5; 1: 39; 2: 69; 3: 44; 4: 23; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 279,  7,  9,  479, 0, 6, 499196, 66463.42, 0, 0.00, 0: 5; 1: 47; 2: 56; 3: 47; 4: 25; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 235,  8,  8,  479, 0, 6, 506481, 66463.42, 0, 0.00, 0: 5; 1: 39; 2: 69; 3: 45; 4: 22; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 347,  9,  7,  480, 0, 6, 499181, 66463.42, 0, 0.00, 0: 5; 1: 49; 2: 51; 3: 49; 4: 26; 5: 12; 6: 3; 
