Seed 1656949570
ARCH 1|F_ID 3|LIMIT 5
before: 
23(185)
T-LGL_Survival_Network_2011, 244,  8,  8,  332, 1, 3, 506400, 81311.16, 32, 0.00, 1: 87; 2: 79; 3: 29; 
T-LGL_Survival_Network_2011, 836,  8,  8,  332, 1, 3, 506560, 81311.16, 22, 0.00, 1: 86; 2: 81; 3: 28; 
T-LGL_Survival_Network_2011, 931,  8,  8,  332, 1, 3, 506433, 81311.16, 0, 0.00, 1: 83; 2: 87; 3: 25; 
T-LGL_Survival_Network_2011, 679,  8,  8,  332, 1, 3, 506618, 81311.16, 0, 0.00, 1: 88; 2: 77; 3: 30; 
T-LGL_Survival_Network_2011,  30,  8,  8,  332, 1, 3, 506518, 81311.16, 0, 0.00, 1: 85; 2: 83; 3: 27; 
T-LGL_Survival_Network_2011, 135,  7,  9,  332, 1, 3, 499077, 81311.16, 0, 0.00, 1: 87; 2: 79; 3: 29; 
T-LGL_Survival_Network_2011, 352,  8,  8,  332, 1, 3, 506554, 81311.16, 1, 0.00, 1: 85; 2: 83; 3: 27; 
T-LGL_Survival_Network_2011, 777,  8,  8,  332, 1, 3, 506512, 81311.16, 0, 0.00, 1: 84; 2: 85; 3: 26; 
T-LGL_Survival_Network_2011, 549,  8,  8,  332, 1, 3, 506417, 81311.16, 0, 0.00, 1: 88; 2: 77; 3: 30; 
T-LGL_Survival_Network_2011, 340,  8,  8,  332, 1, 3, 506574, 81311.16, 57, 0.00, 1: 83; 2: 87; 3: 25; 
T-LGL_Survival_Network_2011, 217,  8,  8,  333, 1, 3, 506520, 81311.16, 0, 0.00, 1: 88; 2: 76; 3: 31; 
T-LGL_Survival_Network_2011, 894,  8,  8,  333, 1, 3, 506514, 81311.16, 0, 0.00, 1: 84; 2: 84; 3: 27; 
T-LGL_Survival_Network_2011, 534,  7,  9,  333, 1, 3, 499232, 81311.16, 0, 0.00, 1: 86; 2: 80; 3: 29; 
T-LGL_Survival_Network_2011, 347,  9,  7,  333, 1, 3, 499264, 81311.16, 0, 0.00, 1: 85; 2: 82; 3: 28; 
T-LGL_Survival_Network_2011, 139,  8,  8,  333, 1, 3, 506655, 81311.16, 0, 0.00, 1: 82; 2: 88; 3: 25; 
T-LGL_Survival_Network_2011,  87,  7,  9,  333, 1, 3, 499200, 81311.16, 0, 0.00, 1: 85; 2: 82; 3: 28; 
T-LGL_Survival_Network_2011,  71,  7,  9,  333, 1, 3, 499258, 81311.16, 0, 0.00, 1: 84; 2: 84; 3: 27; 
T-LGL_Survival_Network_2011, 433,  7,  9,  333, 1, 3, 499180, 81311.16, 0, 0.00, 1: 85; 2: 82; 3: 28; 
T-LGL_Survival_Network_2011, 400,  8,  8,  333, 1, 3, 506549, 81311.16, 1, 0.00, 1: 86; 2: 80; 3: 29; 
T-LGL_Survival_Network_2011, 747,  7,  9,  334, 1, 3, 499252, 81311.16, 0, 0.00, 1: 87; 2: 77; 3: 31; 
T-LGL_Survival_Network_2011, 569,  8,  8,  334, 1, 3, 506410, 81311.16, 0, 0.00, 1: 84; 2: 83; 3: 28; 
T-LGL_Survival_Network_2011, 898,  7,  9,  335, 1, 3, 499236, 81311.16, 0, 0.00, 1: 84; 2: 82; 3: 29; 
