Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(388)
Melhor resultado nxn: MAPK_Cancer_Cell_Fate_Network, 555,  7,  9,  129, 1, 2, 493057, 40740.76, 83, 0.00, 1: 77; 2: 26; 
MAPK_Cancer_Cell_Fate_Network, 390, 10,  6,  136, 1, 2, 473335, 40740.76, 0, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network,  91,  6, 10,  136, 1, 2, 473466, 40740.76, 228, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 450,  7,  8,  136, 1, 2, 443520, 40740.76, 146, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 617,  8,  7,  136, 1, 2, 443520, 40740.76, 69, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 105, 10,  6,  136, 1, 2, 473617, 40740.76, 65, 0.00, 1: 70; 2: 33; 
MAPK_Cancer_Cell_Fate_Network, 473,  7,  8,  137, 1, 2, 443520, 40740.76, 221, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 946,  7,  9,  137, 1, 2, 492716, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 943,  6, 10,  137, 1, 2, 473142, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 181,  6, 10,  137, 1, 2, 473392, 40740.76, 255, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 546,  6, 10,  137, 1, 2, 473462, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 209,  7,  9,  137, 1, 2, 492927, 40740.76, 68, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 112,  7,  9,  137, 1, 2, 492685, 40740.76, 28, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 476,  8,  7,  137, 1, 2, 443520, 40740.76, 125, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 415,  8,  7,  137, 1, 2, 443520, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 460,  8,  7,  137, 1, 2, 443520, 40740.76, 125, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 358,  6, 10,  137, 1, 2, 473484, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 150,  7,  9,  137, 1, 2, 492810, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 179,  8,  7,  137, 1, 2, 443520, 40740.76, 255, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 768,  8,  7,  137, 1, 2, 443520, 40740.76, 160, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network,  52,  8,  7,  137, 1, 2, 443520, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 701, 10,  6,  137, 1, 2, 473584, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 277,  7,  9,  137, 1, 2, 492710, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 711,  6, 10,  137, 1, 2, 473477, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 846,  7,  8,  137, 1, 2, 443520, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 951,  5, 13,  137, 1, 2, 504816, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 917,  6, 10,  137, 1, 2, 473458, 40740.76, 85, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 202, 10,  6,  137, 1, 2, 473622, 40740.76, 191, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 274,  6, 10,  137, 1, 2, 473524, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 982,  6, 10,  137, 1, 2, 473628, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 324,  8,  7,  137, 1, 2, 443520, 40740.76, 125, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 363,  7,  9,  137, 1, 2, 492700, 40740.76, 76, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 338,  7,  8,  137, 1, 2, 443520, 40740.76, 191, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 741,  6, 10,  137, 1, 2, 473567, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 129, 10,  6,  137, 1, 2, 473345, 40740.76, 68, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 642,  8,  7,  137, 1, 2, 443520, 40740.76, 146, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 964, 10,  6,  137, 1, 2, 473424, 40740.76, 125, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 880, 10,  6,  137, 1, 2, 473298, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 308, 10,  6,  137, 1, 2, 473306, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 326, 10,  6,  137, 1, 2, 473403, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 926,  7,  9,  137, 1, 2, 492928, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 780,  6, 10,  137, 1, 2, 473515, 40740.76, 125, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 139,  7,  8,  137, 1, 2, 443520, 40740.76, 227, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 805,  7,  8,  137, 1, 2, 443520, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 515,  7,  9,  137, 1, 2, 492348, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network,  93,  8,  7,  137, 1, 2, 443520, 40740.76, 85, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 231,  8,  7,  137, 1, 2, 443520, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 535, 10,  6,  137, 1, 2, 473418, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network,  71,  7,  9,  137, 1, 2, 492657, 40740.76, 0, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 397, 10,  6,  137, 1, 2, 473232, 40740.76, 85, 0.00, 1: 69; 2: 34; 
MAPK_Cancer_Cell_Fate_Network, 479,  7,  9,  138, 1, 2, 492642, 40740.76, 0, 0.00, 1: 68; 2: 35; 
