Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
2(247)
Melhor resultado nxn: Apoptosis_network, 164,  6,  8,   83, 1, 2, 372062, 6927.79, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 661,  6,  8,   88, 1, 2, 372540, 6927.79, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 584,  7,  6,   88, 1, 2, 330624, 6927.79, 160, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 672,  5, 10,   88, 1, 2, 383750, 6927.79, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 211,  9,  5,   88, 1, 2, 353636, 6927.79, 77, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 673,  4, 12,   88, 1, 2, 372416, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 685,  7,  6,   88, 1, 2, 330624, 6927.79, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 229,  4, 11,   88, 1, 2, 345797, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 550,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 546,  4, 12,   88, 1, 2, 371865, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 337,  6,  7,   88, 1, 2, 330624, 6927.79, 158, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 713,  5, 10,   88, 1, 2, 384210, 6927.79, 161, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 221,  7,  6,   88, 1, 2, 330624, 6927.79, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 533,  6,  8,   88, 1, 2, 371865, 6927.79, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 343,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 523,  4, 11,   88, 1, 2, 346111, 6927.79, 78, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 731,  5,  9,   88, 1, 2, 353185, 6927.79, 78, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  83,  9,  5,   88, 1, 2, 353076, 6927.79, 77, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  28,  6,  8,   88, 1, 2, 371542, 6927.79, 146, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 843,  9,  5,   88, 1, 2, 353423, 6927.79, 78, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  42,  7,  6,   88, 1, 2, 330624, 6927.79, 50, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 120,  9,  5,   88, 1, 2, 353203, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 944,  7,  6,   88, 1, 2, 330624, 6927.79, 12, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  51,  5, 10,   88, 1, 2, 383795, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 937,  7,  6,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 926,  5, 10,   88, 1, 2, 383729, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 982,  6,  7,   88, 1, 2, 330624, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 914,  6,  8,   88, 1, 2, 372403, 6927.79, 50, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  95,  5,  9,   88, 1, 2, 353516, 6927.79, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 138,  5,  9,   88, 1, 2, 353141, 6927.79, 155, 0.00, 1: 58; 2: 15; 
