Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
22(534)
Melhor resultado nxn: Yeast_Apoptosis, 586,  9,  9,  138, 1, 2, 639158, 48960.27, 113, 0.00, 1: 86; 2: 26; 
Yeast_Apoptosis, 644,  9,  9,  143, 1, 2, 639275, 48960.27, 252, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 630,  8, 10,  143, 1, 2, 634042, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 386,  7, 11,  143, 1, 2, 613424, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 830,  7, 11,  143, 1, 2, 613204, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 147,  9,  9,  143, 1, 2, 639134, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 861, 10,  8,  143, 1, 2, 633543, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 659,  9,  9,  143, 1, 2, 639360, 48960.27, 86, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 887,  7, 12,  143, 1, 2, 658153, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 863,  7, 12,  143, 1, 2, 658135, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 605,  7, 11,  143, 1, 2, 613105, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 177,  6, 14,  143, 1, 2, 658585, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 875,  6, 14,  143, 1, 2, 658908, 48960.27, 116, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 381, 10,  8,  143, 1, 2, 634064, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 812,  7, 12,  143, 1, 2, 658393, 48960.27, 32, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 606,  7, 12,  143, 1, 2, 658674, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 227, 11,  7,  143, 1, 2, 613092, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 437,  8, 10,  143, 1, 2, 634040, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 681,  9,  9,  143, 1, 2, 639218, 48960.27, 67, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 687,  7, 12,  143, 1, 2, 658952, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 541, 10,  8,  143, 1, 2, 633870, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 947,  7, 11,  143, 1, 2, 613399, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 219,  6, 13,  143, 1, 2, 619562, 48960.27, 86, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 453, 10,  8,  143, 1, 2, 634135, 48960.27, 85, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 761,  6, 13,  143, 1, 2, 619788, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 295,  8, 10,  143, 1, 2, 634196, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 458, 11,  7,  143, 1, 2, 613157, 48960.27, 114, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 191,  7, 12,  143, 1, 2, 658872, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  35, 11,  7,  143, 1, 2, 613158, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 286,  6, 13,  143, 1, 2, 619485, 48960.27, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 985,  7, 12,  143, 1, 2, 659078, 48960.27, 90, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis,  19,  7, 11,  143, 1, 2, 613195, 48960.27, 86, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 478, 11,  7,  143, 1, 2, 613116, 48960.27, 0, 0.00, 1: 81; 2: 31; 
