Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
22(268)
Melhor resultado nxn: Yeast_Apoptosis, 748,  9,  9,  145, 1, 2, 639288, 47850.29, 51, 0.00, 1: 79; 2: 33; 
Yeast_Apoptosis,  35, 11,  7,  154, 1, 2, 613085, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis,  39, 11,  7,  154, 1, 2, 613301, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis,  43,  7, 12,  154, 1, 2, 658714, 47850.29, 70, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 596,  8, 10,  154, 1, 2, 633846, 47850.29, 92, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 496,  8, 10,  154, 1, 2, 633852, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 482, 10,  8,  154, 1, 2, 634315, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 492,  7, 11,  154, 1, 2, 613244, 47850.29, 49, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 975,  6, 13,  154, 1, 2, 619574, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 640,  7, 11,  154, 1, 2, 613075, 47850.29, 128, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 849, 11,  7,  154, 1, 2, 613180, 47850.29, 255, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 639,  9,  9,  154, 1, 2, 638984, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 485,  6, 14,  154, 1, 2, 658469, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 795, 10,  8,  154, 1, 2, 633990, 47850.29, 194, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 813,  7, 11,  154, 1, 2, 613126, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 156, 10,  8,  154, 1, 2, 634147, 47850.29, 92, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis,   8, 11,  7,  154, 1, 2, 613142, 47850.29, 128, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 929,  9,  9,  154, 1, 2, 638931, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 172,  7, 11,  154, 1, 2, 613368, 47850.29, 0, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis,  26,  9,  9,  154, 1, 2, 638906, 47850.29, 29, 0.00, 1: 70; 2: 42; 
Yeast_Apoptosis, 520,  6, 13,  155, 1, 2, 619627, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 309,  7, 11,  155, 1, 2, 612991, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis,  62,  8, 10,  155, 1, 2, 634215, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 578, 10,  8,  155, 1, 2, 634209, 47850.29, 52, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 992,  6, 14,  155, 1, 2, 658807, 47850.29, 10, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 470,  8, 10,  155, 1, 2, 634037, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 771,  5, 15,  155, 1, 2, 596417, 47850.29, 194, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 852,  7, 11,  155, 1, 2, 613394, 47850.29, 92, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis,  64, 10,  8,  155, 1, 2, 634026, 47850.29, 32, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 159, 11,  7,  155, 1, 2, 613311, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 630,  8, 10,  155, 1, 2, 634448, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 814,  7, 12,  155, 1, 2, 658917, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 672,  8, 10,  155, 1, 2, 634043, 47850.29, 6, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 269,  7, 12,  155, 1, 2, 658802, 47850.29, 85, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 712, 11,  7,  155, 1, 2, 613248, 47850.29, 240, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 268,  6, 14,  155, 1, 2, 658702, 47850.29, 92, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 763, 11,  7,  155, 1, 2, 613146, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 517,  9,  9,  155, 1, 2, 639285, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 259,  8, 10,  155, 1, 2, 634215, 47850.29, 193, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 993,  7, 11,  155, 1, 2, 613149, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 967,  7, 12,  155, 1, 2, 658974, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 685,  7, 12,  155, 1, 2, 659182, 47850.29, 32, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 254,  7, 11,  155, 1, 2, 613107, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 840, 10,  8,  155, 1, 2, 634078, 47850.29, 112, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 116,  8, 10,  155, 1, 2, 634222, 47850.29, 29, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 931, 10,  8,  155, 1, 2, 633976, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 201, 10,  8,  155, 1, 2, 634100, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 782,  6, 14,  155, 1, 2, 658488, 47850.29, 0, 0.00, 1: 69; 2: 43; 
Yeast_Apoptosis, 439,  6, 13,  156, 1, 2, 619475, 47850.29, 0, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis, 721, 11,  7,  156, 1, 2, 613150, 47850.29, 254, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis, 169, 11,  7,  156, 1, 2, 613132, 47850.29, 0, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis, 783,  7, 11,  156, 1, 2, 613235, 47850.29, 0, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis,  47,  7, 11,  156, 1, 2, 613398, 47850.29, 84, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis, 486, 10,  8,  156, 1, 2, 633911, 47850.29, 0, 0.00, 1: 68; 2: 44; 
Yeast_Apoptosis, 968,  7, 11,  156, 1, 2, 613241, 47850.29, 240, 0.00, 1: 68; 2: 44; 
