Seed 1656949570
ARCH 0|F_ID 2|LIMIT 5
before: 
06(618)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 473,  8,  8,  461, 0, 6, 506506, 26569.10, 0, 0.00, 0: 5; 1: 66; 2: 47; 3: 31; 4: 25; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 772,  8,  8,  468, 0, 6, 506510, 26569.10, 30, 0.00, 0: 5; 1: 63; 2: 47; 3: 34; 4: 24; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 299,  9,  7,  468, 0, 6, 499195, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 46; 3: 34; 4: 27; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 777,  8,  8,  468, 0, 6, 506549, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 46; 3: 33; 4: 25; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 752,  9,  7,  468, 0, 6, 499183, 26569.10, 21, 0.00, 0: 5; 1: 62; 2: 43; 3: 42; 4: 24; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 160,  8,  8,  468, 0, 6, 506513, 26569.10, 1, 0.00, 0: 5; 1: 62; 2: 52; 3: 27; 4: 27; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 563,  8,  8,  468, 0, 6, 506515, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 48; 3: 37; 4: 27; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 279,  7,  9,  468, 0, 6, 499202, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 47; 3: 38; 4: 24; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 680,  9,  7,  468, 0, 6, 499189, 26569.10, 17, 0.00, 0: 5; 1: 63; 2: 45; 3: 35; 4: 28; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011, 244,  8,  8,  468, 0, 6, 506514, 26569.10, 32, 0.00, 0: 5; 1: 60; 2: 52; 3: 33; 4: 23; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 654,  8,  8,  468, 0, 6, 506517, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 47; 3: 33; 4: 26; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 228,  7,  9,  468, 0, 6, 499191, 26569.10, 25, 0.00, 0: 5; 1: 58; 2: 55; 3: 34; 4: 20; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011,  37,  9,  7,  468, 0, 6, 499190, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 46; 3: 37; 4: 25; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 928,  8,  8,  468, 0, 6, 506531, 26569.10, 28, 0.00, 0: 5; 1: 64; 2: 42; 3: 38; 4: 27; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011,   5,  7,  9,  468, 0, 6, 499202, 26569.10, 127, 0.00, 0: 5; 1: 63; 2: 46; 3: 33; 4: 29; 5: 16; 6: 3; 
T-LGL_Survival_Network_2011,  38,  8,  8,  468, 0, 6, 506528, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 47; 3: 31; 4: 26; 5: 19; 6: 3; 
T-LGL_Survival_Network_2011, 376,  9,  7,  468, 0, 6, 499193, 26569.10, 1, 0.00, 0: 5; 1: 64; 2: 49; 3: 27; 4: 29; 5: 17; 6: 4; 
T-LGL_Survival_Network_2011, 124,  7,  9,  469, 0, 6, 499192, 26569.10, 6, 0.00, 0: 5; 1: 59; 2: 53; 3: 34; 4: 21; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 962,  7,  9,  469, 0, 6, 499198, 26569.10, 0, 0.00, 0: 5; 1: 61; 2: 51; 3: 32; 4: 23; 5: 20; 6: 3; 
T-LGL_Survival_Network_2011, 110,  9,  7,  469, 0, 6, 499210, 26569.10, 0, 0.00, 0: 5; 1: 69; 2: 39; 3: 35; 4: 21; 5: 23; 6: 3; 
T-LGL_Survival_Network_2011, 738,  7,  9,  469, 0, 6, 499205, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 46; 3: 36; 4: 26; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 661,  9,  7,  469, 0, 6, 499226, 26569.10, 0, 0.00, 0: 5; 1: 64; 2: 47; 3: 33; 4: 23; 5: 18; 6: 5; 
T-LGL_Survival_Network_2011, 710,  9,  7,  469, 0, 6, 499175, 26569.10, 0, 0.00, 0: 5; 1: 63; 2: 46; 3: 33; 4: 28; 5: 17; 6: 3; 
T-LGL_Survival_Network_2011, 737,  7,  9,  469, 0, 6, 499208, 26569.10, 0, 0.00, 0: 5; 1: 62; 2: 48; 3: 33; 4: 26; 5: 18; 6: 3; 
T-LGL_Survival_Network_2011, 824,  8,  8,  469, 0, 6, 506527, 26569.10, 24, 0.00, 0: 5; 1: 61; 2: 45; 3: 39; 4: 27; 5: 15; 6: 3; 
T-LGL_Survival_Network_2011, 903,  7,  9,  469, 0, 6, 499184, 26569.10, 0, 0.00, 0: 5; 1: 60; 2: 47; 3: 38; 4: 27; 5: 15; 6: 3; 
