Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
582(475)
Melhor resultado nxn: PC12_Cell_Differentiation, 779,  8,  8,  147, 1, 2, 508032, 42822.98, 118, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 375,  7, 10,  147, 1, 2, 554358, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 577,  6, 12,  147, 1, 2, 566264, 42822.98, 206, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 209,  8,  9,  147, 1, 2, 566151, 42822.98, 50, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 643,  7, 10,  147, 1, 2, 554385, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 220,  5, 14,  147, 1, 2, 554485, 42822.98, 169, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 588,  6, 12,  147, 1, 2, 566205, 42822.98, 169, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 233, 10,  7,  147, 1, 2, 554510, 42822.98, 65, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 371,  5, 14,  147, 1, 2, 554062, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 236,  8,  9,  147, 1, 2, 565993, 42822.98, 50, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 239,  8,  9,  147, 1, 2, 566245, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 682,  6, 12,  147, 1, 2, 566379, 42822.98, 117, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 567,  6, 11,  147, 1, 2, 525195, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 547,  8,  9,  147, 1, 2, 566345, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 276,  7, 10,  147, 1, 2, 554360, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 498, 11,  6,  147, 1, 2, 525205, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 479,  8,  9,  147, 1, 2, 565890, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 471, 11,  6,  147, 1, 2, 525306, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 298,  8,  9,  147, 1, 2, 566335, 42822.98, 84, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 100,  6, 11,  147, 1, 2, 525337, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 877,  6, 12,  147, 1, 2, 565958, 42822.98, 32, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 989,  7, 10,  147, 1, 2, 554529, 42822.98, 85, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 885,  6, 12,  147, 1, 2, 566275, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  82,  6, 11,  147, 1, 2, 525324, 42822.98, 146, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 972,  7, 10,  147, 1, 2, 554409, 42822.98, 169, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 962,  8,  9,  147, 1, 2, 566045, 42822.98, 115, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 953, 10,  7,  147, 1, 2, 554369, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  30,  8,  8,  147, 1, 2, 508032, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,   8, 10,  7,  147, 1, 2, 554406, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  50, 10,  7,  147, 1, 2, 554537, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,  48,  5, 14,  147, 1, 2, 554260, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation,   0,  7, 10,  147, 1, 2, 554380, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 949,  7, 10,  147, 1, 2, 554478, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 941,  7, 10,  147, 1, 2, 554249, 42822.98, 32, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 940,  5, 14,  147, 1, 2, 554522, 42822.98, 49, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 931,  8,  8,  147, 1, 2, 508032, 42822.98, 0, 0.00, 1: 71; 2: 38; 
PC12_Cell_Differentiation, 944,  6, 12,  148, 1, 2, 566573, 42822.98, 18, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 685,  6, 12,  148, 1, 2, 566228, 42822.98, 54, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 330,  6, 12,  148, 1, 2, 566142, 42822.98, 114, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  70,  5, 13,  148, 1, 2, 515840, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 180,  7, 10,  148, 1, 2, 554393, 42822.98, 28, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 428,  7, 10,  148, 1, 2, 554409, 42822.98, 69, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 333,  5, 14,  148, 1, 2, 554129, 42822.98, 85, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 710, 10,  7,  148, 1, 2, 554445, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 984, 10,  7,  148, 1, 2, 554462, 42822.98, 56, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 741,  7, 10,  148, 1, 2, 554360, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 168,  7, 10,  148, 1, 2, 554534, 42822.98, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 522,  6, 12,  148, 1, 2, 566050, 42822.98, 114, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 722,  7, 10,  148, 1, 2, 554581, 42822.98, 114, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 164,  8,  9,  148, 1, 2, 566013, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 154,  8,  9,  148, 1, 2, 566223, 42822.98, 115, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 734,  6, 11,  148, 1, 2, 525299, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  44,  6, 12,  148, 1, 2, 566618, 42822.98, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 587,  8,  8,  148, 1, 2, 508032, 42822.98, 118, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 566, 11,  6,  148, 1, 2, 525306, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 928,  8,  8,  148, 1, 2, 508032, 42822.98, 6, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 465,  5, 14,  148, 1, 2, 554588, 42822.98, 54, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 560,  8,  9,  148, 1, 2, 566083, 42822.98, 21, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 231, 10,  7,  148, 1, 2, 554489, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 557,  6, 11,  148, 1, 2, 525293, 42822.98, 32, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 460, 10,  7,  148, 1, 2, 554553, 42822.98, 169, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 609,  8,  9,  148, 1, 2, 566214, 42822.98, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 908,  5, 14,  148, 1, 2, 554261, 42822.98, 169, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 948,  6, 12,  148, 1, 2, 566205, 42822.98, 58, 0.00, 1: 70; 2: 39; 
