Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
384(995)
Melhor resultado nxn: PC12_Cell_Differentiation,   7,  8,  8,  203, 1, 4, 508032, 43469.13, 0, 0.00, 1: 45; 2: 40; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 633,  6, 11,  206, 1, 4, 525290, 43469.13, 0, 0.00, 1: 43; 2: 39; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 205, 10,  7,  206, 1, 4, 554365, 43469.13, 85, 0.00, 1: 40; 2: 44; 3: 22; 4: 3; 
PC12_Cell_Differentiation, 216,  7, 10,  206, 1, 4, 554423, 43469.13, 56, 0.00, 1: 40; 2: 45; 3: 20; 4: 4; 
PC12_Cell_Differentiation, 266,  8,  8,  206, 1, 4, 508032, 43469.13, 0, 0.00, 1: 45; 2: 35; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 267, 10,  7,  206, 1, 4, 554306, 43469.13, 0, 0.00, 1: 41; 2: 40; 3: 27; 4: 1; 
PC12_Cell_Differentiation, 613,  7, 10,  206, 1, 4, 554381, 43469.13, 0, 0.00, 1: 45; 2: 36; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 992,  6, 12,  206, 1, 4, 566402, 43469.13, 5, 0.00, 1: 43; 2: 38; 3: 25; 4: 3; 
PC12_Cell_Differentiation,  18,  6, 11,  206, 1, 4, 525283, 43469.13, 177, 0.00, 1: 43; 2: 38; 3: 25; 4: 3; 
PC12_Cell_Differentiation,  21,  7, 10,  206, 1, 4, 554449, 43469.13, 85, 0.00, 1: 42; 2: 43; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 217,  8,  8,  206, 1, 4, 508032, 43469.13, 55, 0.00, 1: 45; 2: 38; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 499,  6, 12,  206, 1, 4, 566290, 43469.13, 0, 0.00, 1: 44; 2: 36; 3: 26; 4: 3; 
PC12_Cell_Differentiation, 700,  6, 11,  206, 1, 4, 525265, 43469.13, 1, 0.00, 1: 43; 2: 39; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 718,  7, 10,  206, 1, 4, 554304, 43469.13, 0, 0.00, 1: 42; 2: 41; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 221,  7, 10,  206, 1, 4, 554408, 43469.13, 85, 0.00, 1: 42; 2: 40; 3: 24; 4: 3; 
PC12_Cell_Differentiation,  27,  6, 11,  206, 1, 4, 525299, 43469.13, 38, 0.00, 1: 46; 2: 35; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 639, 11,  6,  206, 1, 4, 525283, 43469.13, 0, 0.00, 1: 44; 2: 37; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 281,  8,  9,  206, 1, 4, 566249, 43469.13, 55, 0.00, 1: 43; 2: 39; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 484,  6, 12,  206, 1, 4, 566299, 43469.13, 0, 0.00, 1: 41; 2: 42; 3: 23; 4: 3; 
PC12_Cell_Differentiation,  35, 10,  7,  206, 1, 4, 554408, 43469.13, 0, 0.00, 1: 41; 2: 41; 3: 25; 4: 2; 
