Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
2(684)
Melhor resultado nxn: Apoptosis_network, 569,  6,  7,   83, 1, 2, 330624, 7209.36, 0, 0.00, 1: 63; 2: 10; 
Apoptosis_network, 669,  5, 10,   87, 1, 2, 383762, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 770,  6,  8,   87, 1, 2, 371704, 7209.36, 204, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 178,  5, 10,   87, 1, 2, 384079, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 667,  6,  8,   87, 1, 2, 372128, 7209.36, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 179,  6,  8,   87, 1, 2, 371674, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 270,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 762,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 652,  9,  5,   87, 1, 2, 353098, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 758,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 756,  5,  9,   87, 1, 2, 353145, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 693,  5,  9,   87, 1, 2, 353199, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 751,  6,  8,   87, 1, 2, 372052, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 748,  6,  7,   87, 1, 2, 330624, 7209.36, 55, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 661,  6,  8,   87, 1, 2, 372039, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 746,  5, 10,   87, 1, 2, 383898, 7209.36, 97, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 284,  9,  5,   87, 1, 2, 353339, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 655,  9,  5,   87, 1, 2, 353125, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 192,  6,  7,   87, 1, 2, 330624, 7209.36, 208, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 193,  5,  9,   87, 1, 2, 353150, 7209.36, 52, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 528,  5,  9,   87, 1, 2, 353407, 7209.36, 96, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 424,  9,  5,   87, 1, 2, 353291, 7209.36, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 548,  5,  9,   87, 1, 2, 353267, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 583,  9,  5,   87, 1, 2, 353276, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  54,  4, 12,   87, 1, 2, 371902, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 931,  6,  8,   87, 1, 2, 372250, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  80,  6,  7,   87, 1, 2, 330624, 7209.36, 128, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 421,  5,  9,   87, 1, 2, 353318, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 511,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  24,  9,  5,   87, 1, 2, 353201, 7209.36, 112, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 936,  4, 12,   87, 1, 2, 372267, 7209.36, 30, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 910,  5,  9,   87, 1, 2, 353223, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 928,  4, 12,   87, 1, 2, 371984, 7209.36, 16, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 520,  5,  9,   87, 1, 2, 353185, 7209.36, 48, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  71,  9,  5,   87, 1, 2, 353148, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  30,  5,  9,   87, 1, 2, 353122, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 914,  6,  8,   87, 1, 2, 371848, 7209.36, 204, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 404,  9,  5,   87, 1, 2, 353292, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  34,  4, 11,   87, 1, 2, 346233, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 406,  5,  9,   87, 1, 2, 352949, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 544,  5,  9,   87, 1, 2, 353299, 7209.36, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 949,  6,  7,   87, 1, 2, 330624, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 459,  6,  7,   87, 1, 2, 330624, 7209.36, 6, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 453,  6,  8,   87, 1, 2, 371838, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 998,  9,  5,   87, 1, 2, 353384, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  39,  5,  9,   87, 1, 2, 353239, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 872,  5, 10,   87, 1, 2, 384105, 7209.36, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 533,  6,  8,   87, 1, 2, 371937, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 397,  5, 10,   87, 1, 2, 384433, 7209.36, 86, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 447,  4, 12,   87, 1, 2, 371765, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 596,  5, 10,   87, 1, 2, 383747, 7209.36, 58, 0.00, 1: 59; 2: 14; 
Apoptosis_network,   8,  5,  9,   87, 1, 2, 353043, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 940,  5,  9,   87, 1, 2, 353399, 7209.36, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  48,  7,  6,   87, 1, 2, 330624, 7209.36, 16, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 885,  9,  5,   87, 1, 2, 353566, 7209.36, 0, 0.00, 1: 59; 2: 14; 
