Seed 1656949570
ARCH 2|F_ID 1|LIMIT 4
before: 
2(500)
Melhor resultado nxn: Apoptosis_network,  40,  6,  8,   89, 1, 2, 371850, 7753.06, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 278,  5,  9,   94, 1, 2, 353232, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 387,  4, 11,   94, 1, 2, 346061, 7753.06, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 250,  6,  8,   94, 1, 2, 371813, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 328,  9,  5,   94, 1, 2, 353208, 7753.06, 128, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 381,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 699,  6,  8,   94, 1, 2, 371837, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 318,  9,  5,   94, 1, 2, 353143, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 331,  7,  6,   94, 1, 2, 330624, 7753.06, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 651,  5, 10,   94, 1, 2, 384079, 7753.06, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 414,  5,  9,   94, 1, 2, 353478, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 367,  6,  8,   94, 1, 2, 372073, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 487,  9,  5,   94, 1, 2, 353160, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 490,  6,  7,   94, 1, 2, 330624, 7753.06, 97, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 258,  4, 12,   94, 1, 2, 371857, 7753.06, 59, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 885,  9,  5,   94, 1, 2, 353233, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 937,  7,  6,   94, 1, 2, 330624, 7753.06, 0, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 147,  5,  9,   94, 1, 2, 353354, 7753.06, 40, 0.00, 1: 52; 2: 21; 
Apoptosis_network, 125,  5,  9,   94, 1, 2, 353210, 7753.06, 0, 0.00, 1: 52; 2: 21; 
