Seed 1656949570
ARCH 2|F_ID 1|LIMIT 6
before: 
05(206)
macrophave_activation, 827, 16, 21,  980, 1, 5, 2696297, 68883.01, 165, 0.00, 1: 197; 2: 230; 3: 58; 4: 31; 5: 5; 
macrophave_activation, 564, 19, 17,  980, 1, 5, 2600100, 68883.01, 0, 0.00, 1: 210; 2: 213; 3: 59; 4: 28; 5: 11; 
macrophave_activation, 937, 14, 24,  981, 1, 5, 2696266, 68883.01, 236, 0.00, 1: 209; 2: 202; 3: 78; 4: 26; 5: 6; 
macrophave_activation, 325, 17, 20,  981, 1, 5, 2758099, 68883.01, 0, 0.00, 1: 202; 2: 222; 3: 62; 4: 26; 5: 9; 
macrophave_activation, 637, 17, 20,  981, 1, 5, 2757529, 68883.01, 86, 0.00, 1: 203; 2: 215; 3: 69; 4: 29; 5: 5; 
macrophave_activation, 633, 14, 23,  981, 1, 5, 2635731, 68883.01, 234, 0.00, 1: 198; 2: 226; 3: 66; 4: 22; 5: 9; 
macrophave_activation, 129, 19, 17,  981, 1, 5, 2600083, 68883.01, 0, 0.00, 1: 208; 2: 211; 3: 61; 4: 37; 5: 4; 
macrophave_activation, 309, 17, 20,  982, 1, 5, 2757855, 68883.01, 0, 0.00, 1: 211; 2: 202; 3: 69; 4: 35; 5: 4; 
macrophave_activation, 367, 13, 26,  982, 1, 5, 2727142, 68883.01, 0, 0.00, 1: 212; 2: 207; 3: 63; 4: 28; 5: 11; 
macrophave_activation, 363, 16, 21,  982, 1, 5, 2696342, 68883.01, 165, 0.00, 1: 214; 2: 203; 3: 65; 4: 28; 5: 11; 
macrophave_activation, 636, 18, 18,  983, 1, 5, 2616125, 68883.01, 0, 0.00, 1: 206; 2: 211; 3: 69; 4: 27; 5: 8; 
macrophave_activation, 583, 13, 26,  984, 1, 5, 2727192, 68883.01, 0, 0.00, 1: 211; 2: 201; 3: 72; 4: 30; 5: 7; 
macrophave_activation, 152, 18, 18,  984, 1, 5, 2616168, 68883.01, 160, 0.00, 1: 199; 2: 224; 3: 59; 4: 35; 5: 4; 
macrophave_activation, 832, 18, 18,  984, 1, 5, 2616140, 68883.01, 135, 0.00, 1: 212; 2: 207; 3: 57; 4: 38; 5: 7; 
macrophave_activation, 800, 14, 23,  984, 1, 5, 2635731, 68883.01, 217, 0.00, 1: 201; 2: 220; 3: 61; 4: 35; 5: 4; 
macrophave_activation, 857, 15, 22,  985, 1, 5, 2658265, 68883.01, 236, 0.00, 1: 198; 2: 227; 3: 60; 4: 27; 5: 9; 
macrophave_activation, 650, 16, 21,  985, 1, 5, 2696205, 68883.01, 182, 0.00, 1: 216; 2: 194; 3: 70; 4: 34; 5: 7; 
macrophave_activation, 991, 18, 18,  985, 1, 5, 2616164, 68883.01, 0, 0.00, 1: 208; 2: 209; 3: 69; 4: 23; 5: 12; 
macrophave_activation, 450, 16, 21,  986, 1, 5, 2696188, 68883.01, 0, 0.00, 1: 211; 2: 205; 3: 65; 4: 30; 5: 10; 
macrophave_activation, 618, 18, 18,  986, 1, 5, 2616130, 68883.01, 182, 0.00, 1: 214; 2: 203; 3: 58; 4: 38; 5: 8; 
macrophave_activation, 162, 18, 18,  987, 1, 5, 2616160, 68883.01, 0, 0.00, 1: 204; 2: 211; 3: 67; 4: 35; 5: 4; 
macrophave_activation,  38, 18, 18,  987, 1, 5, 2616156, 68883.01, 0, 0.00, 1: 200; 2: 228; 3: 49; 4: 36; 5: 8; 
macrophave_activation, 734, 17, 20,  987, 1, 5, 2757752, 68883.01, 0, 0.00, 1: 208; 2: 205; 3: 69; 4: 33; 5: 6; 
macrophave_activation, 645, 14, 24,  987, 1, 5, 2696409, 68883.01, 0, 0.00, 1: 202; 2: 216; 3: 68; 4: 26; 5: 9; 
macrophave_activation, 358, 16, 21,  988, 1, 5, 2696303, 68883.01, 0, 0.00, 1: 205; 2: 211; 3: 67; 4: 30; 5: 8; 
macrophave_activation, 688, 19, 17,  988, 1, 5, 2600094, 68883.01, 26, 0.00, 1: 204; 2: 206; 3: 76; 4: 31; 5: 4; 
macrophave_activation, 869, 21, 16,  988, 1, 5, 2696377, 68883.01, 0, 0.00, 1: 191; 2: 231; 3: 65; 4: 30; 5: 4; 
macrophave_activation, 164, 14, 23,  989, 1, 5, 2635731, 68883.01, 0, 0.00, 1: 205; 2: 212; 3: 65; 4: 30; 5: 9; 
macrophave_activation, 107, 17, 19,  989, 1, 5, 2600107, 68883.01, 165, 0.00, 1: 203; 2: 215; 3: 64; 4: 31; 5: 8; 
macrophave_activation, 657, 16, 21,  989, 1, 5, 2696354, 68883.01, 0, 0.00, 1: 207; 2: 204; 3: 73; 4: 30; 5: 7; 
macrophave_activation, 470, 12, 28,  989, 1, 5, 2696500, 68883.01, 0, 0.00, 1: 197; 2: 220; 3: 69; 4: 30; 5: 5; 
macrophave_activation, 238, 17, 20,  990, 1, 5, 2758154, 68883.01, 0, 0.00, 1: 198; 2: 223; 3: 59; 4: 36; 5: 5; 
macrophave_activation, 468, 17, 20,  990, 1, 5, 2758008, 68883.01, 0, 0.00, 1: 208; 2: 205; 3: 69; 4: 30; 5: 9; 
