Seed 1656949570
ARCH 1|F_ID 1|LIMIT 6
before: 
35(214)
macrophave_activation, 248, 19, 17,  948, 1, 5, 2600096, 63487.21, 96, 0.00, 1: 227; 2: 198; 3: 63; 4: 29; 5: 4; 
macrophave_activation, 495, 16, 21,  948, 1, 5, 2696250, 63487.21, 0, 0.00, 1: 219; 2: 209; 3: 67; 4: 20; 5: 6; 
macrophave_activation, 324, 15, 22,  948, 1, 5, 2658123, 63487.21, 0, 0.00, 1: 227; 2: 196; 3: 69; 4: 23; 5: 6; 
macrophave_activation, 676, 18, 18,  949, 1, 5, 2616137, 63487.21, 0, 0.00, 1: 224; 2: 200; 3: 69; 4: 22; 5: 6; 
macrophave_activation, 757, 15, 22,  949, 1, 5, 2658188, 63487.21, 0, 0.00, 1: 231; 2: 195; 3: 58; 4: 31; 5: 6; 
macrophave_activation, 305, 18, 18,  949, 1, 5, 2616169, 63487.21, 0, 0.00, 1: 241; 2: 174; 3: 68; 4: 34; 5: 4; 
macrophave_activation, 711, 18, 18,  949, 1, 5, 2616154, 63487.21, 0, 0.00, 1: 232; 2: 194; 3: 57; 4: 32; 5: 6; 
macrophave_activation, 186, 14, 23,  950, 1, 5, 2635731, 63487.21, 26, 0.00, 1: 222; 2: 209; 3: 56; 4: 28; 5: 6; 
macrophave_activation, 968, 15, 22,  950, 1, 5, 2658092, 63487.21, 0, 0.00, 1: 232; 2: 184; 3: 74; 4: 27; 5: 4; 
macrophave_activation, 430, 15, 22,  951, 1, 5, 2658199, 63487.21, 0, 0.00, 1: 237; 2: 184; 3: 61; 4: 32; 5: 7; 
macrophave_activation, 420, 14, 23,  951, 1, 5, 2635731, 63487.21, 0, 0.00, 1: 235; 2: 193; 3: 52; 4: 31; 5: 10; 
macrophave_activation, 566, 13, 26,  951, 1, 5, 2727166, 63487.21, 0, 0.00, 1: 232; 2: 189; 3: 68; 4: 23; 5: 9; 
macrophave_activation,  39, 18, 18,  952, 1, 5, 2616130, 63487.21, 0, 0.00, 1: 227; 2: 198; 3: 61; 4: 29; 5: 6; 
macrophave_activation, 915, 14, 23,  952, 1, 5, 2635731, 63487.21, 0, 0.00, 1: 240; 2: 182; 3: 56; 4: 35; 5: 8; 
macrophave_activation, 472, 17, 20,  952, 1, 5, 2757751, 63487.21, 32, 0.00, 1: 226; 2: 203; 3: 52; 4: 36; 5: 4; 
macrophave_activation, 191, 14, 24,  952, 1, 5, 2696445, 63487.21, 0, 0.00, 1: 235; 2: 189; 3: 58; 4: 30; 5: 9; 
macrophave_activation, 266, 14, 24,  953, 1, 5, 2696014, 63487.21, 26, 0.00, 1: 229; 2: 194; 3: 63; 4: 28; 5: 7; 
macrophave_activation, 216, 13, 26,  953, 1, 5, 2727101, 63487.21, 32, 0.00, 1: 233; 2: 189; 3: 60; 4: 33; 5: 6; 
macrophave_activation, 167, 17, 20,  953, 1, 5, 2757798, 63487.21, 0, 0.00, 1: 232; 2: 185; 3: 70; 4: 29; 5: 5; 
macrophave_activation,  48, 12, 29,  953, 1, 5, 2821219, 63487.21, 228, 0.00, 1: 224; 2: 203; 3: 62; 4: 23; 5: 9; 
macrophave_activation, 480, 17, 20,  953, 1, 5, 2757781, 63487.21, 94, 0.00, 1: 230; 2: 189; 3: 70; 4: 25; 5: 7; 
macrophave_activation, 358, 16, 21,  954, 1, 5, 2696209, 63487.21, 0, 0.00, 1: 224; 2: 200; 3: 65; 4: 25; 5: 7; 
macrophave_activation, 874, 14, 23,  954, 1, 5, 2635731, 63487.21, 26, 0.00, 1: 233; 2: 186; 3: 64; 4: 33; 5: 5; 
macrophave_activation, 714, 14, 23,  954, 1, 5, 2635731, 63487.21, 26, 0.00, 1: 236; 2: 180; 3: 70; 4: 27; 5: 8; 
macrophave_activation, 644, 21, 16,  954, 1, 5, 2696298, 63487.21, 0, 0.00, 1: 233; 2: 189; 3: 59; 4: 34; 5: 6; 
macrophave_activation, 280, 18, 18,  954, 1, 5, 2616159, 63487.21, 160, 0.00, 1: 232; 2: 190; 3: 61; 4: 31; 5: 7; 
