Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
82(298)
Melhor resultado nxn: Yeast_Apoptosis, 315,  9,  9,  140, 1, 2, 639179, 14433.87, 0, 0.00, 1: 84; 2: 28; 
Yeast_Apoptosis, 942, 10,  8,  143, 1, 2, 634121, 14433.87, 77, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 547,  6, 14,  143, 1, 2, 658775, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 678,  7, 12,  143, 1, 2, 658774, 14433.87, 0, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 468,  7, 12,  143, 1, 2, 658831, 14433.87, 131, 0.00, 1: 81; 2: 31; 
Yeast_Apoptosis, 812,  7, 12,  144, 1, 2, 658575, 14433.87, 32, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 993,  7, 11,  144, 1, 2, 613310, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 891,  7, 11,  144, 1, 2, 613222, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 540,  8, 10,  144, 1, 2, 634163, 14433.87, 131, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 392,  9,  9,  144, 1, 2, 638987, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 137,  7, 11,  144, 1, 2, 613236, 14433.87, 166, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 898,  8, 10,  144, 1, 2, 633972, 14433.87, 163, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 899,  7, 11,  144, 1, 2, 613199, 14433.87, 31, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 264, 10,  8,  144, 1, 2, 633863, 14433.87, 208, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 643, 11,  7,  144, 1, 2, 613255, 14433.87, 31, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 174,  9,  9,  144, 1, 2, 639454, 14433.87, 0, 0.00, 1: 80; 2: 32; 
Yeast_Apoptosis, 725, 10,  8,  144, 1, 2, 634106, 14433.87, 85, 0.00, 1: 80; 2: 32; 
