Seed 1656949570
ARCH 0|F_ID 1|LIMIT 4
before: 
184(634)
PC12_Cell_Differentiation,  62, 10,  7,  203, 1, 4, 554407, 15452.93, 0, 0.00, 1: 48; 2: 34; 3: 21; 4: 6; 
PC12_Cell_Differentiation, 971,  7, 10,  203, 1, 4, 554372, 15452.93, 29, 0.00, 1: 46; 2: 36; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 386,  6, 12,  203, 1, 4, 566207, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 21; 4: 5; 
PC12_Cell_Differentiation,  10,  6, 11,  203, 1, 4, 525297, 15452.93, 22, 0.00, 1: 46; 2: 38; 3: 19; 4: 6; 
PC12_Cell_Differentiation,  24, 11,  6,  203, 1, 4, 525274, 15452.93, 64, 0.00, 1: 46; 2: 38; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 674,  6, 11,  204, 1, 4, 525289, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 603, 11,  6,  204, 1, 4, 525286, 15452.93, 29, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 793,  8,  8,  204, 1, 4, 508032, 15452.93, 121, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 426,  8,  9,  204, 1, 4, 566232, 15452.93, 73, 0.00, 1: 42; 2: 44; 3: 18; 4: 5; 
PC12_Cell_Differentiation, 800,  8,  9,  204, 1, 4, 566265, 15452.93, 5, 0.00, 1: 49; 2: 32; 3: 21; 4: 7; 
PC12_Cell_Differentiation, 499,  6, 12,  204, 1, 4, 566150, 15452.93, 0, 0.00, 1: 47; 2: 34; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 596, 10,  7,  204, 1, 4, 554360, 15452.93, 226, 0.00, 1: 42; 2: 43; 3: 20; 4: 4; 
PC12_Cell_Differentiation, 806,  8,  9,  204, 1, 4, 566284, 15452.93, 0, 0.00, 1: 45; 2: 37; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 272, 10,  7,  204, 1, 4, 554406, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 425,  6, 12,  204, 1, 4, 566182, 15452.93, 67, 0.00, 1: 45; 2: 40; 3: 17; 4: 7; 
PC12_Cell_Differentiation,  60,  8,  9,  204, 1, 4, 566154, 15452.93, 226, 0.00, 1: 46; 2: 39; 3: 16; 4: 8; 
PC12_Cell_Differentiation, 592,  6, 12,  204, 1, 4, 566176, 15452.93, 192, 0.00, 1: 44; 2: 41; 3: 18; 4: 6; 
PC12_Cell_Differentiation, 138,  8,  8,  204, 1, 4, 508032, 15452.93, 0, 0.00, 1: 47; 2: 36; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 276,  7, 10,  204, 1, 4, 554508, 15452.93, 0, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 699,  7, 10,  204, 1, 4, 554433, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 134,  6, 11,  204, 1, 4, 525271, 15452.93, 0, 0.00, 1: 44; 2: 40; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 546,  7, 10,  204, 1, 4, 554447, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 317,  7, 10,  204, 1, 4, 554403, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 929,  7, 10,  204, 1, 4, 554343, 15452.93, 0, 0.00, 1: 49; 2: 31; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 938,  6, 12,  204, 1, 4, 566240, 15452.93, 103, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 718,  7, 10,  204, 1, 4, 554192, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 334,  8,  8,  204, 1, 4, 508032, 15452.93, 0, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 516, 10,  7,  204, 1, 4, 554323, 15452.93, 226, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation,  27,  6, 11,  204, 1, 4, 525280, 15452.93, 29, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 202, 11,  6,  204, 1, 4, 525295, 15452.93, 136, 0.00, 1: 46; 2: 37; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 730,  8,  8,  204, 1, 4, 508032, 15452.93, 104, 0.00, 1: 46; 2: 39; 3: 16; 4: 8; 
PC12_Cell_Differentiation, 332,  6, 12,  204, 1, 4, 566366, 15452.93, 226, 0.00, 1: 47; 2: 34; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 236,  8,  9,  204, 1, 4, 566276, 15452.93, 50, 0.00, 1: 48; 2: 32; 3: 24; 4: 5; 
PC12_Cell_Differentiation,  57,  6, 11,  204, 1, 4, 525121, 15452.93, 0, 0.00, 1: 44; 2: 39; 3: 22; 4: 4; 
PC12_Cell_Differentiation, 181,  7, 10,  204, 1, 4, 554405, 15452.93, 0, 0.00, 1: 44; 2: 42; 3: 16; 4: 7; 
PC12_Cell_Differentiation,  22,  8,  8,  204, 1, 4, 508032, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 672,  8,  9,  204, 1, 4, 565997, 15452.93, 7, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 761,  8,  9,  204, 1, 4, 566372, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 949,  7, 10,  204, 1, 4, 554310, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation,  16, 11,  6,  204, 1, 4, 525302, 15452.93, 64, 0.00, 1: 47; 2: 33; 3: 25; 4: 4; 
PC12_Cell_Differentiation, 702,  6, 11,  204, 1, 4, 525246, 15452.93, 0, 0.00, 1: 45; 2: 39; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 813,  8,  8,  204, 1, 4, 508032, 15452.93, 0, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 554,  6, 12,  204, 1, 4, 566342, 15452.93, 97, 0.00, 1: 46; 2: 38; 3: 18; 4: 7; 
PC12_Cell_Differentiation,  71,  8,  9,  204, 1, 4, 566291, 15452.93, 0, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation,  68,  6, 12,  204, 1, 4, 566172, 15452.93, 226, 0.00, 1: 48; 2: 33; 3: 22; 4: 6; 
PC12_Cell_Differentiation, 576, 10,  7,  204, 1, 4, 554413, 15452.93, 176, 0.00, 1: 47; 2: 32; 3: 27; 4: 3; 
PC12_Cell_Differentiation,  31,  8,  9,  204, 1, 4, 566446, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 21; 4: 5; 
PC12_Cell_Differentiation, 897,  7, 10,  204, 1, 4, 554362, 15452.93, 113, 0.00, 1: 45; 2: 39; 3: 19; 4: 6; 
PC12_Cell_Differentiation, 843,  8,  8,  204, 1, 4, 508032, 15452.93, 29, 0.00, 1: 49; 2: 31; 3: 23; 4: 6; 
PC12_Cell_Differentiation, 579,  7, 10,  204, 1, 4, 554441, 15452.93, 29, 0.00, 1: 46; 2: 38; 3: 18; 4: 7; 
PC12_Cell_Differentiation, 842,  8,  8,  204, 1, 4, 508032, 15452.93, 104, 0.00, 1: 48; 2: 35; 3: 18; 4: 8; 
PC12_Cell_Differentiation, 566, 11,  6,  204, 1, 4, 525265, 15452.93, 0, 0.00, 1: 44; 2: 40; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 105, 11,  6,  204, 1, 4, 525279, 15452.93, 65, 0.00, 1: 47; 2: 36; 3: 19; 4: 7; 
PC12_Cell_Differentiation, 375,  7, 10,  204, 1, 4, 554233, 15452.93, 0, 0.00, 1: 47; 2: 35; 3: 21; 4: 6; 
PC12_Cell_Differentiation, 695,  7, 10,  204, 1, 4, 554403, 15452.93, 0, 0.00, 1: 42; 2: 40; 3: 26; 4: 1; 
PC12_Cell_Differentiation, 688,  8,  9,  204, 1, 4, 566161, 15452.93, 0, 0.00, 1: 44; 2: 38; 3: 24; 4: 3; 
PC12_Cell_Differentiation,  99, 10,  7,  204, 1, 4, 554383, 15452.93, 0, 0.00, 1: 46; 2: 35; 3: 24; 4: 4; 
PC12_Cell_Differentiation, 464,  8,  9,  204, 1, 4, 566319, 15452.93, 208, 0.00, 1: 44; 2: 40; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 124,  8,  9,  204, 1, 4, 566214, 15452.93, 0, 0.00, 1: 46; 2: 36; 3: 22; 4: 5; 
PC12_Cell_Differentiation, 126, 10,  7,  204, 1, 4, 554388, 15452.93, 0, 0.00, 1: 44; 2: 40; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 866, 10,  7,  205, 1, 4, 554343, 15452.93, 0, 0.00, 1: 43; 2: 41; 3: 20; 4: 5; 
PC12_Cell_Differentiation, 628, 10,  7,  205, 1, 4, 554426, 15452.93, 14, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 863,  7, 10,  205, 1, 4, 554407, 15452.93, 0, 0.00, 1: 44; 2: 38; 3: 23; 4: 4; 
PC12_Cell_Differentiation, 427,  8,  8,  205, 1, 4, 508032, 15452.93, 84, 0.00, 1: 46; 2: 33; 3: 27; 4: 3; 
PC12_Cell_Differentiation, 926,  8,  9,  205, 1, 4, 566324, 15452.93, 0, 0.00, 1: 46; 2: 35; 3: 23; 4: 5; 
PC12_Cell_Differentiation, 757,  7, 10,  205, 1, 4, 554305, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
PC12_Cell_Differentiation, 226,  6, 12,  205, 1, 4, 566099, 15452.93, 0, 0.00, 1: 45; 2: 37; 3: 22; 4: 5; 
PC12_Cell_Differentiation,  45, 10,  7,  205, 1, 4, 554417, 15452.93, 0, 0.00, 1: 45; 2: 38; 3: 20; 4: 6; 
