Seed 1656949570
ARCH 1|F_ID 1|LIMIT 4
before: 
242(251)
Melhor resultado nxn: PC12_Cell_Differentiation, 229,  8,  8,  146, 1, 2, 508032, 15314.41, 0, 0.00, 1: 72; 2: 37; 
PC12_Cell_Differentiation, 482,  8,  9,  148, 1, 2, 566485, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 467,  8,  9,  148, 1, 2, 566176, 15314.41, 234, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 958,  6, 12,  148, 1, 2, 566213, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 783,  6, 12,  148, 1, 2, 566327, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  19,  6, 12,  148, 1, 2, 566364, 15314.41, 235, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  48,  5, 14,  148, 1, 2, 554455, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 788,  6, 12,  148, 1, 2, 566489, 15314.41, 176, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 831,  5, 14,  148, 1, 2, 554379, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 809,  6, 11,  148, 1, 2, 525289, 15314.41, 69, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 761,  8,  9,  148, 1, 2, 566312, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation,  31,  8,  9,  148, 1, 2, 566413, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 952,  7, 10,  148, 1, 2, 554335, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 898,  8,  9,  148, 1, 2, 566642, 15314.41, 46, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 874,  6, 11,  148, 1, 2, 525327, 15314.41, 84, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 989,  7, 10,  148, 1, 2, 554387, 15314.41, 85, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 818,  8,  9,  148, 1, 2, 566101, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 865, 10,  7,  148, 1, 2, 554296, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 750,  6, 12,  148, 1, 2, 566072, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 873,  7, 10,  148, 1, 2, 554433, 15314.41, 69, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 975, 10,  7,  148, 1, 2, 554329, 15314.41, 0, 0.00, 1: 70; 2: 39; 
PC12_Cell_Differentiation, 748,  5, 14,  148, 1, 2, 554389, 15314.41, 32, 0.00, 1: 70; 2: 39; 
