Seed 1656949570
ARCH 0|F_ID 1|LIMIT 2
before: 
02(437)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway,  26,  6,  6,   47, 0, 2, 281790, 4512.16, 70, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 497,  6,  6,   50, 0, 2, 281735, 4512.16, 65, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 816,  5,  7,   50, 0, 2, 274295, 4512.16, 22, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 382,  4,  9,   50, 0, 2, 281771, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 814,  5,  8,   50, 0, 2, 308290, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 890,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 893,  6,  6,   50, 0, 2, 281805, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 385,  5,  8,   50, 0, 2, 308236, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 868,  5,  7,   50, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 515,  5,  7,   50, 0, 2, 274295, 4512.16, 136, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 538,  4,  9,   50, 0, 2, 281827, 4512.16, 70, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 980,  5,  7,   50, 0, 2, 274295, 4512.16, 144, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 494,  6,  6,   50, 0, 2, 281816, 4512.16, 95, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 265,  4,  9,   50, 0, 2, 281792, 4512.16, 4, 0.00, 0: 2; 1: 32; 2: 9; 
Cholesterol_Regulatory_Pathway, 222,  4, 10,   51, 0, 2, 308350, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 530,  4, 10,   51, 0, 2, 308254, 4512.16, 70, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 155,  9,  4,   51, 0, 2, 281796, 4512.16, 135, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 441,  4, 10,   51, 0, 2, 308271, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 881,  5,  8,   51, 0, 2, 308170, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 150,  4, 10,   51, 0, 2, 308428, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 840,  7,  5,   51, 0, 2, 274295, 4512.16, 96, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 219,  5,  7,   51, 0, 2, 274295, 4512.16, 135, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 647,  7,  5,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 643,  5,  7,   51, 0, 2, 274295, 4512.16, 136, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 708,  7,  5,   51, 0, 2, 274295, 4512.16, 144, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 836,  9,  4,   51, 0, 2, 281803, 4512.16, 144, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 792,  7,  5,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 835,  4, 10,   51, 0, 2, 308134, 4512.16, 136, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 965,  4,  9,   51, 0, 2, 281822, 4512.16, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 690,  4, 10,   51, 0, 2, 308341, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 262,  5,  8,   51, 0, 2, 308405, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 622,  6,  6,   51, 0, 2, 281856, 4512.16, 115, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 588,  5,  8,   51, 0, 2, 308147, 4512.16, 144, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 160,  4, 10,   51, 0, 2, 307689, 4512.16, 30, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 880,  5,  7,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 162,  5,  8,   51, 0, 2, 308333, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 288,  5,  7,   51, 0, 2, 274295, 4512.16, 35, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 677,  6,  6,   51, 0, 2, 281767, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 296,  5,  8,   51, 0, 2, 307855, 4512.16, 35, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 858,  5,  8,   51, 0, 2, 308225, 4512.16, 235, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 861,  6,  6,   51, 0, 2, 281827, 4512.16, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 947,  4, 10,   51, 0, 2, 308396, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 177,  6,  6,   51, 0, 2, 281822, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 870,  6,  6,   51, 0, 2, 281823, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 396,  5,  7,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 917,  4,  9,   51, 0, 2, 281827, 4512.16, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 323,  6,  6,   51, 0, 2, 281749, 4512.16, 136, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 116,  5,  7,   51, 0, 2, 274295, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 559,  4, 10,   51, 0, 2, 308253, 4512.16, 103, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 113,  7,  5,   51, 0, 2, 274295, 4512.16, 111, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 112,  6,  6,   51, 0, 2, 281816, 4512.16, 67, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  37,  5,  8,   51, 0, 2, 308507, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 557,  4, 10,   51, 0, 2, 308366, 4512.16, 49, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  85,  5,  8,   51, 0, 2, 308366, 4512.16, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  71,  4, 10,   51, 0, 2, 308315, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,   2,  5,  8,   51, 0, 2, 308399, 4512.16, 164, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  88,  9,  4,   51, 0, 2, 281773, 4512.16, 72, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 545,  4, 10,   51, 0, 2, 308396, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 785,  4, 10,   51, 0, 2, 308299, 4512.16, 6, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 787,  5,  7,   51, 0, 2, 274295, 4512.16, 136, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway,  90,  6,  6,   51, 0, 2, 281768, 4512.16, 70, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 542,  9,  4,   51, 0, 2, 281791, 4512.16, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 540,  5,  7,   51, 0, 2, 274295, 4512.16, 144, 0.00, 0: 2; 1: 31; 2: 10; 
