Seed 1656949570
ARCH 2|F_ID 1|LIMIT 2
before: 
192(976)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 934,  6,  6,   45, 1, 2, 281825, 4783.71, 0, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 827,  9,  4,   46, 1, 2, 281825, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 941,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  86,  9,  4,   46, 1, 2, 281804, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 944,  6,  6,   46, 1, 2, 281758, 4783.71, 112, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 894,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 893,  6,  6,   46, 1, 2, 281858, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 290,  5,  8,   46, 1, 2, 308289, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 891,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 764,  5,  8,   46, 1, 2, 308432, 4783.71, 1, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 823,  4, 10,   46, 1, 2, 308358, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 844,  9,  4,   46, 1, 2, 281791, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 849,  5,  8,   46, 1, 2, 308347, 4783.71, 166, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 852,  6,  6,   46, 1, 2, 281759, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  60,  5,  8,   46, 1, 2, 308124, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 300,  5,  8,   46, 1, 2, 308324, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 855,  4, 10,   46, 1, 2, 307749, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 856,  5,  7,   46, 1, 2, 274295, 4783.71, 144, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 394,  5,  7,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 858,  5,  8,   46, 1, 2, 308467, 4783.71, 208, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  71,  4, 10,   46, 1, 2, 308313, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  70,  4, 10,   46, 1, 2, 308349, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway,  69,  6,  6,   46, 1, 2, 281986, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 861,  6,  6,   46, 1, 2, 281821, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 296,  5,  8,   46, 1, 2, 308143, 4783.71, 35, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 864,  5,  8,   46, 1, 2, 307757, 4783.71, 19, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 777,  4, 10,   46, 1, 2, 308442, 4783.71, 166, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 923,  4, 10,   46, 1, 2, 308283, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 785,  4, 10,   46, 1, 2, 308608, 4783.71, 166, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 432,  9,  4,   46, 1, 2, 281732, 4783.71, 9, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 925,  4, 10,   46, 1, 2, 308498, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 796,  5,  7,   46, 1, 2, 274295, 4783.71, 74, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 111,  9,  4,   46, 1, 2, 281815, 4783.71, 95, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 797,  7,  5,   46, 1, 2, 274295, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 798,  4, 10,   46, 1, 2, 308281, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 799,  7,  5,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 428,  5,  8,   46, 1, 2, 308425, 4783.71, 53, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 939,  9,  4,   46, 1, 2, 281812, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 105,  4, 10,   46, 1, 2, 308294, 4783.71, 65, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 444,  5,  7,   46, 1, 2, 274295, 4783.71, 2, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 910,  9,  4,   46, 1, 2, 281678, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 355,  9,  4,   46, 1, 2, 281745, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 814,  5,  8,   46, 1, 2, 308094, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 768,  5,  8,   46, 1, 2, 308386, 4783.71, 16, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 285,  7,  5,   46, 1, 2, 274295, 4783.71, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 906,  7,  5,   46, 1, 2, 274295, 4783.71, 43, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 819,  7,  5,   46, 1, 2, 274295, 4783.71, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 367,  6,  6,   47, 1, 2, 281624, 4783.71, 116, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 370,  5,  7,   47, 1, 2, 274295, 4783.71, 111, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 527,  7,  5,   47, 1, 2, 274295, 4783.71, 0, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 552,  5,  8,   47, 1, 2, 308568, 4783.71, 32, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 366,  5,  7,   47, 1, 2, 274295, 4783.71, 115, 0.00, 1: 39; 2: 4; 
Cholesterol_Regulatory_Pathway, 500,  4, 10,   47, 1, 2, 308270, 4783.71, 0, 0.00, 1: 39; 2: 4; 
