Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
04(205)
macrophave_activation, 393, 16, 21,  958, 1, 4, 2696330, 213310.77, 232, 0.00, 1: 195; 2: 237; 3: 67; 4: 22; 
macrophave_activation,   6, 19, 17,  958, 1, 4, 2600107, 213310.77, 0, 0.00, 1: 213; 2: 209; 3: 69; 4: 30; 
macrophave_activation, 544, 17, 19,  960, 1, 4, 2600096, 213310.77, 213, 0.00, 1: 199; 2: 230; 3: 67; 4: 25; 
macrophave_activation, 374, 14, 24,  961, 1, 4, 2696289, 213310.77, 0, 0.00, 1: 216; 2: 196; 3: 83; 4: 26; 
macrophave_activation, 134, 18, 18,  961, 1, 4, 2616130, 213310.77, 0, 0.00, 1: 211; 2: 209; 3: 72; 4: 29; 
macrophave_activation, 632, 19, 17,  961, 1, 4, 2600097, 213310.77, 96, 0.00, 1: 208; 2: 212; 3: 75; 4: 26; 
macrophave_activation, 563, 19, 17,  961, 1, 4, 2600097, 213310.77, 0, 0.00, 1: 203; 2: 218; 3: 78; 4: 22; 
macrophave_activation, 436, 19, 17,  961, 1, 4, 2600099, 213310.77, 0, 0.00, 1: 208; 2: 213; 3: 73; 4: 27; 
macrophave_activation, 437, 17, 19,  961, 1, 4, 2600100, 213310.77, 0, 0.00, 1: 208; 2: 210; 3: 79; 4: 24; 
macrophave_activation,  44, 21, 16,  962, 1, 4, 2696285, 213310.77, 151, 0.00, 1: 200; 2: 226; 3: 70; 4: 25; 
macrophave_activation, 496, 16, 21,  962, 1, 4, 2696349, 213310.77, 128, 0.00, 1: 209; 2: 211; 3: 73; 4: 28; 
macrophave_activation, 307, 14, 24,  962, 1, 4, 2696327, 213310.77, 0, 0.00, 1: 200; 2: 223; 3: 76; 4: 22; 
macrophave_activation, 869, 21, 16,  963, 1, 4, 2696179, 213310.77, 0, 0.00, 1: 204; 2: 219; 3: 71; 4: 27; 
macrophave_activation, 378, 13, 25,  963, 1, 4, 2632141, 213310.77, 33, 0.00, 1: 207; 2: 209; 3: 82; 4: 23; 
macrophave_activation, 491, 19, 17,  963, 1, 4, 2600100, 213310.77, 216, 0.00, 1: 204; 2: 217; 3: 75; 4: 25; 
macrophave_activation, 764, 17, 19,  963, 1, 4, 2600066, 213310.77, 151, 0.00, 1: 196; 2: 235; 3: 63; 4: 27; 
macrophave_activation, 330, 17, 20,  963, 1, 4, 2757890, 213310.77, 33, 0.00, 1: 209; 2: 211; 3: 72; 4: 29; 
macrophave_activation, 925, 13, 25,  964, 1, 4, 2632230, 213310.77, 85, 0.00, 1: 207; 2: 213; 3: 73; 4: 28; 
macrophave_activation, 854, 16, 21,  964, 1, 4, 2696200, 213310.77, 0, 0.00, 1: 203; 2: 216; 3: 79; 4: 23; 
macrophave_activation, 518, 16, 21,  964, 1, 4, 2696342, 213310.77, 0, 0.00, 1: 205; 2: 215; 3: 75; 4: 26; 
macrophave_activation,  99, 17, 20,  964, 1, 4, 2757788, 213310.77, 0, 0.00, 1: 202; 2: 219; 3: 76; 4: 24; 
macrophave_activation, 293, 18, 18,  964, 1, 4, 2616103, 213310.77, 0, 0.00, 1: 208; 2: 216; 3: 64; 4: 33; 
macrophave_activation, 451, 17, 19,  965, 1, 4, 2600067, 213310.77, 0, 0.00, 1: 199; 2: 222; 3: 78; 4: 22; 
macrophave_activation, 644, 21, 16,  965, 1, 4, 2696082, 213310.77, 0, 0.00, 1: 210; 2: 205; 3: 79; 4: 27; 
macrophave_activation, 658, 16, 21,  966, 1, 4, 2696618, 213310.77, 0, 0.00, 1: 202; 2: 218; 3: 76; 4: 25; 
macrophave_activation, 311, 15, 22,  967, 1, 4, 2658187, 213310.77, 0, 0.00, 1: 207; 2: 207; 3: 82; 4: 25; 
macrophave_activation, 288, 17, 20,  967, 1, 4, 2757828, 213310.77, 210, 0.00, 1: 202; 2: 220; 3: 71; 4: 28; 
macrophave_activation,  93, 13, 26,  967, 1, 4, 2727090, 213310.77, 85, 0.00, 1: 190; 2: 239; 3: 69; 4: 23; 
macrophave_activation, 760, 21, 16,  967, 1, 4, 2696106, 213310.77, 96, 0.00, 1: 198; 2: 224; 3: 75; 4: 24; 
macrophave_activation, 937, 14, 24,  967, 1, 4, 2696231, 213310.77, 236, 0.00, 1: 196; 2: 229; 3: 71; 4: 25; 
macrophave_activation, 816, 17, 19,  968, 1, 4, 2600112, 213310.77, 55, 0.00, 1: 198; 2: 220; 3: 82; 4: 21; 
macrophave_activation, 753, 13, 26,  968, 1, 4, 2726971, 213310.77, 1, 0.00, 1: 209; 2: 213; 3: 63; 4: 36; 
macrophave_activation, 903, 18, 18,  968, 1, 4, 2616133, 213310.77, 0, 0.00, 1: 209; 2: 206; 3: 77; 4: 29; 
macrophave_activation, 881, 17, 20,  969, 1, 4, 2757820, 213310.77, 1, 0.00, 1: 199; 2: 223; 3: 72; 4: 27; 
macrophave_activation, 676, 18, 18,  969, 1, 4, 2616160, 213310.77, 0, 0.00, 1: 206; 2: 204; 3: 89; 4: 22; 
macrophave_activation, 959, 17, 19,  969, 1, 4, 2600111, 213310.77, 0, 0.00, 1: 201; 2: 221; 3: 70; 4: 29; 
macrophave_activation, 551, 17, 20,  970, 1, 4, 2757770, 213310.77, 0, 0.00, 1: 212; 2: 197; 3: 84; 4: 28; 
macrophave_activation, 390, 15, 22,  970, 1, 4, 2658230, 213310.77, 0, 0.00, 1: 195; 2: 229; 3: 71; 4: 26; 
macrophave_activation, 522, 18, 18,  970, 1, 4, 2616148, 213310.77, 33, 0.00, 1: 199; 2: 222; 3: 73; 4: 27; 
macrophave_activation, 557, 15, 22,  972, 1, 4, 2658175, 213310.77, 85, 0.00, 1: 211; 2: 199; 3: 81; 4: 30; 
macrophave_activation, 120, 14, 24,  972, 1, 4, 2696419, 213310.77, 96, 0.00, 1: 204; 2: 212; 3: 76; 4: 29; 
macrophave_activation, 279, 12, 27,  972, 1, 4, 2616090, 213310.77, 0, 0.00, 1: 204; 2: 209; 3: 82; 4: 26; 
macrophave_activation, 210, 19, 17,  973, 1, 4, 2600098, 213310.77, 0, 0.00, 1: 202; 2: 214; 3: 77; 4: 28; 
macrophave_activation, 297, 17, 20,  973, 1, 4, 2757859, 213310.77, 231, 0.00, 1: 194; 2: 224; 3: 81; 4: 22; 
macrophave_activation, 921, 12, 29,  973, 1, 4, 2821177, 213310.77, 236, 0.00, 1: 197; 2: 220; 3: 80; 4: 24; 
macrophave_activation, 672, 17, 19,  973, 1, 4, 2600110, 213310.77, 20, 0.00, 1: 203; 2: 210; 3: 82; 4: 26; 
macrophave_activation, 308, 17, 19,  973, 1, 4, 2600095, 213310.77, 0, 0.00, 1: 197; 2: 224; 3: 72; 4: 28; 
macrophave_activation, 609, 16, 21,  973, 1, 4, 2696324, 213310.77, 0, 0.00, 1: 190; 2: 235; 3: 71; 4: 25; 
macrophave_activation, 913, 19, 17,  973, 1, 4, 2600106, 213310.77, 0, 0.00, 1: 200; 2: 218; 3: 75; 4: 28; 
macrophave_activation, 847, 19, 17,  975, 1, 4, 2600073, 213310.77, 0, 0.00, 1: 192; 2: 227; 3: 79; 4: 23; 
macrophave_activation, 208, 12, 29,  975, 1, 4, 2821299, 213310.77, 180, 0.00, 1: 198; 2: 220; 3: 75; 4: 28; 
macrophave_activation, 159, 16, 21,  975, 1, 4, 2696305, 213310.77, 0, 0.00, 1: 199; 2: 215; 3: 82; 4: 25; 
macrophave_activation, 321, 17, 20,  975, 1, 4, 2757503, 213310.77, 1, 0.00, 1: 188; 2: 237; 3: 71; 4: 25; 
macrophave_activation,  23, 17, 20,  976, 1, 4, 2757841, 213310.77, 0, 0.00, 1: 195; 2: 221; 3: 81; 4: 24; 
macrophave_activation, 944, 12, 27,  976, 1, 4, 2616137, 213310.77, 175, 0.00, 1: 194; 2: 226; 3: 74; 4: 27; 
macrophave_activation, 675, 17, 19,  976, 1, 4, 2600098, 213310.77, 0, 0.00, 1: 200; 2: 215; 3: 78; 4: 28; 
macrophave_activation, 933, 17, 19,  977, 1, 4, 2600100, 213310.77, 0, 0.00, 1: 199; 2: 214; 3: 82; 4: 26; 
macrophave_activation, 703, 19, 17,  977, 1, 4, 2600106, 213310.77, 0, 0.00, 1: 200; 2: 213; 3: 81; 4: 27; 
macrophave_activation,  73, 17, 20,  978, 1, 4, 2757667, 213310.77, 229, 0.00, 1: 195; 2: 219; 3: 83; 4: 24; 
macrophave_activation, 511, 17, 19,  978, 1, 4, 2600108, 213310.77, 0, 0.00, 1: 188; 2: 236; 3: 70; 4: 27; 
macrophave_activation, 662, 15, 22,  979, 1, 4, 2658271, 213310.77, 0, 0.00, 1: 192; 2: 228; 3: 73; 4: 28; 
macrophave_activation, 427, 12, 28,  979, 1, 4, 2696359, 213310.77, 216, 0.00, 1: 183; 2: 244; 3: 68; 4: 26; 
macrophave_activation, 164, 14, 23,  980, 1, 4, 2635731, 213310.77, 0, 0.00, 1: 193; 2: 228; 3: 69; 4: 31; 
macrophave_activation, 219, 18, 18,  980, 1, 4, 2616133, 213310.77, 216, 0.00, 1: 204; 2: 205; 3: 82; 4: 30; 
macrophave_activation, 386, 13, 26,  981, 1, 4, 2727174, 213310.77, 0, 0.00, 1: 194; 2: 222; 3: 77; 4: 28; 
macrophave_activation, 762, 15, 22,  981, 1, 4, 2658082, 213310.77, 33, 0.00, 1: 193; 2: 221; 3: 82; 4: 25; 
macrophave_activation,  40, 19, 17,  982, 1, 4, 2600093, 213310.77, 144, 0.00, 1: 185; 2: 236; 3: 75; 4: 25; 
macrophave_activation, 755, 12, 28,  983, 1, 4, 2696323, 213310.77, 0, 0.00, 1: 193; 2: 223; 3: 76; 4: 29; 
macrophave_activation,  16, 16, 21,  983, 1, 4, 2696349, 213310.77, 144, 0.00, 1: 202; 2: 205; 3: 85; 4: 29; 
macrophave_activation,  36, 17, 20,  983, 1, 4, 2757858, 213310.77, 0, 0.00, 1: 197; 2: 214; 3: 82; 4: 28; 
macrophave_activation, 486, 19, 17,  984, 1, 4, 2600101, 213310.77, 0, 0.00, 1: 199; 2: 212; 3: 79; 4: 31; 
macrophave_activation, 991, 18, 18,  984, 1, 4, 2616151, 213310.77, 0, 0.00, 1: 199; 2: 210; 3: 83; 4: 29; 
macrophave_activation, 403, 12, 28,  984, 1, 4, 2696285, 213310.77, 0, 0.00, 1: 191; 2: 223; 3: 81; 4: 26; 
macrophave_activation, 114, 17, 20,  984, 1, 4, 2757655, 213310.77, 0, 0.00, 1: 201; 2: 208; 3: 81; 4: 31; 
macrophave_activation, 725, 15, 22,  984, 1, 4, 2658068, 213310.77, 0, 0.00, 1: 192; 2: 222; 3: 80; 4: 27; 
macrophave_activation,  87, 14, 24,  985, 1, 4, 2696213, 213310.77, 0, 0.00, 1: 184; 2: 234; 3: 79; 4: 24; 
macrophave_activation, 844, 19, 17,  985, 1, 4, 2600104, 213310.77, 151, 0.00, 1: 195; 2: 216; 3: 82; 4: 28; 
macrophave_activation, 561, 17, 19,  985, 1, 4, 2600094, 213310.77, 0, 0.00, 1: 196; 2: 218; 3: 75; 4: 32; 
macrophave_activation, 513, 17, 19,  986, 1, 4, 2600083, 213310.77, 0, 0.00, 1: 188; 2: 224; 3: 86; 4: 23; 
macrophave_activation, 370, 17, 19,  987, 1, 4, 2600090, 213310.77, 0, 0.00, 1: 191; 2: 223; 3: 78; 4: 29; 
macrophave_activation,  77, 12, 28,  988, 1, 4, 2696341, 213310.77, 85, 0.00, 1: 193; 2: 223; 3: 71; 4: 34; 
macrophave_activation, 588, 13, 25,  989, 1, 4, 2632198, 213310.77, 151, 0.00, 1: 181; 2: 239; 3: 74; 4: 27; 
macrophave_activation, 495, 16, 21,  989, 1, 4, 2696286, 213310.77, 0, 0.00, 1: 190; 2: 225; 3: 75; 4: 31; 
macrophave_activation, 888, 14, 24,  989, 1, 4, 2696234, 213310.77, 96, 0.00, 1: 205; 2: 194; 3: 92; 4: 30; 
