Seed 1656949570
ARCH 1|F_ID 3|LIMIT 3
before: 
02(686)
Melhor resultado nxn: Glucose_Repression_Signaling_2009, 805,  9,  9,  127, 1, 2, 639015, 43827.16, 0, 0.00, 1: 85; 2: 21; 
Glucose_Repression_Signaling_2009, 259,  8, 10,  131, 1, 2, 634062, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 584,  8, 10,  131, 1, 2, 634179, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 331, 10,  8,  131, 1, 2, 633932, 43827.16, 114, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 932, 10,  8,  131, 1, 2, 634175, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 590, 10,  8,  131, 1, 2, 634474, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 576,  7, 12,  131, 1, 2, 658212, 43827.16, 240, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 347, 10,  8,  131, 1, 2, 633994, 43827.16, 115, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 532, 11,  7,  131, 1, 2, 612980, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 574,  9,  9,  131, 1, 2, 639230, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 496,  8, 10,  131, 1, 2, 633964, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 493, 10,  8,  131, 1, 2, 633784, 43827.16, 49, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 595, 10,  8,  131, 1, 2, 634317, 43827.16, 115, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 570,  9,  9,  131, 1, 2, 639250, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 215, 10,  8,  131, 1, 2, 633641, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 488,  6, 14,  131, 1, 2, 658616, 43827.16, 32, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 238, 10,  8,  131, 1, 2, 634090, 43827.16, 32, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 600,  9,  9,  131, 1, 2, 639055, 43827.16, 72, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 605,  7, 11,  131, 1, 2, 613032, 43827.16, 85, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 561, 11,  7,  131, 1, 2, 613265, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 893,  9,  9,  131, 1, 2, 638994, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 608,  7, 12,  131, 1, 2, 658919, 43827.16, 6, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 957,  9,  9,  131, 1, 2, 638845, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 613,  6, 14,  131, 1, 2, 658864, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 281,  7, 12,  131, 1, 2, 658692, 43827.16, 105, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 368,  9,  9,  131, 1, 2, 639225, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 466, 11,  7,  131, 1, 2, 613284, 43827.16, 62, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 622,  8, 10,  131, 1, 2, 633976, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  60, 10,  8,  131, 1, 2, 634216, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 134,  7, 11,  131, 1, 2, 613190, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 721, 11,  7,  131, 1, 2, 613284, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 756,  6, 13,  131, 1, 2, 619608, 43827.16, 60, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 122,  7, 12,  131, 1, 2, 658909, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  33,  8, 10,  131, 1, 2, 634120, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 994,  8, 10,  131, 1, 2, 633879, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,   4, 10,  8,  131, 1, 2, 634126, 43827.16, 197, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  81,  9,  9,  131, 1, 2, 639375, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 755, 11,  7,  131, 1, 2, 613154, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 799,  7, 12,  131, 1, 2, 658716, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 988,  6, 14,  131, 1, 2, 658471, 43827.16, 187, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  17,  9,  9,  131, 1, 2, 638964, 43827.16, 103, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 724, 11,  7,  131, 1, 2, 613192, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 119,  8, 10,  131, 1, 2, 634311, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 711,  6, 14,  131, 1, 2, 658882, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 146,  7, 12,  131, 1, 2, 658788, 43827.16, 62, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 714,  8, 10,  131, 1, 2, 634176, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  45, 10,  8,  131, 1, 2, 634261, 43827.16, 115, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009,  39, 11,  7,  131, 1, 2, 613148, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 827,  6, 14,  131, 1, 2, 658547, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 143,  6, 14,  131, 1, 2, 658876, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 979, 11,  7,  131, 1, 2, 613333, 43827.16, 115, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 110,  8, 10,  131, 1, 2, 633839, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 712, 11,  7,  131, 1, 2, 613115, 43827.16, 0, 0.00, 1: 81; 2: 25; 
Glucose_Repression_Signaling_2009, 336,  7, 11,  132, 1, 2, 613294, 43827.16, 16, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 983,  8, 10,  132, 1, 2, 634061, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 959,  7, 11,  132, 1, 2, 613477, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 589,  8, 10,  132, 1, 2, 634153, 43827.16, 85, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 984,  9,  9,  132, 1, 2, 639359, 43827.16, 200, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 948,  7, 12,  132, 1, 2, 657889, 43827.16, 61, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 803,  7, 12,  132, 1, 2, 658942, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 767,  8, 10,  132, 1, 2, 634259, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  47,  7, 11,  132, 1, 2, 613183, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 982,  9,  9,  132, 1, 2, 638793, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 596,  8, 10,  132, 1, 2, 634287, 43827.16, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 340, 11,  7,  132, 1, 2, 613106, 43827.16, 187, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 931, 10,  8,  132, 1, 2, 633992, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 240,  5, 16,  132, 1, 2, 634170, 43827.16, 60, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 504,  7, 12,  132, 1, 2, 658874, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 237,  7, 12,  132, 1, 2, 658589, 43827.16, 112, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 343,  9,  9,  132, 1, 2, 638998, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 235, 10,  8,  132, 1, 2, 633922, 43827.16, 116, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 804, 11,  7,  132, 1, 2, 613156, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 111,  6, 13,  132, 1, 2, 619531, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 538, 10,  8,  132, 1, 2, 634005, 43827.16, 26, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 558, 10,  8,  132, 1, 2, 633970, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  62,  8, 10,  132, 1, 2, 634251, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 304,  6, 14,  132, 1, 2, 658824, 43827.16, 8, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009,  63, 11,  7,  132, 1, 2, 613292, 43827.16, 0, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 830,  7, 11,  132, 1, 2, 613403, 43827.16, 255, 0.00, 1: 80; 2: 26; 
Glucose_Repression_Signaling_2009, 543, 10,  8,  132, 1, 2, 634129, 43827.16, 0, 0.00, 1: 80; 2: 26; 
