Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
04(988)
Melhor resultado nxn: Yeast_Apoptosis, 174,  9,  9,  189, 1, 4, 639234, 19894.78, 0, 0.00, 1: 58; 2: 34; 3: 17; 4: 3; 
Yeast_Apoptosis, 874,  7, 11,  198, 1, 4, 613203, 19894.78, 121, 0.00, 1: 60; 2: 26; 3: 18; 4: 8; 
Yeast_Apoptosis, 722,  7, 11,  198, 1, 4, 613152, 19894.78, 101, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 444,  8, 10,  198, 1, 4, 634011, 19894.78, 2, 0.00, 1: 57; 2: 32; 3: 15; 4: 8; 
Yeast_Apoptosis, 957,  9,  9,  198, 1, 4, 639071, 19894.78, 0, 0.00, 1: 57; 2: 31; 3: 17; 4: 7; 
Yeast_Apoptosis, 159, 11,  7,  198, 1, 4, 613173, 19894.78, 0, 0.00, 1: 59; 2: 30; 3: 13; 4: 10; 
Yeast_Apoptosis, 951, 11,  7,  198, 1, 4, 613177, 19894.78, 0, 0.00, 1: 54; 2: 37; 3: 14; 4: 7; 
Yeast_Apoptosis, 775, 11,  7,  198, 1, 4, 613189, 19894.78, 0, 0.00, 1: 58; 2: 31; 3: 14; 4: 9; 
Yeast_Apoptosis, 594, 10,  8,  198, 1, 4, 634007, 19894.78, 125, 0.00, 1: 56; 2: 31; 3: 20; 4: 5; 
Yeast_Apoptosis, 574,  9,  9,  198, 1, 4, 639001, 19894.78, 0, 0.00, 1: 55; 2: 34; 3: 17; 4: 6; 
Yeast_Apoptosis, 643, 11,  7,  198, 1, 4, 613164, 19894.78, 22, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 573,  8, 10,  198, 1, 4, 634082, 19894.78, 0, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 944, 10,  8,  198, 1, 4, 634063, 19894.78, 32, 0.00, 1: 55; 2: 36; 3: 13; 4: 8; 
Yeast_Apoptosis, 261,  7, 11,  198, 1, 4, 613185, 19894.78, 86, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 482, 10,  8,  198, 1, 4, 634036, 19894.78, 0, 0.00, 1: 54; 2: 36; 3: 16; 4: 6; 
Yeast_Apoptosis, 313,  9,  9,  198, 1, 4, 639228, 19894.78, 0, 0.00, 1: 57; 2: 30; 3: 19; 4: 6; 
Yeast_Apoptosis, 797, 10,  8,  198, 1, 4, 634032, 19894.78, 86, 0.00, 1: 55; 2: 35; 3: 15; 4: 7; 
Yeast_Apoptosis, 301, 11,  7,  198, 1, 4, 613164, 19894.78, 0, 0.00, 1: 57; 2: 30; 3: 19; 4: 6; 
Yeast_Apoptosis, 615, 10,  8,  198, 1, 4, 634088, 19894.78, 0, 0.00, 1: 59; 2: 29; 3: 15; 4: 9; 
Yeast_Apoptosis, 542, 11,  7,  198, 1, 4, 613071, 19894.78, 0, 0.00, 1: 55; 2: 35; 3: 15; 4: 7; 
Yeast_Apoptosis, 284, 11,  7,  198, 1, 4, 613167, 19894.78, 49, 0.00, 1: 61; 2: 24; 3: 19; 4: 8; 
Yeast_Apoptosis, 484,  8, 10,  198, 1, 4, 634009, 19894.78, 0, 0.00, 1: 55; 2: 34; 3: 17; 4: 6; 
Yeast_Apoptosis, 603, 10,  8,  198, 1, 4, 634032, 19894.78, 22, 0.00, 1: 58; 2: 31; 3: 14; 4: 9; 
Yeast_Apoptosis, 260,  8, 10,  198, 1, 4, 634041, 19894.78, 49, 0.00, 1: 57; 2: 31; 3: 17; 4: 7; 
Yeast_Apoptosis, 984,  9,  9,  198, 1, 4, 639208, 19894.78, 200, 0.00, 1: 59; 2: 26; 3: 21; 4: 6; 
Yeast_Apoptosis, 784,  8, 10,  198, 1, 4, 634202, 19894.78, 48, 0.00, 1: 55; 2: 32; 3: 21; 4: 4; 
Yeast_Apoptosis, 502,  6, 14,  198, 1, 4, 658627, 19894.78, 0, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 740,  6, 14,  198, 1, 4, 658726, 19894.78, 0, 0.00, 1: 58; 2: 31; 3: 14; 4: 9; 
Yeast_Apoptosis, 233,  6, 13,  198, 1, 4, 619550, 19894.78, 65, 0.00, 1: 58; 2: 30; 3: 16; 4: 8; 
Yeast_Apoptosis, 463, 11,  7,  198, 1, 4, 613194, 19894.78, 0, 0.00, 1: 57; 2: 32; 3: 15; 4: 8; 
Yeast_Apoptosis, 453, 10,  8,  198, 1, 4, 634076, 19894.78, 86, 0.00, 1: 57; 2: 29; 3: 21; 4: 5; 
Yeast_Apoptosis, 588, 10,  8,  198, 1, 4, 634032, 19894.78, 49, 0.00, 1: 57; 2: 33; 3: 13; 4: 9; 
Yeast_Apoptosis, 106, 11,  7,  198, 1, 4, 613152, 19894.78, 73, 0.00, 1: 55; 2: 33; 3: 19; 4: 5; 
Yeast_Apoptosis, 589,  8, 10,  198, 1, 4, 634131, 19894.78, 86, 0.00, 1: 56; 2: 33; 3: 16; 4: 7; 
Yeast_Apoptosis, 133, 11,  7,  198, 1, 4, 613187, 19894.78, 86, 0.00, 1: 58; 2: 30; 3: 16; 4: 8; 
Yeast_Apoptosis, 914, 10,  8,  198, 1, 4, 633989, 19894.78, 101, 0.00, 1: 53; 2: 37; 3: 17; 4: 5; 
