Seed 1656949570
ARCH 1|F_ID 3|LIMIT 6
before: 
14(597)
signal_transduction_in_fibroblasts, 203,  9, 17, 1056, 1, 4, 1222900, 188401.53, 0, 0.00, 1: 191; 2: 219; 3: 117; 4: 19; 
signal_transduction_in_fibroblasts,  11, 12, 12, 1056, 1, 4, 1151995, 188401.53, 242, 0.00, 1: 189; 2: 225; 3: 111; 4: 21; 
signal_transduction_in_fibroblasts, 584, 12, 12, 1056, 1, 4, 1152125, 188401.53, 19, 0.00, 1: 195; 2: 211; 3: 121; 4: 19; 
signal_transduction_in_fibroblasts, 301, 11, 13, 1056, 1, 4, 1146649, 188401.53, 0, 0.00, 1: 190; 2: 224; 3: 110; 4: 22; 
signal_transduction_in_fibroblasts, 534, 14, 10, 1056, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 194; 2: 210; 3: 126; 4: 16; 
signal_transduction_in_fibroblasts, 765, 10, 15, 1056, 1, 4, 1200981, 188401.53, 0, 0.00, 1: 185; 2: 223; 3: 127; 4: 11; 
signal_transduction_in_fibroblasts, 309, 10, 15, 1056, 1, 4, 1200967, 188401.53, 0, 0.00, 1: 192; 2: 214; 3: 124; 4: 16; 
signal_transduction_in_fibroblasts, 860, 10, 14, 1057, 1, 4, 1128680, 188401.53, 113, 0.00, 1: 190; 2: 213; 3: 131; 4: 12; 
signal_transduction_in_fibroblasts, 369, 11, 13, 1057, 1, 4, 1146577, 188401.53, 0, 0.00, 1: 194; 2: 215; 3: 115; 4: 22; 
signal_transduction_in_fibroblasts, 849, 13, 11, 1057, 1, 4, 1146642, 188401.53, 0, 0.00, 1: 197; 2: 204; 3: 128; 4: 17; 
signal_transduction_in_fibroblasts, 817, 10, 15, 1057, 1, 4, 1200739, 188401.53, 0, 0.00, 1: 194; 2: 212; 3: 121; 4: 19; 
signal_transduction_in_fibroblasts, 436, 10, 14, 1057, 1, 4, 1128680, 188401.53, 104, 0.00, 1: 184; 2: 225; 3: 125; 4: 12; 
signal_transduction_in_fibroblasts, 574, 10, 14, 1057, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 201; 2: 202; 3: 120; 4: 23; 
signal_transduction_in_fibroblasts, 790, 12, 12, 1057, 1, 4, 1151969, 188401.53, 0, 0.00, 1: 187; 2: 224; 3: 118; 4: 17; 
signal_transduction_in_fibroblasts,  55, 10, 15, 1057, 1, 4, 1200847, 188401.53, 0, 0.00, 1: 185; 2: 229; 3: 114; 4: 18; 
signal_transduction_in_fibroblasts, 208, 12, 12, 1057, 1, 4, 1152028, 188401.53, 9, 0.00, 1: 195; 2: 212; 3: 118; 4: 21; 
signal_transduction_in_fibroblasts, 736, 12, 12, 1057, 1, 4, 1152060, 188401.53, 24, 0.00, 1: 198; 2: 197; 3: 139; 4: 12; 
signal_transduction_in_fibroblasts,  12, 10, 15, 1057, 1, 4, 1200830, 188401.53, 220, 0.00, 1: 185; 2: 231; 3: 110; 4: 20; 
signal_transduction_in_fibroblasts, 666, 13, 11, 1058, 1, 4, 1146565, 188401.53, 0, 0.00, 1: 189; 2: 219; 3: 121; 4: 17; 
signal_transduction_in_fibroblasts, 416, 12, 12, 1058, 1, 4, 1152029, 188401.53, 14, 0.00, 1: 190; 2: 218; 3: 120; 4: 18; 
signal_transduction_in_fibroblasts, 892, 14, 10, 1058, 1, 4, 1128680, 188401.53, 40, 0.00, 1: 198; 2: 203; 3: 126; 4: 19; 
signal_transduction_in_fibroblasts, 197, 11, 13, 1058, 1, 4, 1146603, 188401.53, 0, 0.00, 1: 192; 2: 215; 3: 120; 4: 19; 
signal_transduction_in_fibroblasts, 541, 11, 13, 1058, 1, 4, 1146576, 188401.53, 0, 0.00, 1: 188; 2: 215; 3: 132; 4: 11; 
signal_transduction_in_fibroblasts, 478, 11, 13, 1058, 1, 4, 1146597, 188401.53, 0, 0.00, 1: 191; 2: 219; 3: 115; 4: 21; 
signal_transduction_in_fibroblasts,  43, 13, 11, 1058, 1, 4, 1146615, 188401.53, 0, 0.00, 1: 192; 2: 215; 3: 120; 4: 19; 
signal_transduction_in_fibroblasts, 937, 12, 12, 1058, 1, 4, 1152008, 188401.53, 0, 0.00, 1: 183; 2: 232; 3: 113; 4: 18; 
signal_transduction_in_fibroblasts, 501, 13, 11, 1058, 1, 4, 1146554, 188401.53, 0, 0.00, 1: 195; 2: 210; 3: 121; 4: 20; 
signal_transduction_in_fibroblasts, 126, 12, 12, 1058, 1, 4, 1151960, 188401.53, 0, 0.00, 1: 181; 2: 234; 3: 115; 4: 16; 
signal_transduction_in_fibroblasts, 888, 12, 12, 1058, 1, 4, 1152065, 188401.53, 27, 0.00, 1: 198; 2: 205; 3: 122; 4: 21; 
signal_transduction_in_fibroblasts,  59, 11, 13, 1058, 1, 4, 1146629, 188401.53, 0, 0.00, 1: 199; 2: 204; 3: 121; 4: 22; 
signal_transduction_in_fibroblasts, 492, 11, 13, 1058, 1, 4, 1146602, 188401.53, 83, 0.00, 1: 199; 2: 205; 3: 119; 4: 23; 
signal_transduction_in_fibroblasts, 226,  9, 17, 1058, 1, 4, 1222874, 188401.53, 0, 0.00, 1: 188; 2: 226; 3: 110; 4: 22; 
signal_transduction_in_fibroblasts, 801, 13, 11, 1058, 1, 4, 1146595, 188401.53, 0, 0.00, 1: 192; 2: 211; 3: 128; 4: 15; 
signal_transduction_in_fibroblasts, 770, 10, 14, 1059, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 201; 2: 201; 3: 120; 4: 24; 
signal_transduction_in_fibroblasts, 826, 11, 13, 1059, 1, 4, 1146613, 188401.53, 0, 0.00, 1: 194; 2: 210; 3: 123; 4: 19; 
signal_transduction_in_fibroblasts, 465, 11, 13, 1059, 1, 4, 1146537, 188401.53, 0, 0.00, 1: 197; 2: 206; 3: 122; 4: 21; 
signal_transduction_in_fibroblasts, 694, 12, 12, 1059, 1, 4, 1151975, 188401.53, 0, 0.00, 1: 190; 2: 214; 3: 127; 4: 15; 
signal_transduction_in_fibroblasts, 435, 13, 11, 1059, 1, 4, 1146618, 188401.53, 0, 0.00, 1: 191; 2: 213; 3: 126; 4: 16; 
signal_transduction_in_fibroblasts, 989, 12, 12, 1059, 1, 4, 1152026, 188401.53, 0, 0.00, 1: 194; 2: 213; 3: 117; 4: 22; 
signal_transduction_in_fibroblasts, 430, 11, 13, 1059, 1, 4, 1146592, 188401.53, 0, 0.00, 1: 198; 2: 203; 3: 125; 4: 20; 
signal_transduction_in_fibroblasts, 902, 11, 13, 1059, 1, 4, 1146612, 188401.53, 0, 0.00, 1: 184; 2: 231; 3: 111; 4: 20; 
signal_transduction_in_fibroblasts, 551, 13, 11, 1059, 1, 4, 1146724, 188401.53, 0, 0.00, 1: 186; 2: 228; 3: 111; 4: 21; 
signal_transduction_in_fibroblasts, 887,  9, 16, 1059, 1, 4, 1152052, 188401.53, 0, 0.00, 1: 188; 2: 224; 3: 113; 4: 21; 
signal_transduction_in_fibroblasts, 103, 11, 13, 1059, 1, 4, 1146608, 188401.53, 0, 0.00, 1: 194; 2: 211; 3: 121; 4: 20; 
signal_transduction_in_fibroblasts, 362,  9, 17, 1059, 1, 4, 1222680, 188401.53, 0, 0.00, 1: 187; 2: 227; 3: 110; 4: 22; 
signal_transduction_in_fibroblasts, 493, 10, 14, 1059, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 186; 2: 228; 3: 111; 4: 21; 
signal_transduction_in_fibroblasts, 361, 14, 10, 1059, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 194; 2: 214; 3: 115; 4: 23; 
signal_transduction_in_fibroblasts, 200, 11, 13, 1060, 1, 4, 1146578, 188401.53, 8, 0.00, 1: 191; 2: 217; 3: 117; 4: 21; 
signal_transduction_in_fibroblasts, 107, 12, 12, 1060, 1, 4, 1152022, 188401.53, 0, 0.00, 1: 192; 2: 213; 3: 122; 4: 19; 
signal_transduction_in_fibroblasts, 278, 14, 10, 1060, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 192; 2: 214; 3: 120; 4: 20; 
signal_transduction_in_fibroblasts, 252,  9, 17, 1060, 1, 4, 1222792, 188401.53, 24, 0.00, 1: 194; 2: 209; 3: 124; 4: 19; 
signal_transduction_in_fibroblasts,  49, 14, 10, 1060, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 197; 2: 208; 3: 117; 4: 24; 
signal_transduction_in_fibroblasts, 350,  9, 16, 1060, 1, 4, 1152024, 188401.53, 0, 0.00, 1: 194; 2: 211; 3: 120; 4: 21; 
signal_transduction_in_fibroblasts, 616, 14, 10, 1060, 1, 4, 1128680, 188401.53, 22, 0.00, 1: 189; 2: 214; 3: 129; 4: 14; 
signal_transduction_in_fibroblasts, 917, 14, 10, 1060, 1, 4, 1128680, 188401.53, 0, 0.00, 1: 189; 2: 221; 3: 115; 4: 21; 
signal_transduction_in_fibroblasts, 745, 11, 13, 1060, 1, 4, 1146577, 188401.53, 0, 0.00, 1: 188; 2: 221; 3: 118; 4: 19; 
