Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
24(811)
IGVH_mutations_in_chronic_lymphocytic_leukemia, 206, 10, 10,  242, 0, 4, 796023, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 36; 3: 15; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 909, 11,  9,  242, 0, 4, 786085, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 32; 3: 17; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 226, 11,  9,  242, 0, 4, 786099, 25006.03, 0, 0.00, 0: 25; 1: 53; 2: 41; 3: 17; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 401, 10, 10,  242, 0, 4, 796040, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 30; 3: 18; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 143,  8, 12,  242, 0, 4, 764347, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 36; 3: 18; 4: 15; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 937,  9, 11,  242, 0, 4, 786171, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 35; 3: 17; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 862,  9, 11,  242, 0, 4, 786134, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 29; 3: 20; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia,  40, 11,  9,  242, 0, 4, 786085, 25006.03, 7, 0.00, 0: 25; 1: 59; 2: 31; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 342, 10, 10,  242, 0, 4, 795852, 25006.03, 0, 0.00, 0: 25; 1: 59; 2: 31; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 351, 10, 10,  242, 0, 4, 796035, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 33; 3: 24; 4: 12; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 514,  8, 12,  242, 0, 4, 764410, 25006.03, 0, 0.00, 0: 25; 1: 55; 2: 39; 3: 15; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 116, 12,  8,  243, 0, 4, 764396, 25006.03, 59, 0.00, 0: 25; 1: 58; 2: 32; 3: 19; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 828,  8, 12,  243, 0, 4, 764286, 25006.03, 16, 0.00, 0: 25; 1: 55; 2: 38; 3: 16; 4: 16; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 291, 11,  9,  243, 0, 4, 786118, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 34; 3: 21; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 776, 11,  9,  243, 0, 4, 786110, 25006.03, 74, 0.00, 0: 25; 1: 56; 2: 33; 3: 23; 4: 13; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 749, 11,  9,  243, 0, 4, 786127, 25006.03, 0, 0.00, 0: 25; 1: 60; 2: 31; 3: 15; 4: 19; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 210, 12,  8,  243, 0, 4, 764470, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 37; 3: 15; 4: 17; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 218, 11,  9,  243, 0, 4, 786129, 25006.03, 0, 0.00, 0: 25; 1: 56; 2: 34; 3: 21; 4: 14; 
IGVH_mutations_in_chronic_lymphocytic_leukemia, 282, 11,  9,  243, 0, 4, 786058, 25006.03, 0, 0.00, 0: 25; 1: 57; 2: 33; 3: 20; 4: 15; 
