Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
43(480)
Melhor resultado nxn: Yeast_Apoptosis, 836,  9,  9,  145, 1, 3, 639081, 17070.56, 75, 0.00, 1: 81; 2: 29; 3: 2; 
Yeast_Apoptosis, 561, 11,  7,  149, 1, 3, 613209, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 194,  6, 14,  149, 1, 3, 658361, 17070.56, 63, 0.00, 1: 81; 2: 25; 3: 6; 
Yeast_Apoptosis, 922,  7, 11,  149, 1, 3, 612881, 17070.56, 64, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 931, 10,  8,  149, 1, 3, 633625, 17070.56, 0, 0.00, 1: 80; 2: 27; 3: 5; 
Yeast_Apoptosis, 894, 10,  8,  149, 1, 3, 634279, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 957,  9,  9,  149, 1, 3, 638472, 17070.56, 0, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 877,  7, 12,  149, 1, 3, 658496, 17070.56, 45, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis, 944, 10,  8,  149, 1, 3, 634258, 17070.56, 32, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 997,  9,  9,  149, 1, 3, 638353, 17070.56, 0, 0.00, 1: 78; 2: 31; 3: 3; 
Yeast_Apoptosis,  31,  9,  9,  149, 1, 3, 639392, 17070.56, 0, 0.00, 1: 77; 2: 33; 3: 2; 
Yeast_Apoptosis,  14,  7, 11,  149, 1, 3, 613433, 17070.56, 0, 0.00, 1: 76; 2: 35; 3: 1; 
Yeast_Apoptosis,  51,  8, 10,  149, 1, 3, 634379, 17070.56, 187, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 920,  7, 12,  149, 1, 3, 658803, 17070.56, 136, 0.00, 1: 79; 2: 29; 3: 4; 
Yeast_Apoptosis, 678,  7, 12,  150, 1, 3, 659111, 17070.56, 0, 0.00, 1: 77; 2: 32; 3: 3; 
Yeast_Apoptosis, 633,  8, 10,  150, 1, 3, 633957, 17070.56, 0, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis,  89,  9,  9,  150, 1, 3, 639147, 17070.56, 151, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 793,  6, 14,  150, 1, 3, 658737, 17070.56, 154, 0.00, 1: 80; 2: 26; 3: 6; 
Yeast_Apoptosis, 890, 10,  8,  150, 1, 3, 634397, 17070.56, 0, 0.00, 1: 75; 2: 36; 3: 1; 
Yeast_Apoptosis, 170,  8, 10,  150, 1, 3, 634304, 17070.56, 0, 0.00, 1: 79; 2: 28; 3: 5; 
Yeast_Apoptosis, 652,  6, 13,  150, 1, 3, 619741, 17070.56, 75, 0.00, 1: 77; 2: 32; 3: 3; 
