Seed 1656949570
ARCH 2|F_ID 2|LIMIT 2
before: 
102(1000)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 651,  6,  6,   45, 1, 2, 281803, 6375.60, 249, 0.00, 1: 41; 2: 2; 
Cholesterol_Regulatory_Pathway, 905,  9,  4,   46, 1, 2, 281788, 6375.60, 134, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 899,  4, 10,   46, 1, 2, 308265, 6375.60, 249, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 895,  6,  6,   46, 1, 2, 281806, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 894,  5,  7,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 888,  4,  9,   46, 1, 2, 281775, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 872,  5,  8,   46, 1, 2, 308276, 6375.60, 30, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 863,  6,  6,   46, 1, 2, 281781, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 861,  6,  6,   46, 1, 2, 281845, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 920,  7,  5,   46, 1, 2, 274295, 6375.60, 96, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 833,  6,  6,   46, 1, 2, 281813, 6375.60, 134, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 828,  4, 10,   46, 1, 2, 308447, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 826,  9,  4,   46, 1, 2, 281771, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 818,  4, 10,   46, 1, 2, 308219, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 814,  5,  8,   46, 1, 2, 308304, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 812,  4, 10,   46, 1, 2, 308278, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 798,  4, 10,   46, 1, 2, 308337, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 952,  4, 10,   46, 1, 2, 308314, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 999,  4,  9,   46, 1, 2, 281779, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 993,  4, 10,   46, 1, 2, 308425, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 991,  9,  4,   46, 1, 2, 281785, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 987,  6,  6,   46, 1, 2, 281834, 6375.60, 248, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 984,  4, 10,   46, 1, 2, 308153, 6375.60, 80, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 977,  4, 10,   46, 1, 2, 308267, 6375.60, 134, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 975,  7,  5,   46, 1, 2, 274295, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 969,  4,  9,   46, 1, 2, 281791, 6375.60, 134, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 789,  4,  9,   46, 1, 2, 281793, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 944,  6,  6,   46, 1, 2, 281759, 6375.60, 112, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 943,  5,  8,   46, 1, 2, 308183, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 942,  4, 10,   46, 1, 2, 308232, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 934,  6,  6,   46, 1, 2, 281797, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 932,  9,  4,   46, 1, 2, 281778, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 925,  4, 10,   46, 1, 2, 308395, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 922,  6,  6,   46, 1, 2, 281873, 6375.60, 199, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 571,  5,  8,   46, 1, 2, 308265, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 612,  5,  8,   46, 1, 2, 308382, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 598,  4, 10,   46, 1, 2, 308258, 6375.60, 0, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 597,  6,  6,   46, 1, 2, 281785, 6375.60, 86, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 588,  5,  8,   46, 1, 2, 308644, 6375.60, 6, 0.00, 1: 40; 2: 3; 
Cholesterol_Regulatory_Pathway, 586,  4,  9,   46, 1, 2, 281797, 6375.60, 34, 0.00, 1: 40; 2: 3; 
