Seed 1656949570
ARCH 0|F_ID 2|LIMIT 2
before: 
02(970)
Melhor resultado nxn: Cholesterol_Regulatory_Pathway, 938,  6,  6,   47, 0, 2, 281786, 5444.15, 0, 0.00, 0: 2; 1: 35; 2: 6; 
Cholesterol_Regulatory_Pathway, 462,  5,  8,   51, 0, 2, 308219, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 845,  5,  8,   51, 0, 2, 308265, 5444.15, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 349,  4, 10,   51, 0, 2, 308210, 5444.15, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 909,  4,  9,   51, 0, 2, 281792, 5444.15, 85, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 535,  7,  5,   51, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 570,  5,  8,   51, 0, 2, 308263, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 536,  6,  6,   51, 0, 2, 281805, 5444.15, 8, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 225,  5,  8,   51, 0, 2, 308298, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 130,  6,  6,   51, 0, 2, 281793, 5444.15, 139, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 554,  5,  8,   51, 0, 2, 308233, 5444.15, 121, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 553,  6,  6,   51, 0, 2, 281786, 5444.15, 67, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 918,  7,  5,   51, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 31; 2: 10; 
Cholesterol_Regulatory_Pathway, 330,  4,  9,   52, 0, 2, 281798, 5444.15, 139, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 461,  9,  4,   52, 0, 2, 281789, 5444.15, 85, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 168,  5,  8,   52, 0, 2, 308241, 5444.15, 30, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 655,  5,  7,   52, 0, 2, 274295, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 364,  4,  9,   52, 0, 2, 281799, 5444.15, 108, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 356,  4, 10,   52, 0, 2, 308535, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 160,  4, 10,   52, 0, 2, 308263, 5444.15, 30, 0.00, 0: 2; 1: 30; 2: 11; 
Cholesterol_Regulatory_Pathway, 159,  4, 10,   52, 0, 2, 308365, 5444.15, 0, 0.00, 0: 2; 1: 30; 2: 11; 
