Seed 1656949570
ARCH 2|F_ID 3|LIMIT 7
before: 
55(589)
Erb-reception, 325, 16, 16, 2473, 1, 5, 2053974, 380497.31, 0, 0.00, 1: 262; 2: 406; 3: 306; 4: 109; 5: 9; 
Erb-reception, 586, 14, 18, 2473, 1, 5, 2023409, 380497.31, 0, 0.00, 1: 256; 2: 407; 3: 320; 4: 102; 5: 7; 
Erb-reception, 544, 14, 18, 2473, 1, 5, 2023429, 380497.31, 136, 0.00, 1: 264; 2: 399; 3: 316; 4: 102; 5: 11; 
Erb-reception, 782, 13, 20, 2473, 1, 5, 2082696, 380497.31, 0, 0.00, 1: 268; 2: 401; 3: 299; 4: 114; 5: 10; 
Erb-reception, 331, 16, 16, 2473, 1, 5, 2053993, 380497.31, 0, 0.00, 1: 264; 2: 393; 3: 324; 4: 104; 5: 7; 
Erb-reception, 714, 18, 14, 2473, 1, 5, 2023429, 380497.31, 0, 0.00, 1: 261; 2: 406; 3: 308; 4: 109; 5: 8; 
Erb-reception, 123, 14, 18, 2473, 1, 5, 2023433, 380497.31, 0, 0.00, 1: 271; 2: 391; 3: 308; 4: 114; 5: 8; 
Erb-reception, 875, 17, 15, 2473, 1, 5, 2070748, 380497.31, 0, 0.00, 1: 262; 2: 406; 3: 310; 4: 101; 5: 13; 
Erb-reception, 262, 13, 20, 2473, 1, 5, 2082571, 380497.31, 0, 0.00, 1: 271; 2: 392; 3: 311; 4: 105; 5: 13; 
Erb-reception, 294, 18, 14, 2473, 1, 5, 2023380, 380497.31, 0, 0.00, 1: 266; 2: 401; 3: 311; 4: 98; 5: 16; 
Erb-reception, 577, 16, 16, 2474, 1, 5, 2053994, 380497.31, 0, 0.00, 1: 261; 2: 400; 3: 314; 4: 114; 5: 3; 
Erb-reception,  36, 17, 15, 2474, 1, 5, 2070685, 380497.31, 9, 0.00, 1: 244; 2: 436; 3: 298; 4: 106; 5: 8; 
Erb-reception, 557, 18, 14, 2474, 1, 5, 2023389, 380497.31, 0, 0.00, 1: 267; 2: 390; 3: 320; 4: 108; 5: 7; 
Erb-reception, 316, 15, 17, 2475, 1, 5, 2070918, 380497.31, 79, 0.00, 1: 267; 2: 392; 3: 318; 4: 105; 5: 10; 
Erb-reception, 561, 18, 14, 2475, 1, 5, 2023419, 380497.31, 0, 0.00, 1: 262; 2: 414; 3: 293; 4: 109; 5: 14; 
Erb-reception, 950, 15, 17, 2475, 1, 5, 2070818, 380497.31, 0, 0.00, 1: 261; 2: 394; 3: 329; 4: 101; 5: 7; 
Erb-reception, 531, 13, 19, 2475, 1, 5, 2005146, 380497.31, 0, 0.00, 1: 266; 2: 390; 3: 327; 4: 97; 5: 12; 
Erb-reception, 562, 16, 16, 2475, 1, 5, 2054012, 380497.31, 0, 0.00, 1: 278; 2: 379; 3: 309; 4: 118; 5: 8; 
Erb-reception, 301, 13, 20, 2475, 1, 5, 2082638, 380497.31, 0, 0.00, 1: 262; 2: 401; 3: 318; 4: 98; 5: 13; 
Erb-reception, 268, 15, 17, 2476, 1, 5, 2070874, 380497.31, 67, 0.00, 1: 269; 2: 386; 3: 320; 4: 110; 5: 7; 
