Seed 1656949570
ARCH 1|F_ID 3|LIMIT 7
before: 
35(674)
Erb-reception, 449, 14, 18, 2374, 1, 5, 2023397, 380261.00, 0, 0.00, 1: 290; 2: 420; 3: 289; 4: 88; 5: 5; 
Erb-reception, 191, 18, 14, 2374, 1, 5, 2023373, 380261.00, 0, 0.00, 1: 292; 2: 425; 3: 278; 4: 87; 5: 10; 
Erb-reception, 577, 16, 16, 2374, 1, 5, 2054046, 380261.00, 0, 0.00, 1: 290; 2: 414; 3: 298; 4: 88; 5: 2; 
Erb-reception, 364, 15, 17, 2374, 1, 5, 2070788, 380261.00, 91, 0.00, 1: 287; 2: 423; 3: 291; 4: 87; 5: 4; 
Erb-reception, 489, 18, 14, 2374, 1, 5, 2023343, 380261.00, 0, 0.00, 1: 303; 2: 395; 3: 303; 4: 83; 5: 8; 
Erb-reception, 610, 15, 17, 2374, 1, 5, 2070733, 380261.00, 0, 0.00, 1: 281; 2: 438; 3: 278; 4: 92; 5: 3; 
Erb-reception, 414, 14, 18, 2374, 1, 5, 2023382, 380261.00, 0, 0.00, 1: 294; 2: 415; 3: 285; 4: 95; 5: 3; 
Erb-reception, 877, 14, 18, 2374, 1, 5, 2023383, 380261.00, 0, 0.00, 1: 304; 2: 396; 3: 295; 4: 92; 5: 5; 
Erb-reception, 381, 15, 17, 2375, 1, 5, 2070814, 380261.00, 0, 0.00, 1: 298; 2: 396; 3: 310; 4: 85; 5: 3; 
Erb-reception, 898, 14, 18, 2375, 1, 5, 2023415, 380261.00, 0, 0.00, 1: 292; 2: 412; 3: 299; 4: 83; 5: 6; 
Erb-reception, 875, 17, 15, 2375, 1, 5, 2070675, 380261.00, 0, 0.00, 1: 288; 2: 417; 3: 296; 4: 90; 5: 1; 
Erb-reception, 865, 14, 18, 2375, 1, 5, 2023448, 380261.00, 0, 0.00, 1: 297; 2: 400; 3: 303; 4: 91; 5: 1; 
Erb-reception, 643, 13, 20, 2375, 1, 5, 2082599, 380261.00, 0, 0.00, 1: 305; 2: 398; 3: 290; 4: 91; 5: 8; 
Erb-reception, 971, 12, 21, 2375, 1, 5, 2023369, 380261.00, 0, 0.00, 1: 288; 2: 435; 3: 270; 4: 88; 5: 11; 
Erb-reception, 475, 13, 20, 2375, 1, 5, 2082341, 380261.00, 0, 0.00, 1: 296; 2: 406; 3: 296; 4: 91; 5: 3; 
Erb-reception, 707, 18, 14, 2376, 1, 5, 2023414, 380261.00, 0, 0.00, 1: 298; 2: 415; 3: 276; 4: 95; 5: 8; 
Erb-reception, 238, 15, 17, 2376, 1, 5, 2070859, 380261.00, 0, 0.00, 1: 282; 2: 423; 3: 306; 4: 75; 5: 6; 
Erb-reception, 267, 16, 16, 2376, 1, 5, 2053968, 380261.00, 0, 0.00, 1: 313; 2: 390; 3: 276; 4: 110; 5: 3; 
Erb-reception, 463, 17, 15, 2376, 1, 5, 2070754, 380261.00, 0, 0.00, 1: 298; 2: 405; 3: 291; 4: 95; 5: 3; 
Erb-reception, 186, 16, 16, 2376, 1, 5, 2054067, 380261.00, 0, 0.00, 1: 289; 2: 416; 3: 297; 4: 86; 5: 4; 
Erb-reception,  19, 18, 14, 2377, 1, 5, 2023391, 380261.00, 0, 0.00, 1: 296; 2: 405; 3: 298; 4: 88; 5: 5; 
