Seed 1656949570
ARCH 2|F_ID 2|LIMIT 4
before: 
533(275)
Lymphopoiesis_Regulatory_Network, 718,  9, 10,  217, 1, 3, 714525, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 157, 12,  7,  217, 1, 3, 668716, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 427,  6, 16,  217, 1, 3, 748505, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 845,  7, 12,  217, 1, 3, 668804, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 982,  9,  9,  217, 1, 3, 644760, 25783.22, 0, 0.00, 1: 108; 2: 41; 3: 9; 
Lymphopoiesis_Regulatory_Network, 852,  8, 11,  217, 1, 3, 700551, 25783.22, 19, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 538, 11,  8,  217, 1, 3, 700522, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 543, 11,  8,  217, 1, 3, 700362, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 367, 11,  8,  217, 1, 3, 700574, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 659,  9,  9,  217, 1, 3, 644760, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 873,  7, 13,  217, 1, 3, 720567, 25783.22, 0, 0.00, 1: 105; 2: 47; 3: 6; 
Lymphopoiesis_Regulatory_Network, 569,  7, 13,  217, 1, 3, 720681, 25783.22, 0, 0.00, 1: 110; 2: 37; 3: 11; 
Lymphopoiesis_Regulatory_Network, 323,  7, 13,  217, 1, 3, 721022, 25783.22, 0, 0.00, 1: 110; 2: 37; 3: 11; 
Lymphopoiesis_Regulatory_Network, 582,  8, 11,  217, 1, 3, 700394, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 309,  8, 11,  217, 1, 3, 700329, 25783.22, 0, 0.00, 1: 106; 2: 45; 3: 7; 
Lymphopoiesis_Regulatory_Network, 302,  6, 14,  217, 1, 3, 668787, 25783.22, 0, 0.00, 1: 103; 2: 51; 3: 4; 
Lymphopoiesis_Regulatory_Network, 685,  7, 12,  217, 1, 3, 668664, 25783.22, 0, 0.00, 1: 107; 2: 43; 3: 8; 
Lymphopoiesis_Regulatory_Network, 287,  7, 13,  217, 1, 3, 720774, 25783.22, 0, 0.00, 1: 109; 2: 39; 3: 10; 
Lymphopoiesis_Regulatory_Network, 184,  8, 11,  218, 1, 3, 700624, 25783.22, 14, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 938, 12,  7,  218, 1, 3, 668805, 25783.22, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 638,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network, 168,  8, 11,  218, 1, 3, 700496, 25783.22, 14, 0.00, 1: 109; 2: 38; 3: 11; 
Lymphopoiesis_Regulatory_Network, 735,  8, 11,  218, 1, 3, 700272, 25783.22, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 381, 11,  8,  218, 1, 3, 700559, 25783.22, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 496,  9, 10,  218, 1, 3, 714394, 25783.22, 39, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 494,  6, 16,  218, 1, 3, 747992, 25783.22, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 493, 11,  8,  218, 1, 3, 700462, 25783.22, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 831,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 810,  6, 14,  218, 1, 3, 668670, 25783.22, 0, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network, 444,  9, 10,  218, 1, 3, 714568, 25783.22, 69, 0.00, 1: 103; 2: 50; 3: 5; 
Lymphopoiesis_Regulatory_Network, 438,  6, 15,  218, 1, 3, 714342, 25783.22, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 804, 12,  7,  218, 1, 3, 668875, 25783.22, 78, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 270,  8, 11,  218, 1, 3, 700419, 25783.22, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 379,  8, 11,  218, 1, 3, 700507, 25783.22, 0, 0.00, 1: 109; 2: 38; 3: 11; 
Lymphopoiesis_Regulatory_Network, 559,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 327,  6, 16,  218, 1, 3, 748356, 25783.22, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 887,  7, 12,  218, 1, 3, 668751, 25783.22, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 891,  8, 11,  218, 1, 3, 700387, 25783.22, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 292,  9,  9,  218, 1, 3, 644760, 25783.22, 74, 0.00, 1: 103; 2: 50; 3: 5; 
Lymphopoiesis_Regulatory_Network, 281,  7, 12,  218, 1, 3, 668788, 25783.22, 0, 0.00, 1: 106; 2: 44; 3: 8; 
Lymphopoiesis_Regulatory_Network, 603, 11,  8,  218, 1, 3, 700323, 25783.22, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 663,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 108; 2: 40; 3: 10; 
Lymphopoiesis_Regulatory_Network,   5,  8, 11,  218, 1, 3, 700516, 25783.22, 127, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 686,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network,  21, 11,  8,  218, 1, 3, 700279, 25783.22, 85, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 664,  7, 13,  218, 1, 3, 721070, 25783.22, 56, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network,  96,  7, 12,  218, 1, 3, 668761, 25783.22, 9, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network, 950,  8, 11,  218, 1, 3, 700510, 25783.22, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 104,  7, 13,  218, 1, 3, 720747, 25783.22, 9, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network, 714,  9, 10,  218, 1, 3, 714430, 25783.22, 0, 0.00, 1: 104; 2: 48; 3: 6; 
Lymphopoiesis_Regulatory_Network, 991,  8, 11,  218, 1, 3, 700406, 25783.22, 0, 0.00, 1: 107; 2: 42; 3: 9; 
Lymphopoiesis_Regulatory_Network,  15,  9,  9,  218, 1, 3, 644760, 25783.22, 0, 0.00, 1: 105; 2: 46; 3: 7; 
Lymphopoiesis_Regulatory_Network,  39, 12,  7,  218, 1, 3, 668809, 25783.22, 0, 0.00, 1: 107; 2: 42; 3: 9; 
