Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
723(536)
Lymphopoiesis_Regulatory_Network, 253,  9, 10,  201, 1, 3, 714207, 25754.62, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 229,  7, 13,  201, 1, 3, 720756, 25754.62, 0, 0.00, 1: 123; 2: 27; 3: 8; 
Lymphopoiesis_Regulatory_Network, 131,  9, 10,  201, 1, 3, 714548, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network, 626,  8, 11,  201, 1, 3, 700384, 25754.62, 0, 0.00, 1: 120; 2: 33; 3: 5; 
Lymphopoiesis_Regulatory_Network,  62,  9, 10,  201, 1, 3, 714499, 25754.62, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 820,  8, 11,  201, 1, 3, 700625, 25754.62, 61, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 560,  8, 11,  201, 1, 3, 700634, 25754.62, 46, 0.00, 1: 117; 2: 39; 3: 2; 
Lymphopoiesis_Regulatory_Network, 414,  8, 11,  201, 1, 3, 700534, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 911, 12,  7,  201, 1, 3, 668639, 25754.62, 0, 0.00, 1: 122; 2: 29; 3: 7; 
Lymphopoiesis_Regulatory_Network, 442,  9, 10,  201, 1, 3, 714286, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 297,  9, 10,  201, 1, 3, 714603, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 279, 11,  8,  201, 1, 3, 700385, 25754.62, 0, 0.00, 1: 118; 2: 37; 3: 3; 
Lymphopoiesis_Regulatory_Network, 910,  9,  9,  201, 1, 3, 644760, 25754.62, 0, 0.00, 1: 121; 2: 31; 3: 6; 
Lymphopoiesis_Regulatory_Network, 387,  7, 13,  201, 1, 3, 721080, 25754.62, 0, 0.00, 1: 119; 2: 35; 3: 4; 
Lymphopoiesis_Regulatory_Network, 816, 11,  8,  201, 1, 3, 700415, 25754.62, 61, 0.00, 1: 120; 2: 33; 3: 5; 
