Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
984(999)
Lymphopoiesis_Regulatory_Network, 446, 11,  8,  271, 0, 4, 700511, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 46; 3: 21; 4: 11; 
Lymphopoiesis_Regulatory_Network, 487, 12,  7,  271, 0, 4, 668737, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 48; 3: 17; 4: 13; 
Lymphopoiesis_Regulatory_Network, 464, 12,  7,  271, 0, 4, 668714, 24166.97, 36, 0.00, 0: 8; 1: 72; 2: 45; 3: 23; 4: 10; 
Lymphopoiesis_Regulatory_Network, 217,  8, 11,  271, 0, 4, 700482, 24166.97, 0, 0.00, 0: 8; 1: 78; 2: 35; 3: 25; 4: 12; 
Lymphopoiesis_Regulatory_Network, 603, 11,  8,  271, 0, 4, 700470, 24166.97, 0, 0.00, 0: 8; 1: 72; 2: 47; 3: 19; 4: 12; 
Lymphopoiesis_Regulatory_Network, 813,  8, 11,  271, 0, 4, 700480, 24166.97, 0, 0.00, 0: 8; 1: 76; 2: 37; 3: 27; 4: 10; 
Lymphopoiesis_Regulatory_Network, 326, 11,  8,  271, 0, 4, 700393, 24166.97, 0, 0.00, 0: 8; 1: 71; 2: 47; 3: 22; 4: 10; 
Lymphopoiesis_Regulatory_Network, 844,  7, 13,  271, 0, 4, 720975, 24166.97, 62, 0.00, 0: 8; 1: 76; 2: 40; 3: 21; 4: 13; 
Lymphopoiesis_Regulatory_Network, 340, 12,  7,  271, 0, 4, 668686, 24166.97, 44, 0.00, 0: 8; 1: 74; 2: 44; 3: 19; 4: 13; 
Lymphopoiesis_Regulatory_Network, 589,  9, 10,  271, 0, 4, 714318, 24166.97, 0, 0.00, 0: 8; 1: 77; 2: 40; 3: 18; 4: 15; 
Lymphopoiesis_Regulatory_Network, 748,  9,  9,  271, 0, 4, 644760, 24166.97, 8, 0.00, 0: 8; 1: 76; 2: 41; 3: 19; 4: 14; 
