Seed 1656949570
ARCH 0|F_ID 2|LIMIT 4
before: 
4(849)
IL-6_Signalling, 346,  7, 13,  294, 1, 4, 727806, 22638.55, 0, 0.00, 1: 63; 2: 41; 3: 31; 4: 14; 
IL-6_Signalling, 303,  8, 11,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 61; 2: 44; 3: 31; 4: 13; 
IL-6_Signalling, 126,  9, 10,  294, 1, 4, 720353, 22638.55, 0, 0.00, 1: 60; 2: 49; 3: 24; 4: 16; 
IL-6_Signalling, 686, 11,  8,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 67; 2: 37; 3: 27; 4: 18; 
IL-6_Signalling,  13, 10,  9,  294, 1, 4, 720368, 22638.55, 127, 0.00, 1: 64; 2: 43; 3: 24; 4: 18; 
IL-6_Signalling, 749, 10,  9,  294, 1, 4, 720365, 22638.55, 0, 0.00, 1: 59; 2: 50; 3: 25; 4: 15; 
IL-6_Signalling, 292,  9, 10,  294, 1, 4, 720382, 22638.55, 66, 0.00, 1: 61; 2: 45; 3: 29; 4: 14; 
IL-6_Signalling, 574, 11,  8,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 59; 2: 48; 3: 29; 4: 13; 
IL-6_Signalling,  65,  7, 14,  294, 1, 4, 775175, 22638.55, 0, 0.00, 1: 66; 2: 39; 3: 26; 4: 18; 
IL-6_Signalling, 401,  9, 10,  294, 1, 4, 720355, 22638.55, 0, 0.00, 1: 61; 2: 47; 3: 25; 4: 16; 
IL-6_Signalling, 372,  8, 12,  294, 1, 4, 759978, 22638.55, 23, 0.00, 1: 59; 2: 50; 3: 25; 4: 15; 
IL-6_Signalling, 922,  8, 12,  294, 1, 4, 760006, 22638.55, 0, 0.00, 1: 65; 2: 41; 3: 25; 4: 18; 
IL-6_Signalling, 506, 10,  9,  294, 1, 4, 720328, 22638.55, 0, 0.00, 1: 64; 2: 41; 3: 28; 4: 16; 
IL-6_Signalling, 633,  8, 11,  294, 1, 4, 704352, 22638.55, 0, 0.00, 1: 65; 2: 39; 3: 29; 4: 16; 
IL-6_Signalling, 475, 11,  8,  295, 1, 4, 704352, 22638.55, 0, 0.00, 1: 65; 2: 38; 3: 30; 4: 16; 
IL-6_Signalling, 696, 11,  8,  295, 1, 4, 704352, 22638.55, 56, 0.00, 1: 59; 2: 51; 3: 22; 4: 17; 
IL-6_Signalling, 932,  7, 14,  295, 1, 4, 775133, 22638.55, 80, 0.00, 1: 66; 2: 38; 3: 27; 4: 18; 
IL-6_Signalling, 148,  8, 11,  295, 1, 4, 704352, 22638.55, 85, 0.00, 1: 57; 2: 54; 3: 22; 4: 16; 
IL-6_Signalling, 398,  8, 12,  295, 1, 4, 759983, 22638.55, 0, 0.00, 1: 63; 2: 40; 3: 32; 4: 14; 
IL-6_Signalling, 866,  8, 12,  295, 1, 4, 759997, 22638.55, 0, 0.00, 1: 62; 2: 40; 3: 35; 4: 12; 
IL-6_Signalling, 228,  8, 12,  295, 1, 4, 759932, 22638.55, 75, 0.00, 1: 61; 2: 43; 3: 32; 4: 13; 
IL-6_Signalling, 578,  7, 14,  295, 1, 4, 775195, 22638.55, 0, 0.00, 1: 63; 2: 42; 3: 28; 4: 16; 
IL-6_Signalling,  24, 10,  9,  295, 1, 4, 720349, 22638.55, 128, 0.00, 1: 60; 2: 49; 3: 23; 4: 17; 
IL-6_Signalling, 702, 10,  9,  295, 1, 4, 720339, 22638.55, 0, 0.00, 1: 61; 2: 47; 3: 24; 4: 17; 
IL-6_Signalling, 727,  9, 10,  295, 1, 4, 720347, 22638.55, 0, 0.00, 1: 57; 2: 50; 3: 30; 4: 12; 
IL-6_Signalling, 428,  8, 12,  295, 1, 4, 760022, 22638.55, 78, 0.00, 1: 56; 2: 54; 3: 25; 4: 14; 
IL-6_Signalling, 508, 10,  9,  295, 1, 4, 720369, 22638.55, 33, 0.00, 1: 67; 2: 35; 3: 30; 4: 17; 
IL-6_Signalling,  18,  8, 11,  295, 1, 4, 704352, 22638.55, 104, 0.00, 1: 60; 2: 51; 3: 19; 4: 19; 
IL-6_Signalling,  97,  8, 12,  295, 1, 4, 760021, 22638.55, 0, 0.00, 1: 62; 2: 47; 3: 21; 4: 19; 
IL-6_Signalling, 260, 10,  9,  295, 1, 4, 720352, 22638.55, 23, 0.00, 1: 61; 2: 48; 3: 22; 4: 18; 
IL-6_Signalling, 745,  8, 12,  296, 1, 4, 760003, 22638.55, 0, 0.00, 1: 66; 2: 34; 3: 34; 4: 15; 
IL-6_Signalling, 243,  7, 13,  296, 1, 4, 727838, 22638.55, 0, 0.00, 1: 62; 2: 46; 3: 22; 4: 19; 
IL-6_Signalling, 587,  9, 10,  296, 1, 4, 720319, 22638.55, 0, 0.00, 1: 60; 2: 47; 3: 26; 4: 16; 
IL-6_Signalling, 868, 11,  8,  296, 1, 4, 704352, 22638.55, 38, 0.00, 1: 60; 2: 47; 3: 26; 4: 16; 
IL-6_Signalling, 458,  8, 11,  296, 1, 4, 704352, 22638.55, 0, 0.00, 1: 62; 2: 44; 3: 26; 4: 17; 
IL-6_Signalling, 873, 11,  8,  296, 1, 4, 704352, 22638.55, 0, 0.00, 1: 59; 2: 46; 3: 31; 4: 13; 
IL-6_Signalling, 330, 11,  8,  296, 1, 4, 704352, 22638.55, 0, 0.00, 1: 58; 2: 52; 3: 22; 4: 17; 
IL-6_Signalling,  47,  8, 12,  296, 1, 4, 760018, 22638.55, 0, 0.00, 1: 65; 2: 36; 3: 33; 4: 15; 
IL-6_Signalling,  80, 11,  8,  296, 1, 4, 704352, 22638.55, 6, 0.00, 1: 63; 2: 42; 3: 27; 4: 17; 
IL-6_Signalling, 125,  8, 12,  296, 1, 4, 759911, 22638.55, 0, 0.00, 1: 62; 2: 44; 3: 26; 4: 17; 
IL-6_Signalling, 500, 10,  9,  296, 1, 4, 720354, 22638.55, 78, 0.00, 1: 63; 2: 42; 3: 27; 4: 17; 
IL-6_Signalling, 130,  7, 13,  296, 1, 4, 727827, 22638.55, 0, 0.00, 1: 66; 2: 35; 3: 32; 4: 16; 
IL-6_Signalling, 965,  8, 12,  296, 1, 4, 760029, 22638.55, 0, 0.00, 1: 60; 2: 45; 3: 30; 4: 14; 
IL-6_Signalling, 846,  9, 10,  296, 1, 4, 720368, 22638.55, 0, 0.00, 1: 63; 2: 41; 3: 29; 4: 16; 
IL-6_Signalling, 132,  8, 11,  296, 1, 4, 704352, 22638.55, 14, 0.00, 1: 60; 2: 45; 3: 30; 4: 14; 
IL-6_Signalling, 382,  8, 12,  296, 1, 4, 759976, 22638.55, 0, 0.00, 1: 62; 2: 42; 3: 30; 4: 15; 
IL-6_Signalling,  46,  8, 11,  297, 1, 4, 704352, 22638.55, 0, 0.00, 1: 66; 2: 39; 3: 23; 4: 21; 
IL-6_Signalling,  93,  7, 13,  297, 1, 4, 727799, 22638.55, 0, 0.00, 1: 64; 2: 40; 3: 27; 4: 18; 
IL-6_Signalling, 168, 10,  9,  297, 1, 4, 720356, 22638.55, 13, 0.00, 1: 63; 2: 42; 3: 26; 4: 18; 
IL-6_Signalling, 747, 10,  9,  297, 1, 4, 720353, 22638.55, 0, 0.00, 1: 61; 2: 48; 3: 20; 4: 20; 
IL-6_Signalling, 505,  8, 12,  297, 1, 4, 760001, 22638.55, 0, 0.00, 1: 57; 2: 49; 3: 30; 4: 13; 
IL-6_Signalling, 869, 10,  9,  297, 1, 4, 720343, 22638.55, 0, 0.00, 1: 55; 2: 52; 3: 30; 4: 12; 
IL-6_Signalling, 530,  9, 10,  297, 1, 4, 720347, 22638.55, 0, 0.00, 1: 63; 2: 41; 3: 28; 4: 17; 
IL-6_Signalling, 950,  8, 12,  297, 1, 4, 760091, 22638.55, 0, 0.00, 1: 65; 2: 36; 3: 32; 4: 16; 
IL-6_Signalling, 599,  9, 10,  297, 1, 4, 720429, 22638.55, 0, 0.00, 1: 61; 2: 47; 3: 22; 4: 19; 
IL-6_Signalling, 943,  8, 12,  297, 1, 4, 760007, 22638.55, 0, 0.00, 1: 62; 2: 43; 3: 27; 4: 17; 
IL-6_Signalling, 763, 10,  9,  297, 1, 4, 720325, 22638.55, 0, 0.00, 1: 62; 2: 42; 3: 29; 4: 16; 
IL-6_Signalling, 151, 11,  8,  297, 1, 4, 704352, 22638.55, 0, 0.00, 1: 63; 2: 42; 3: 26; 4: 18; 
IL-6_Signalling, 455,  9, 10,  297, 1, 4, 720358, 22638.55, 0, 0.00, 1: 60; 2: 45; 3: 29; 4: 15; 
IL-6_Signalling, 675,  8, 12,  297, 1, 4, 760069, 22638.55, 0, 0.00, 1: 66; 2: 37; 3: 27; 4: 19; 
IL-6_Signalling, 345,  8, 11,  297, 1, 4, 704352, 22638.55, 0, 0.00, 1: 59; 2: 46; 3: 30; 4: 14; 
IL-6_Signalling, 631,  9, 10,  298, 1, 4, 720337, 22638.55, 0, 0.00, 1: 66; 2: 36; 3: 28; 4: 19; 
IL-6_Signalling,  67, 11,  8,  298, 1, 4, 704352, 22638.55, 0, 0.00, 1: 59; 2: 45; 3: 31; 4: 14; 
IL-6_Signalling, 612,  9, 10,  298, 1, 4, 720339, 22638.55, 12, 0.00, 1: 65; 2: 37; 3: 29; 4: 18; 
IL-6_Signalling, 480,  9, 10,  298, 1, 4, 720370, 22638.55, 38, 0.00, 1: 60; 2: 47; 3: 24; 4: 18; 
IL-6_Signalling, 743,  9, 10,  298, 1, 4, 720362, 22638.55, 0, 0.00, 1: 61; 2: 41; 3: 33; 4: 14; 
IL-6_Signalling, 373,  8, 11,  298, 1, 4, 704352, 22638.55, 0, 0.00, 1: 69; 2: 32; 3: 27; 4: 21; 
IL-6_Signalling, 620,  8, 11,  298, 1, 4, 704352, 22638.55, 68, 0.00, 1: 62; 2: 44; 3: 24; 4: 19; 
IL-6_Signalling,  30,  8, 12,  298, 1, 4, 759923, 22638.55, 0, 0.00, 1: 59; 2: 47; 3: 27; 4: 16; 
IL-6_Signalling, 912,  8, 12,  298, 1, 4, 759915, 22638.55, 71, 0.00, 1: 58; 2: 52; 3: 20; 4: 19; 
IL-6_Signalling,  20, 10,  9,  298, 1, 4, 720383, 22638.55, 139, 0.00, 1: 62; 2: 43; 3: 26; 4: 18; 
IL-6_Signalling, 809, 10,  9,  298, 1, 4, 720361, 22638.55, 0, 0.00, 1: 62; 2: 39; 3: 34; 4: 14; 
IL-6_Signalling, 989, 10,  9,  298, 1, 4, 720351, 22638.55, 0, 0.00, 1: 61; 2: 47; 3: 21; 4: 20; 
IL-6_Signalling, 701, 10,  9,  298, 1, 4, 720383, 22638.55, 0, 0.00, 1: 64; 2: 38; 3: 30; 4: 17; 
IL-6_Signalling, 776, 10,  9,  298, 1, 4, 720362, 22638.55, 65, 0.00, 1: 64; 2: 38; 3: 30; 4: 17; 
IL-6_Signalling, 577,  7, 13,  298, 1, 4, 727811, 22638.55, 0, 0.00, 1: 64; 2: 39; 3: 28; 4: 18; 
IL-6_Signalling, 906,  9, 10,  298, 1, 4, 720364, 22638.55, 0, 0.00, 1: 58; 2: 48; 3: 28; 4: 15; 
IL-6_Signalling, 636,  8, 12,  298, 1, 4, 760012, 22638.55, 75, 0.00, 1: 58; 2: 48; 3: 28; 4: 15; 
