Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
3(241)
IL-6_Signalling, 814,  7, 13,  207, 1, 3, 727875, 23298.32, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 905,  8, 12,  207, 1, 3, 760214, 23298.32, 0, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 183,  9, 10,  207, 1, 3, 720372, 23298.32, 0, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 637, 10,  9,  207, 1, 3, 720367, 23298.32, 0, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling, 338,  9, 10,  207, 1, 3, 720386, 23298.32, 0, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling, 636,  8, 12,  207, 1, 3, 759783, 23298.32, 75, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 595,  6, 15,  207, 1, 3, 720371, 23298.32, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 989, 10,  9,  207, 1, 3, 720298, 23298.32, 0, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling, 733, 11,  8,  207, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 175, 11,  8,  207, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 40; 3: 9; 
IL-6_Signalling, 818,  8, 12,  207, 1, 3, 760019, 23298.32, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling,  34, 10,  9,  207, 1, 3, 720373, 23298.32, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling,  83,  9, 10,  207, 1, 3, 720339, 23298.32, 0, 0.00, 1: 101; 2: 38; 3: 10; 
IL-6_Signalling, 973, 11,  8,  207, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 40; 3: 9; 
IL-6_Signalling, 601, 10,  9,  207, 1, 3, 720317, 23298.32, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling,  52,  8, 12,  207, 1, 3, 760114, 23298.32, 5, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 986, 11,  8,  207, 1, 3, 704352, 23298.32, 0, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 386,  8, 12,  207, 1, 3, 760023, 23298.32, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 116, 11,  8,  207, 1, 3, 704352, 23298.32, 85, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 602,  9, 10,  207, 1, 3, 720341, 23298.32, 0, 0.00, 1: 95; 2: 50; 3: 4; 
IL-6_Signalling, 679,  7, 14,  207, 1, 3, 775282, 23298.32, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 254, 11,  8,  207, 1, 3, 704352, 23298.32, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 761,  8, 12,  207, 1, 3, 760130, 23298.32, 0, 0.00, 1: 100; 2: 40; 3: 9; 
IL-6_Signalling, 945,  6, 17,  207, 1, 3, 797237, 23298.32, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 673, 10,  9,  208, 1, 3, 720362, 23298.32, 0, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling,  38, 11,  8,  208, 1, 3, 704352, 23298.32, 0, 0.00, 1: 97; 2: 45; 3: 7; 
IL-6_Signalling,  55,  7, 13,  208, 1, 3, 727918, 23298.32, 0, 0.00, 1: 98; 2: 43; 3: 8; 
IL-6_Signalling, 368,  6, 17,  208, 1, 3, 797124, 23298.32, 29, 0.00, 1: 100; 2: 39; 3: 10; 
IL-6_Signalling, 335, 11,  8,  208, 1, 3, 704352, 23298.32, 0, 0.00, 1: 94; 2: 51; 3: 4; 
IL-6_Signalling, 942,  8, 12,  208, 1, 3, 759980, 23298.32, 0, 0.00, 1: 96; 2: 47; 3: 6; 
IL-6_Signalling, 339,  6, 16,  208, 1, 3, 760135, 23298.32, 0, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 654,  8, 11,  208, 1, 3, 704352, 23298.32, 0, 0.00, 1: 98; 2: 43; 3: 8; 
IL-6_Signalling, 703, 11,  8,  208, 1, 3, 704352, 23298.32, 0, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 935,  8, 12,  208, 1, 3, 760158, 23298.32, 0, 0.00, 1: 101; 2: 37; 3: 11; 
IL-6_Signalling, 781,  7, 14,  208, 1, 3, 775233, 23298.32, 0, 0.00, 1: 100; 2: 39; 3: 10; 
IL-6_Signalling, 455,  9, 10,  208, 1, 3, 720369, 23298.32, 0, 0.00, 1: 94; 2: 51; 3: 4; 
IL-6_Signalling, 417,  8, 11,  208, 1, 3, 704352, 23298.32, 0, 0.00, 1: 100; 2: 39; 3: 10; 
IL-6_Signalling, 951,  7, 14,  208, 1, 3, 775111, 23298.32, 0, 0.00, 1: 100; 2: 39; 3: 10; 
IL-6_Signalling, 157,  7, 13,  208, 1, 3, 727822, 23298.32, 0, 0.00, 1: 98; 2: 43; 3: 8; 
IL-6_Signalling, 808,  8, 12,  208, 1, 3, 759981, 23298.32, 67, 0.00, 1: 99; 2: 41; 3: 9; 
IL-6_Signalling, 272,  8, 11,  208, 1, 3, 704352, 23298.32, 22, 0.00, 1: 98; 2: 43; 3: 8; 
