Seed 1656949570
ARCH 2|F_ID 2|LIMIT 6
before: 
06(1000)
macrophave_activation, 370, 17, 19,  941, 1, 6, 2600077, 84908.06, 0, 0.00, 1: 285; 2: 142; 3: 43; 4: 23; 5: 17; 6: 11; 
macrophave_activation,  50, 15, 22,  941, 1, 6, 2657706, 84908.06, 0, 0.00, 1: 286; 2: 131; 3: 55; 4: 25; 5: 16; 6: 8; 
macrophave_activation, 129, 19, 17,  942, 1, 6, 2600110, 84908.06, 0, 0.00, 1: 284; 2: 135; 3: 52; 4: 27; 5: 14; 6: 9; 
macrophave_activation, 859, 19, 17,  942, 1, 6, 2600091, 84908.06, 52, 0.00, 1: 276; 2: 144; 3: 56; 4: 24; 5: 12; 6: 9; 
macrophave_activation, 438, 15, 22,  942, 1, 6, 2658076, 84908.06, 0, 0.00, 1: 281; 2: 151; 3: 40; 4: 20; 5: 15; 6: 14; 
macrophave_activation,  94, 17, 19,  942, 1, 6, 2600062, 84908.06, 0, 0.00, 1: 271; 2: 151; 3: 54; 4: 24; 5: 15; 6: 6; 
macrophave_activation, 325, 17, 20,  942, 1, 6, 2757471, 84908.06, 0, 0.00, 1: 274; 2: 144; 3: 60; 4: 21; 5: 16; 6: 6; 
macrophave_activation, 942, 18, 18,  942, 1, 6, 2616156, 84908.06, 0, 0.00, 1: 268; 2: 152; 3: 54; 4: 31; 5: 12; 6: 4; 
macrophave_activation, 204, 21, 16,  943, 1, 6, 2696175, 84908.06, 218, 0.00, 1: 280; 2: 142; 3: 51; 4: 21; 5: 20; 6: 7; 
macrophave_activation, 534, 16, 21,  943, 1, 6, 2695999, 84908.06, 0, 0.00, 1: 282; 2: 138; 3: 45; 4: 35; 5: 16; 6: 5; 
macrophave_activation, 297, 17, 20,  943, 1, 6, 2757971, 84908.06, 135, 0.00, 1: 275; 2: 145; 3: 51; 4: 30; 5: 15; 6: 5; 
macrophave_activation, 976, 15, 22,  944, 1, 6, 2658099, 84908.06, 82, 0.00, 1: 278; 2: 140; 3: 53; 4: 28; 5: 17; 6: 5; 
