Seed 1656949570
ARCH 1|F_ID 2|LIMIT 6
before: 
306(1000)
macrophave_activation, 989, 21, 16,  901, 1, 6, 2695997, 75543.10, 85, 0.00, 1: 303; 2: 129; 3: 45; 4: 21; 5: 17; 6: 6; 
macrophave_activation, 142, 17, 20,  901, 1, 6, 2757681, 75543.10, 0, 0.00, 1: 306; 2: 121; 3: 48; 4: 28; 5: 11; 6: 7; 
macrophave_activation, 710, 21, 16,  901, 1, 6, 2696122, 75543.10, 0, 0.00, 1: 301; 2: 126; 3: 51; 4: 23; 5: 17; 6: 3; 
macrophave_activation, 533, 19, 17,  902, 1, 6, 2600113, 75543.10, 0, 0.00, 1: 290; 2: 144; 3: 50; 4: 18; 5: 12; 6: 7; 
macrophave_activation, 434, 17, 19,  902, 1, 6, 2600091, 75543.10, 0, 0.00, 1: 292; 2: 140; 3: 49; 4: 25; 5: 7; 6: 8; 
macrophave_activation, 557, 15, 22,  902, 1, 6, 2658039, 75543.10, 85, 0.00, 1: 311; 2: 112; 3: 50; 4: 29; 5: 13; 6: 6; 
macrophave_activation, 486, 19, 17,  902, 1, 6, 2600108, 75543.10, 0, 0.00, 1: 302; 2: 123; 3: 54; 4: 23; 5: 14; 6: 5; 
macrophave_activation, 910, 19, 17,  902, 1, 6, 2600096, 75543.10, 0, 0.00, 1: 301; 2: 128; 3: 46; 4: 27; 5: 15; 6: 4; 
macrophave_activation, 237, 17, 20,  902, 1, 6, 2757593, 75543.10, 85, 0.00, 1: 298; 2: 132; 3: 43; 4: 33; 5: 11; 6: 4; 
macrophave_activation, 204, 21, 16,  902, 1, 6, 2696329, 75543.10, 200, 0.00, 1: 291; 2: 143; 3: 42; 4: 30; 5: 11; 6: 4; 
macrophave_activation, 184, 17, 20,  902, 1, 6, 2757505, 75543.10, 224, 0.00, 1: 303; 2: 127; 3: 44; 4: 28; 5: 13; 6: 6; 
macrophave_activation, 479, 18, 18,  903, 1, 6, 2616159, 75543.10, 0, 0.00, 1: 291; 2: 134; 3: 60; 4: 20; 5: 12; 6: 4; 
macrophave_activation, 465, 17, 20,  903, 1, 6, 2757590, 75543.10, 0, 0.00, 1: 299; 2: 126; 3: 58; 4: 19; 5: 12; 6: 7; 
macrophave_activation, 706, 19, 17,  903, 1, 6, 2600068, 75543.10, 0, 0.00, 1: 286; 2: 146; 3: 45; 4: 33; 5: 8; 6: 3; 
macrophave_activation, 324, 15, 22,  903, 1, 6, 2658119, 75543.10, 0, 0.00, 1: 301; 2: 124; 3: 57; 4: 20; 5: 11; 6: 8; 
macrophave_activation, 393, 16, 21,  903, 1, 6, 2696168, 75543.10, 56, 0.00, 1: 293; 2: 136; 3: 48; 4: 31; 5: 8; 6: 5; 
macrophave_activation, 357, 21, 16,  904, 1, 6, 2695835, 75543.10, 0, 0.00, 1: 301; 2: 129; 3: 43; 4: 30; 5: 12; 6: 6; 
macrophave_activation, 140, 19, 17,  904, 1, 6, 2600097, 75543.10, 200, 0.00, 1: 283; 2: 152; 3: 48; 4: 22; 5: 11; 6: 5; 
macrophave_activation, 758, 17, 20,  904, 1, 6, 2757483, 75543.10, 0, 0.00, 1: 298; 2: 132; 3: 42; 4: 33; 5: 12; 6: 4; 
macrophave_activation,  18, 21, 16,  904, 1, 6, 2695984, 75543.10, 240, 0.00, 1: 298; 2: 128; 3: 49; 4: 30; 5: 13; 6: 3; 
macrophave_activation, 164, 14, 23,  905, 1, 6, 2635731, 75543.10, 0, 0.00, 1: 289; 2: 145; 3: 42; 4: 29; 5: 12; 6: 4; 
macrophave_activation, 902, 21, 16,  905, 1, 6, 2696151, 75543.10, 0, 0.00, 1: 297; 2: 133; 3: 48; 4: 23; 5: 14; 6: 6; 
macrophave_activation, 874, 14, 23,  905, 1, 6, 2635731, 75543.10, 240, 0.00, 1: 304; 2: 128; 3: 41; 4: 26; 5: 14; 6: 8; 
macrophave_activation, 144, 18, 18,  905, 1, 6, 2616162, 75543.10, 57, 0.00, 1: 297; 2: 132; 3: 48; 4: 25; 5: 14; 6: 5; 
macrophave_activation, 358, 16, 21,  905, 1, 6, 2696147, 75543.10, 0, 0.00, 1: 293; 2: 134; 3: 51; 4: 26; 5: 15; 6: 2; 
macrophave_activation, 917, 18, 18,  905, 1, 6, 2616112, 75543.10, 0, 0.00, 1: 301; 2: 129; 3: 46; 4: 24; 5: 14; 6: 7; 
macrophave_activation, 772, 14, 24,  906, 1, 6, 2696343, 75543.10, 0, 0.00, 1: 303; 2: 129; 3: 41; 4: 25; 5: 16; 6: 7; 
macrophave_activation, 576, 13, 26,  906, 1, 6, 2727143, 75543.10, 173, 0.00, 1: 297; 2: 134; 3: 46; 4: 22; 5: 17; 6: 5; 
macrophave_activation,  25, 14, 23,  906, 1, 6, 2635731, 75543.10, 61, 0.00, 1: 299; 2: 135; 3: 41; 4: 24; 5: 14; 6: 8; 
