Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
3(175)
IL-6_Signalling, 495, 11,  8,  206, 1, 3, 704352, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 810, 11,  8,  206, 1, 3, 704352, 20184.74, 0, 0.00, 1: 99; 2: 43; 3: 7; 
IL-6_Signalling, 808,  8, 12,  206, 1, 3, 760058, 20184.74, 67, 0.00, 1: 97; 2: 47; 3: 5; 
IL-6_Signalling, 727,  9, 10,  206, 1, 3, 720472, 20184.74, 0, 0.00, 1: 101; 2: 39; 3: 9; 
IL-6_Signalling, 379, 10,  9,  207, 1, 3, 720326, 20184.74, 0, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling,  28, 10,  9,  207, 1, 3, 720446, 20184.74, 1, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling, 717,  9, 10,  207, 1, 3, 720377, 20184.74, 0, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 334, 10,  9,  207, 1, 3, 720305, 20184.74, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 275,  8, 12,  207, 1, 3, 759964, 20184.74, 0, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 609,  9, 10,  207, 1, 3, 720233, 20184.74, 0, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling, 118, 11,  8,  207, 1, 3, 704352, 20184.74, 0, 0.00, 1: 100; 2: 40; 3: 9; 
IL-6_Signalling, 898, 10,  9,  207, 1, 3, 720274, 20184.74, 0, 0.00, 1: 102; 2: 36; 3: 11; 
IL-6_Signalling, 299,  9, 10,  207, 1, 3, 720381, 20184.74, 0, 0.00, 1: 95; 2: 50; 3: 4; 
IL-6_Signalling, 240, 11,  8,  207, 1, 3, 704352, 20184.74, 20, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 172,  9, 10,  207, 1, 3, 720391, 20184.74, 78, 0.00, 1: 96; 2: 48; 3: 5; 
IL-6_Signalling,  72,  9, 10,  207, 1, 3, 720390, 20184.74, 6, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 752,  9, 10,  207, 1, 3, 720426, 20184.74, 62, 0.00, 1: 101; 2: 38; 3: 10; 
IL-6_Signalling, 844, 10,  9,  207, 1, 3, 720407, 20184.74, 71, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 816,  8, 11,  207, 1, 3, 704352, 20184.74, 69, 0.00, 1: 98; 2: 44; 3: 7; 
IL-6_Signalling, 142,  9, 10,  207, 1, 3, 720371, 20184.74, 0, 0.00, 1: 99; 2: 42; 3: 8; 
IL-6_Signalling, 104, 11,  8,  207, 1, 3, 704352, 20184.74, 8, 0.00, 1: 97; 2: 46; 3: 6; 
IL-6_Signalling, 835,  8, 11,  207, 1, 3, 704352, 20184.74, 0, 0.00, 1: 95; 2: 50; 3: 4; 
