Seed 1656949570
ARCH 0|F_ID 1|LIMIT 5
before: 
16(471)
Melhor resultado nxn: T-LGL_Survival_Network_2011, 585,  8,  8,  463, 0, 6, 506554, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 52; 3: 38; 4: 27; 5: 11; 6: 4; 
T-LGL_Survival_Network_2011, 126,  9,  7,  469, 0, 6, 499190, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 56; 3: 39; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 679,  8,  8,  469, 0, 6, 506493, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 61; 3: 40; 4: 22; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 625,  8,  8,  469, 0, 6, 506531, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 54; 3: 45; 4: 21; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 222,  8,  8,  469, 0, 6, 506541, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 60; 3: 42; 4: 17; 5: 16; 6: 4; 
T-LGL_Survival_Network_2011, 234,  8,  8,  469, 0, 6, 506547, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 57; 3: 40; 4: 25; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 239,  7,  9,  469, 0, 6, 499207, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 60; 3: 41; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 501,  8,  8,  469, 0, 6, 506525, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 55; 3: 37; 4: 26; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 477,  8,  8,  469, 0, 6, 506553, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 59; 3: 42; 4: 23; 5: 13; 6: 3; 
T-LGL_Survival_Network_2011, 476,  9,  7,  469, 0, 6, 499205, 22393.59, 30, 0.00, 0: 5; 1: 50; 2: 63; 3: 36; 4: 25; 5: 11; 6: 5; 
T-LGL_Survival_Network_2011, 302,  7,  9,  469, 0, 6, 499235, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 62; 3: 35; 4: 26; 5: 11; 6: 5; 
T-LGL_Survival_Network_2011, 411,  7,  9,  469, 0, 6, 499214, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 55; 3: 36; 4: 24; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 338,  8,  8,  469, 0, 6, 506492, 22393.59, 0, 0.00, 0: 5; 1: 55; 2: 53; 3: 43; 4: 21; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 363,  7,  9,  469, 0, 6, 499189, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 59; 3: 39; 4: 23; 5: 12; 6: 5; 
T-LGL_Survival_Network_2011, 898,  7,  9,  469, 0, 6, 499181, 22393.59, 0, 0.00, 0: 5; 1: 51; 2: 59; 3: 41; 4: 22; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 858,  7,  9,  469, 0, 6, 499208, 22393.59, 0, 0.00, 0: 5; 1: 53; 2: 56; 3: 40; 4: 25; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 836,  8,  8,  469, 0, 6, 506517, 22393.59, 22, 0.00, 0: 5; 1: 47; 2: 65; 3: 38; 4: 25; 5: 12; 6: 3; 
T-LGL_Survival_Network_2011, 854,  9,  7,  469, 0, 6, 499236, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 56; 3: 43; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 651,  7,  9,  470, 0, 6, 499169, 22393.59, 0, 0.00, 0: 5; 1: 58; 2: 47; 3: 47; 4: 18; 5: 15; 6: 5; 
T-LGL_Survival_Network_2011, 195,  8,  8,  470, 0, 6, 506537, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 55; 3: 39; 4: 25; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 208,  8,  8,  470, 0, 6, 506548, 22393.59, 1, 0.00, 0: 5; 1: 56; 2: 57; 3: 31; 4: 28; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 905,  8,  8,  470, 0, 6, 506532, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 63; 3: 36; 4: 23; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 906,  8,  8,  470, 0, 6, 506492, 22393.59, 0, 0.00, 0: 5; 1: 56; 2: 52; 3: 39; 4: 27; 5: 11; 6: 5; 
T-LGL_Survival_Network_2011,  38,  8,  8,  470, 0, 6, 506544, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 63; 3: 37; 4: 21; 5: 15; 6: 4; 
T-LGL_Survival_Network_2011, 596,  9,  7,  470, 0, 6, 499214, 22393.59, 29, 0.00, 0: 5; 1: 53; 2: 58; 3: 37; 4: 24; 5: 14; 6: 4; 
T-LGL_Survival_Network_2011, 672,  7,  9,  470, 0, 6, 499202, 22393.59, 16, 0.00, 0: 5; 1: 54; 2: 53; 3: 43; 4: 23; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 558,  9,  7,  470, 0, 6, 499208, 22393.59, 0, 0.00, 0: 5; 1: 50; 2: 59; 3: 42; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 540,  7,  9,  470, 0, 6, 499214, 22393.59, 45, 0.00, 0: 5; 1: 53; 2: 56; 3: 42; 4: 22; 5: 11; 6: 6; 
T-LGL_Survival_Network_2011, 270,  8,  8,  470, 0, 6, 506540, 22393.59, 0, 0.00, 0: 5; 1: 52; 2: 55; 3: 44; 4: 23; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011,  88,  9,  7,  470, 0, 6, 499207, 22393.59, 1, 0.00, 0: 5; 1: 52; 2: 56; 3: 45; 4: 19; 5: 13; 6: 5; 
T-LGL_Survival_Network_2011, 738,  7,  9,  470, 0, 6, 499220, 22393.59, 0, 0.00, 0: 5; 1: 43; 2: 72; 3: 37; 4: 23; 5: 10; 6: 5; 
T-LGL_Survival_Network_2011, 464,  7,  9,  470, 0, 6, 499205, 22393.59, 3, 0.00, 0: 5; 1: 55; 2: 56; 3: 34; 4: 28; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 761,  7,  9,  470, 0, 6, 499215, 22393.59, 0, 0.00, 0: 5; 1: 54; 2: 52; 3: 45; 4: 22; 5: 13; 6: 4; 
T-LGL_Survival_Network_2011, 388,  9,  7,  470, 0, 6, 499228, 22393.59, 16, 0.00, 0: 5; 1: 51; 2: 58; 3: 41; 4: 24; 5: 12; 6: 4; 
T-LGL_Survival_Network_2011, 392,  8,  8,  470, 0, 6, 506505, 22393.59, 1, 0.00, 0: 5; 1: 50; 2: 59; 3: 42; 4: 22; 5: 14; 6: 3; 
