Seed 1656949570
ARCH 1|F_ID 0|LIMIT 4
before: 
103(477)
Lymphopoiesis_Regulatory_Network, 431,  8, 11,  202, 1, 3, 700614, 20467.92, 0, 0.00, 1: 115; 2: 42; 3: 1; 
Lymphopoiesis_Regulatory_Network,  30,  8, 11,  202, 1, 3, 700284, 20467.92, 0, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 703,  9, 10,  202, 1, 3, 714286, 20467.92, 0, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 719, 12,  7,  202, 1, 3, 668771, 20467.92, 0, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 272,  7, 12,  202, 1, 3, 668702, 20467.92, 18, 0.00, 1: 117; 2: 38; 3: 3; 
Lymphopoiesis_Regulatory_Network, 536,  7, 13,  202, 1, 3, 721069, 20467.92, 43, 0.00, 1: 118; 2: 36; 3: 4; 
Lymphopoiesis_Regulatory_Network, 548,  8, 11,  202, 1, 3, 700300, 20467.92, 45, 0.00, 1: 119; 2: 34; 3: 5; 
Lymphopoiesis_Regulatory_Network, 842, 12,  7,  203, 1, 3, 668815, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 318, 12,  7,  203, 1, 3, 668710, 20467.92, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 830,  8, 11,  203, 1, 3, 700797, 20467.92, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network, 201, 11,  8,  203, 1, 3, 700026, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 157, 12,  7,  203, 1, 3, 668746, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 844,  7, 13,  203, 1, 3, 721623, 20467.92, 62, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 788,  7, 13,  203, 1, 3, 720970, 20467.92, 19, 0.00, 1: 121; 2: 29; 3: 8; 
Lymphopoiesis_Regulatory_Network, 681,  9,  9,  203, 1, 3, 644760, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 960,  7, 12,  203, 1, 3, 668652, 20467.92, 67, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network, 223,  8, 11,  203, 1, 3, 700465, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 286,  7, 13,  203, 1, 3, 721225, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 714,  9, 10,  203, 1, 3, 714410, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 257,  7, 12,  203, 1, 3, 668808, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 172,  8, 11,  203, 1, 3, 700925, 20467.92, 59, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network,  44,  9,  9,  203, 1, 3, 644760, 20467.92, 7, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 505, 11,  8,  203, 1, 3, 700373, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 446, 11,  8,  203, 1, 3, 700195, 20467.92, 0, 0.00, 1: 121; 2: 29; 3: 8; 
Lymphopoiesis_Regulatory_Network, 429,  9, 10,  203, 1, 3, 714676, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 898,  9, 10,  203, 1, 3, 714609, 20467.92, 0, 0.00, 1: 120; 2: 31; 3: 7; 
Lymphopoiesis_Regulatory_Network,  74,  9, 10,  203, 1, 3, 714374, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
Lymphopoiesis_Regulatory_Network, 911, 12,  7,  203, 1, 3, 668847, 20467.92, 0, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network, 520,  7, 13,  203, 1, 3, 721077, 20467.92, 42, 0.00, 1: 119; 2: 33; 3: 6; 
Lymphopoiesis_Regulatory_Network,  51,  9, 10,  203, 1, 3, 714569, 20467.92, 0, 0.00, 1: 118; 2: 35; 3: 5; 
Lymphopoiesis_Regulatory_Network, 417, 11,  8,  203, 1, 3, 699950, 20467.92, 0, 0.00, 1: 116; 2: 39; 3: 3; 
Lymphopoiesis_Regulatory_Network,  45, 11,  8,  203, 1, 3, 700202, 20467.92, 0, 0.00, 1: 117; 2: 37; 3: 4; 
