Seed 1656949570
ARCH 2|F_ID 0|LIMIT 4
before: 
153(237)
Lymphopoiesis_Regulatory_Network, 431,  8, 11,  216, 1, 3, 700928, 20443.05, 0, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 104,  7, 13,  216, 1, 3, 720933, 20443.05, 9, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 638,  9,  9,  216, 1, 3, 644760, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network,  43,  7, 12,  216, 1, 3, 668690, 20443.05, 0, 0.00, 1: 105; 2: 48; 3: 5; 
Lymphopoiesis_Regulatory_Network, 703,  9, 10,  216, 1, 3, 714320, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 658,  6, 16,  216, 1, 3, 748349, 20443.05, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 127,  8, 11,  216, 1, 3, 700575, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network, 830,  8, 11,  216, 1, 3, 700763, 20443.05, 0, 0.00, 1: 111; 2: 36; 3: 11; 
Lymphopoiesis_Regulatory_Network, 414,  8, 11,  216, 1, 3, 700374, 20443.05, 0, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 539,  6, 15,  216, 1, 3, 714252, 20443.05, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 961,  7, 13,  216, 1, 3, 721050, 20443.05, 0, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 643, 12,  7,  216, 1, 3, 668806, 20443.05, 0, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 753,  9,  9,  216, 1, 3, 644760, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
Lymphopoiesis_Regulatory_Network,  99,  8, 11,  216, 1, 3, 700378, 20443.05, 0, 0.00, 1: 105; 2: 48; 3: 5; 
Lymphopoiesis_Regulatory_Network, 527,  7, 13,  216, 1, 3, 721164, 20443.05, 0, 0.00, 1: 109; 2: 40; 3: 9; 
Lymphopoiesis_Regulatory_Network, 409,  7, 12,  216, 1, 3, 668656, 20443.05, 0, 0.00, 1: 110; 2: 38; 3: 10; 
Lymphopoiesis_Regulatory_Network, 868,  9, 10,  216, 1, 3, 714278, 20443.05, 62, 0.00, 1: 106; 2: 46; 3: 6; 
Lymphopoiesis_Regulatory_Network, 524, 11,  8,  216, 1, 3, 700461, 20443.05, 12, 0.00, 1: 104; 2: 50; 3: 4; 
Lymphopoiesis_Regulatory_Network, 903,  7, 12,  216, 1, 3, 668794, 20443.05, 0, 0.00, 1: 105; 2: 48; 3: 5; 
Lymphopoiesis_Regulatory_Network, 680,  6, 14,  216, 1, 3, 668840, 20443.05, 57, 0.00, 1: 107; 2: 44; 3: 7; 
Lymphopoiesis_Regulatory_Network, 655,  7, 13,  216, 1, 3, 719489, 20443.05, 0, 0.00, 1: 108; 2: 42; 3: 8; 
