Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
4(589)
Melhor resultado nxn: IL-6_Signalling, 396,  9, 10,  286, 1, 4, 720332, 62553.50, 27, 0.00, 1: 53; 2: 60; 3: 31; 4: 5; 
IL-6_Signalling, 425,  8, 12,  296, 1, 4, 760068, 62553.50, 0, 0.00, 1: 45; 2: 65; 3: 35; 4: 4; 
IL-6_Signalling, 180,  8, 11,  296, 1, 4, 704352, 62553.50, 68, 0.00, 1: 46; 2: 63; 3: 36; 4: 4; 
IL-6_Signalling, 133, 10,  9,  296, 1, 4, 720366, 62553.50, 0, 0.00, 1: 42; 2: 69; 3: 36; 4: 2; 
IL-6_Signalling, 123,  9, 10,  297, 1, 4, 720393, 62553.50, 0, 0.00, 1: 48; 2: 58; 3: 39; 4: 4; 
IL-6_Signalling, 988, 11,  8,  297, 1, 4, 704352, 62553.50, 71, 0.00, 1: 51; 2: 54; 3: 38; 4: 6; 
IL-6_Signalling, 495, 11,  8,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 57; 3: 41; 4: 3; 
IL-6_Signalling, 972,  8, 12,  297, 1, 4, 759973, 62553.50, 37, 0.00, 1: 48; 2: 60; 3: 35; 4: 6; 
IL-6_Signalling,  52,  8, 12,  297, 1, 4, 760000, 62553.50, 5, 0.00, 1: 48; 2: 60; 3: 35; 4: 6; 
IL-6_Signalling, 555,  8, 11,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 50; 2: 55; 3: 39; 4: 5; 
IL-6_Signalling, 117, 11,  8,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 62; 3: 31; 4: 8; 
IL-6_Signalling, 714,  9, 10,  297, 1, 4, 720353, 62553.50, 0, 0.00, 1: 51; 2: 53; 3: 40; 4: 5; 
IL-6_Signalling, 817,  7, 14,  297, 1, 4, 775217, 62553.50, 0, 0.00, 1: 50; 2: 57; 3: 35; 4: 7; 
IL-6_Signalling, 382,  8, 12,  297, 1, 4, 759849, 62553.50, 0, 0.00, 1: 54; 2: 51; 3: 35; 4: 9; 
IL-6_Signalling, 710,  8, 12,  297, 1, 4, 759924, 62553.50, 0, 0.00, 1: 50; 2: 56; 3: 37; 4: 6; 
IL-6_Signalling, 479,  8, 11,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 47; 2: 61; 3: 36; 4: 5; 
IL-6_Signalling, 379, 10,  9,  297, 1, 4, 720358, 62553.50, 0, 0.00, 1: 49; 2: 60; 3: 32; 4: 8; 
IL-6_Signalling, 499,  7, 14,  297, 1, 4, 775164, 62553.50, 0, 0.00, 1: 51; 2: 56; 3: 34; 4: 8; 
IL-6_Signalling, 692, 10,  9,  297, 1, 4, 720381, 62553.50, 77, 0.00, 1: 48; 2: 62; 3: 31; 4: 8; 
IL-6_Signalling, 755,  8, 12,  297, 1, 4, 760033, 62553.50, 0, 0.00, 1: 45; 2: 67; 3: 30; 4: 7; 
IL-6_Signalling, 294,  9, 10,  297, 1, 4, 720356, 62553.50, 0, 0.00, 1: 48; 2: 59; 3: 37; 4: 5; 
IL-6_Signalling, 106, 11,  8,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 42; 2: 71; 3: 31; 4: 5; 
IL-6_Signalling, 958,  8, 11,  297, 1, 4, 704352, 62553.50, 0, 0.00, 1: 48; 2: 60; 3: 35; 4: 6; 
IL-6_Signalling, 501,  8, 12,  297, 1, 4, 759984, 62553.50, 0, 0.00, 1: 45; 2: 63; 3: 38; 4: 3; 
IL-6_Signalling, 267, 10,  9,  298, 1, 4, 720343, 62553.50, 0, 0.00, 1: 46; 2: 63; 3: 34; 4: 6; 
IL-6_Signalling, 182,  8, 12,  298, 1, 4, 759955, 62553.50, 0, 0.00, 1: 45; 2: 64; 3: 35; 4: 5; 
