Seed 1656949570
ARCH 1|F_ID 3|LIMIT 4
before: 
2(850)
Melhor resultado nxn: Apoptosis_network, 383,  5, 10,   84, 1, 2, 383475, 22668.48, 0, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 408,  6,  7,   87, 1, 2, 330624, 22668.48, 40, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 215,  5, 10,   87, 1, 2, 383985, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 220,  5,  9,   87, 1, 2, 353082, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 216,  5,  9,   87, 1, 2, 353087, 22668.48, 104, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 171,  9,  5,   87, 1, 2, 353183, 22668.48, 67, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 373,  9,  5,   87, 1, 2, 353319, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 370,  4, 11,   87, 1, 2, 346058, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 473,  6,  7,   87, 1, 2, 330624, 22668.48, 184, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 478,  5,  9,   87, 1, 2, 353176, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 360,  9,  5,   87, 1, 2, 353354, 22668.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 481,  5,  9,   87, 1, 2, 353222, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 931,  6,  8,   87, 1, 2, 372037, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 487,  9,  5,   87, 1, 2, 353313, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 243,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 176,  6,  8,   87, 1, 2, 372377, 22668.48, 17, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 397,  5, 10,   87, 1, 2, 384043, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 337,  6,  7,   87, 1, 2, 330624, 22668.48, 174, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 248,  9,  5,   87, 1, 2, 353048, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 494,  5, 10,   87, 1, 2, 384039, 22668.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 498,  6,  8,   87, 1, 2, 371898, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 781,  6,  8,   87, 1, 2, 372058, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  68,  5, 10,   87, 1, 2, 384602, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 822,  6,  8,   87, 1, 2, 372043, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  22,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 801,  5, 10,   87, 1, 2, 383916, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  84,  9,  5,   87, 1, 2, 353287, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  23,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 110,  6,  8,   87, 1, 2, 372118, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 894,  5, 10,   87, 1, 2, 384050, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 631,  4, 12,   87, 1, 2, 372196, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 105,  9,  5,   87, 1, 2, 353240, 22668.48, 65, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 817,  5, 10,   87, 1, 2, 384247, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 737,  7,  6,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 816,  5, 10,   87, 1, 2, 384211, 22668.48, 21, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 644,  6,  7,   87, 1, 2, 330624, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 649,  5, 10,   87, 1, 2, 383821, 22668.48, 170, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 695,  6,  8,   87, 1, 2, 371518, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 676,  5, 10,   87, 1, 2, 384647, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 773,  7,  6,   87, 1, 2, 330624, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  92,  5, 10,   87, 1, 2, 384026, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 668,  5, 10,   87, 1, 2, 383860, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  89,  5,  9,   87, 1, 2, 353356, 22668.48, 182, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  88,  4, 12,   87, 1, 2, 372031, 22668.48, 232, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 682,  6,  8,   87, 1, 2, 371725, 22668.48, 97, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  49,  4, 12,   87, 1, 2, 371366, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 738,  5,  9,   87, 1, 2, 353292, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 577,  7,  6,   87, 1, 2, 330624, 22668.48, 176, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 129,  5, 10,   87, 1, 2, 384464, 22668.48, 97, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 867,  5,  9,   87, 1, 2, 353407, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 847,  6,  8,   87, 1, 2, 371827, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 842,  9,  5,   87, 1, 2, 353117, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 872,  5, 10,   87, 1, 2, 383744, 22668.48, 32, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 125,  5,  9,   87, 1, 2, 353424, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 746,  5, 10,   87, 1, 2, 384226, 22668.48, 97, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 590,  7,  6,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 595,  4, 12,   87, 1, 2, 372083, 22668.48, 21, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 597,  5,  9,   87, 1, 2, 353034, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  51,  5, 10,   87, 1, 2, 384224, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  61,  7,  6,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 602,  6,  8,   87, 1, 2, 372210, 22668.48, 85, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 604,  5,  9,   87, 1, 2, 353281, 22668.48, 217, 0.00, 1: 59; 2: 14; 
Apoptosis_network,  50,  9,  5,   87, 1, 2, 353397, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 609,  6,  7,   87, 1, 2, 330624, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 727,  6,  8,   87, 1, 2, 371934, 22668.48, 0, 0.00, 1: 59; 2: 14; 
Apoptosis_network, 808,  6,  8,   88, 1, 2, 372199, 22668.48, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 790,  6,  8,   88, 1, 2, 372050, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 789,  5,  9,   88, 1, 2, 353441, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 366,  5,  9,   88, 1, 2, 353055, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 770,  6,  8,   88, 1, 2, 371618, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 766,  6,  7,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 761,  9,  5,   88, 1, 2, 353171, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 758,  6,  7,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 751,  6,  8,   88, 1, 2, 372039, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 389,  6,  8,   88, 1, 2, 372138, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 393,  6,  8,   88, 1, 2, 371787, 22668.48, 216, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 403,  7,  6,   88, 1, 2, 330624, 22668.48, 20, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 323,  9,  5,   88, 1, 2, 353197, 22668.48, 21, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 432,  4, 12,   88, 1, 2, 371834, 22668.48, 38, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 852,  6,  7,   88, 1, 2, 330624, 22668.48, 217, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 834,  7,  6,   88, 1, 2, 330624, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 303,  5, 10,   88, 1, 2, 383492, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 831,  6,  7,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 829,  5,  9,   88, 1, 2, 352961, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 306,  5,  9,   88, 1, 2, 353385, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 954,  5, 10,   88, 1, 2, 383731, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 312,  4, 12,   88, 1, 2, 371768, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 315,  9,  5,   88, 1, 2, 353237, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 874,  9,  5,   88, 1, 2, 353284, 22668.48, 97, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 951,  4, 11,   88, 1, 2, 346017, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 947,  5,  9,   88, 1, 2, 353403, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 324,  6,  7,   88, 1, 2, 330624, 22668.48, 217, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 819,  5,  9,   88, 1, 2, 353215, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 336,  6,  7,   88, 1, 2, 330624, 22668.48, 128, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 812,  5, 10,   88, 1, 2, 384014, 22668.48, 56, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 721,  6,  7,   88, 1, 2, 330624, 22668.48, 177, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 343,  6,  7,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 803,  4, 12,   88, 1, 2, 371909, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 348,  9,  5,   88, 1, 2, 353308, 22668.48, 217, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 948,  4, 12,   88, 1, 2, 371871, 22668.48, 16, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 362,  6,  8,   88, 1, 2, 372096, 22668.48, 73, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 797,  6,  8,   88, 1, 2, 371300, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 791,  4, 12,   88, 1, 2, 372216, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 521,  6,  7,   88, 1, 2, 330624, 22668.48, 176, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 661,  6,  8,   88, 1, 2, 371713, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 654,  4, 11,   88, 1, 2, 345924, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 906,  5,  9,   88, 1, 2, 352929, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 633,  7,  6,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 507,  4, 12,   88, 1, 2, 372074, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 630,  5, 10,   88, 1, 2, 384403, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 909,  6,  8,   88, 1, 2, 372104, 22668.48, 85, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 625,  5, 10,   88, 1, 2, 384146, 22668.48, 109, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 621,  6,  8,   88, 1, 2, 372074, 22668.48, 95, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 615,  6,  8,   88, 1, 2, 371968, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 613,  6,  8,   88, 1, 2, 372072, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 612,  6,  7,   88, 1, 2, 330624, 22668.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 520,  5,  9,   88, 1, 2, 352909, 22668.48, 48, 0.00, 1: 58; 2: 15; 
