Seed 1656949570
ARCH 0|F_ID 3|LIMIT 4
before: 
3(614)
Apoptosis_network, 270,  6,  7,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network,  38,  5, 10,  117, 1, 3, 383920, 23851.12, 0, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 690,  7,  6,  117, 1, 3, 330624, 23851.12, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 419,  9,  5,  117, 1, 3, 353175, 23851.12, 0, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 120,  9,  5,  117, 1, 3, 353299, 23851.12, 0, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 644,  6,  7,  117, 1, 3, 330624, 23851.12, 183, 0.00, 1: 38; 2: 26; 3: 9; 
Apoptosis_network, 396,  5, 10,  117, 1, 3, 384127, 23851.12, 183, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 428,  6,  7,  117, 1, 3, 330624, 23851.12, 88, 0.00, 1: 36; 2: 30; 3: 7; 
Apoptosis_network, 955,  9,  5,  117, 1, 3, 353193, 23851.12, 0, 0.00, 1: 39; 2: 24; 3: 10; 
Apoptosis_network, 954,  5, 10,  117, 1, 3, 384228, 23851.12, 0, 0.00, 1: 34; 2: 34; 3: 5; 
Apoptosis_network, 953,  5, 10,  117, 1, 3, 383946, 23851.12, 0, 0.00, 1: 34; 2: 34; 3: 5; 
Apoptosis_network, 435,  9,  5,  117, 1, 3, 353346, 23851.12, 0, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 438,  5,  9,  117, 1, 3, 353196, 23851.12, 0, 0.00, 1: 35; 2: 32; 3: 6; 
Apoptosis_network, 376,  5,  9,  117, 1, 3, 353282, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network,  33,  5, 10,  117, 1, 3, 384027, 23851.12, 0, 0.00, 1: 37; 2: 28; 3: 8; 
Apoptosis_network, 721,  6,  7,  117, 1, 3, 330624, 23851.12, 97, 0.00, 1: 36; 2: 30; 3: 7; 
