Seed 1656949570
ARCH 2|F_ID 3|LIMIT 4
before: 
2(698)
Melhor resultado nxn: Apoptosis_network, 649,  5, 10,   88, 1, 2, 384274, 23464.91, 26, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 648,  9,  5,   93, 1, 2, 353415, 23464.91, 64, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 282,  6,  8,   93, 1, 2, 372071, 23464.91, 36, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 800,  6,  7,   93, 1, 2, 330624, 23464.91, 6, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 284,  9,  5,   93, 1, 2, 353603, 23464.91, 111, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 615,  6,  8,   93, 1, 2, 371654, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 954,  5, 10,   93, 1, 2, 384102, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 293,  6,  8,   93, 1, 2, 372019, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 532,  9,  5,   93, 1, 2, 352912, 23464.91, 111, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 302,  5, 10,   93, 1, 2, 384257, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 349,  6,  7,   93, 1, 2, 330624, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 542,  4, 11,   93, 1, 2, 346203, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 795,  6,  8,   93, 1, 2, 371977, 23464.91, 212, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 323,  9,  5,   93, 1, 2, 353297, 23464.91, 212, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 547,  4, 12,   93, 1, 2, 372186, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 325,  5, 10,   93, 1, 2, 383994, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 751,  6,  8,   93, 1, 2, 372356, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  24,  9,  5,   93, 1, 2, 353188, 23464.91, 112, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 658,  5, 10,   93, 1, 2, 384200, 23464.91, 36, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 242,  7,  6,   93, 1, 2, 330624, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 989,  6,  8,   93, 1, 2, 371662, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 250,  6,  8,   93, 1, 2, 371999, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 384,  5, 10,   93, 1, 2, 383988, 23464.91, 32, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 382,  6,  8,   93, 1, 2, 372220, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 604,  5,  9,   93, 1, 2, 353185, 23464.91, 111, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 825,  5, 10,   93, 1, 2, 384044, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 261,  9,  5,   93, 1, 2, 353472, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 376,  5,  9,   93, 1, 2, 353249, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 651,  5, 10,   93, 1, 2, 384212, 23464.91, 212, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 953,  5, 10,   93, 1, 2, 383621, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 753,  4, 11,   93, 1, 2, 346051, 23464.91, 111, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 367,  6,  8,   93, 1, 2, 371487, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 854,  6,  7,   93, 1, 2, 330624, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 723,  9,  5,   93, 1, 2, 353347, 23464.91, 212, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 127,  5,  9,   93, 1, 2, 353004, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 943,  5, 10,   93, 1, 2, 384323, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 125,  5,  9,   93, 1, 2, 353256, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 505,  6,  8,   93, 1, 2, 372379, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 109,  6,  8,   93, 1, 2, 372143, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 477,  6,  8,   93, 1, 2, 371919, 23464.91, 85, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 462,  5,  9,   93, 1, 2, 353289, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 700,  6,  7,   93, 1, 2, 330624, 23464.91, 1, 0.00, 1: 53; 2: 20; 
Apoptosis_network,   0,  6,  8,   93, 1, 2, 371747, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 835,  9,  5,   93, 1, 2, 353330, 23464.91, 212, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 938,  6,  7,   93, 1, 2, 330624, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 489,  7,  6,   93, 1, 2, 330624, 23464.91, 67, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 455,  5, 10,   93, 1, 2, 383757, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 734,  6,  8,   93, 1, 2, 372089, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 114,  5, 10,   93, 1, 2, 384033, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 838,  5,  9,   93, 1, 2, 353309, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 931,  6,  8,   93, 1, 2, 372089, 23464.91, 0, 0.00, 1: 53; 2: 20; 
Apoptosis_network,  83,  9,  5,   93, 1, 2, 352903, 23464.91, 211, 0.00, 1: 53; 2: 20; 
Apoptosis_network, 498,  6,  8,   93, 1, 2, 372002, 23464.91, 0, 0.00, 1: 53; 2: 20; 
