Seed 1656949570
ARCH 1|F_ID 2|LIMIT 4
before: 
2(255)
Melhor resultado nxn: Apoptosis_network, 393,  6,  8,   84, 1, 2, 371892, 8114.48, 104, 0.00, 1: 62; 2: 11; 
Apoptosis_network, 433,  5, 10,   88, 1, 2, 383974, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 216,  5,  9,   88, 1, 2, 353126, 8114.48, 104, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 390,  9,  5,   88, 1, 2, 353320, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 902,  4, 12,   88, 1, 2, 371922, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 379,  5,  9,   88, 1, 2, 353366, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 182,  5,  9,   88, 1, 2, 353307, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 226,  5,  9,   88, 1, 2, 353229, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 807,  5,  9,   88, 1, 2, 353296, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 169,  5,  9,   88, 1, 2, 353202, 8114.48, 65, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 352,  7,  6,   88, 1, 2, 330624, 8114.48, 5, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 801,  5, 10,   88, 1, 2, 383800, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 834,  7,  6,   88, 1, 2, 330624, 8114.48, 115, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 837,  7,  6,   88, 1, 2, 330624, 8114.48, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 900,  5,  9,   88, 1, 2, 353349, 8114.48, 54, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 361,  6,  8,   88, 1, 2, 371992, 8114.48, 66, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 800,  6,  7,   88, 1, 2, 330624, 8114.48, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 359,  6,  7,   88, 1, 2, 330624, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 465,  9,  5,   88, 1, 2, 353223, 8114.48, 63, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 158,  5, 10,   88, 1, 2, 384056, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  79,  5, 10,   88, 1, 2, 384061, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 569,  6,  7,   88, 1, 2, 330624, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 962,  4, 12,   88, 1, 2, 371920, 8114.48, 115, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 647,  9,  5,   88, 1, 2, 353004, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  32,  6,  8,   88, 1, 2, 371786, 8114.48, 5, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 657,  4, 11,   88, 1, 2, 345930, 8114.48, 58, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  97,  6,  8,   88, 1, 2, 371862, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  33,  5, 10,   88, 1, 2, 384324, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 550,  6,  7,   88, 1, 2, 330624, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 639,  4, 11,   88, 1, 2, 346183, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 759,  4, 11,   88, 1, 2, 346016, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 637,  5,  9,   88, 1, 2, 353241, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 544,  5,  9,   88, 1, 2, 353295, 8114.48, 6, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 626,  9,  5,   88, 1, 2, 353132, 8114.48, 121, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 954,  5, 10,   88, 1, 2, 383685, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 519,  6,  8,   88, 1, 2, 371676, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 689,  5,  9,   88, 1, 2, 353280, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 947,  5,  9,   88, 1, 2, 353378, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 685,  7,  6,   88, 1, 2, 330624, 8114.48, 32, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 684,  6,  7,   88, 1, 2, 330624, 8114.48, 54, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 677,  9,  5,   88, 1, 2, 353181, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 539,  5,  9,   88, 1, 2, 353301, 8114.48, 119, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  10,  9,  5,   88, 1, 2, 353105, 8114.48, 251, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 624,  9,  5,   88, 1, 2, 353191, 8114.48, 109, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 528,  5,  9,   88, 1, 2, 353303, 8114.48, 96, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 121,  5,  9,   88, 1, 2, 353234, 8114.48, 0, 0.00, 1: 58; 2: 15; 
Apoptosis_network,  77,  6,  7,   88, 1, 2, 330624, 8114.48, 86, 0.00, 1: 58; 2: 15; 
Apoptosis_network, 225,  4, 11,   89, 1, 2, 345999, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 719,  4, 11,   89, 1, 2, 346056, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 980,  6,  7,   89, 1, 2, 330624, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  72,  9,  5,   89, 1, 2, 353332, 8114.48, 80, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 223,  4, 11,   89, 1, 2, 345954, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 623,  7,  6,   89, 1, 2, 330624, 8114.48, 117, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 222,  5, 10,   89, 1, 2, 383962, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 213,  6,  7,   89, 1, 2, 330624, 8114.48, 86, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 602,  6,  8,   89, 1, 2, 371892, 8114.48, 115, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 908,  4, 11,   89, 1, 2, 346265, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 207,  6,  7,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 401,  9,  5,   89, 1, 2, 353433, 8114.48, 104, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 204,  4, 12,   89, 1, 2, 371659, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 404,  9,  5,   89, 1, 2, 353259, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 600,  4, 11,   89, 1, 2, 346104, 8114.48, 232, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 737,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 428,  6,  7,   89, 1, 2, 330624, 8114.48, 88, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 726,  6,  8,   89, 1, 2, 371971, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 706,  4, 11,   89, 1, 2, 346039, 8114.48, 115, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 687,  5, 10,   89, 1, 2, 384408, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 285,  5, 10,   89, 1, 2, 384079, 8114.48, 86, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 676,  5, 10,   89, 1, 2, 384050, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 876,  6,  7,   89, 1, 2, 330624, 8114.48, 57, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  15,  9,  5,   89, 1, 2, 353028, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 879,  6,  8,   89, 1, 2, 371831, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 702,  4, 12,   89, 1, 2, 371960, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 333,  4, 11,   89, 1, 2, 346007, 8114.48, 86, 0.00, 1: 57; 2: 16; 
Apoptosis_network,  19,  6,  7,   89, 1, 2, 330624, 8114.48, 119, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 983,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 884,  7,  6,   89, 1, 2, 330624, 8114.48, 33, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 887,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 649,  5, 10,   89, 1, 2, 384161, 8114.48, 58, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 890,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 251,  5,  9,   89, 1, 2, 353206, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 347,  7,  6,   89, 1, 2, 330624, 8114.48, 119, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 643,  9,  5,   89, 1, 2, 353270, 8114.48, 119, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 243,  6,  7,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 718,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 562,  5,  9,   89, 1, 2, 353289, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 963,  5,  9,   89, 1, 2, 353114, 8114.48, 119, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 466,  6,  7,   89, 1, 2, 330624, 8114.48, 115, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 447,  4, 12,   89, 1, 2, 371613, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 796,  6,  7,   89, 1, 2, 330624, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 161,  6,  8,   89, 1, 2, 371910, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 520,  5,  9,   89, 1, 2, 353502, 8114.48, 48, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 943,  5, 10,   89, 1, 2, 383672, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 172,  5,  9,   89, 1, 2, 353123, 8114.48, 32, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 442,  4, 12,   89, 1, 2, 371910, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 589,  6,  8,   89, 1, 2, 371931, 8114.48, 86, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 964,  6,  7,   89, 1, 2, 330624, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 476,  4, 11,   89, 1, 2, 346051, 8114.48, 54, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 504,  7,  6,   89, 1, 2, 330624, 8114.48, 0, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 566,  9,  5,   89, 1, 2, 353223, 8114.48, 255, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 493,  4, 12,   89, 1, 2, 371975, 8114.48, 50, 0.00, 1: 57; 2: 16; 
Apoptosis_network, 555,  7,  6,   90, 1, 2, 330624, 8114.48, 115, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 711,  7,  6,   90, 1, 2, 330624, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 238,  7,  6,   90, 1, 2, 330624, 8114.48, 32, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 710,  6,  7,   90, 1, 2, 330624, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 671,  5,  9,   90, 1, 2, 353143, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 283,  5,  9,   90, 1, 2, 353320, 8114.48, 119, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 175,  7,  6,   90, 1, 2, 330624, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 534,  5,  9,   90, 1, 2, 353327, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 454,  4, 11,   90, 1, 2, 346000, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 921,  5,  9,   90, 1, 2, 353297, 8114.48, 143, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 246,  4, 12,   90, 1, 2, 372059, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 353,  5,  9,   90, 1, 2, 353273, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 633,  7,  6,   90, 1, 2, 330624, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 856,  9,  5,   90, 1, 2, 353219, 8114.48, 232, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 957,  6,  7,   90, 1, 2, 330624, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 551,  9,  5,   90, 1, 2, 353117, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 339,  6,  8,   90, 1, 2, 372030, 8114.48, 119, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  16,  9,  5,   90, 1, 2, 353345, 8114.48, 112, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 781,  6,  8,   90, 1, 2, 372305, 8114.48, 86, 0.00, 1: 56; 2: 17; 
Apoptosis_network, 103,  4, 12,   90, 1, 2, 371778, 8114.48, 0, 0.00, 1: 56; 2: 17; 
Apoptosis_network,  82,  6,  7,   90, 1, 2, 330624, 8114.48, 220, 0.00, 1: 56; 2: 17; 
